dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 04월 21일,"뼈 후라이드반+선택반/1(반마리선택(양념치킨 반)),윙봉24세트/1(세트메뉴 맛변경(후라이드))",최고~~~~~~~~~~,5,5,0
2024년 04월 11일,"순살 크랑이치킨/1,후라이드치킨/1",맛있게 잘먹었습니다,5,5,0
2024년 03월 30일,크크크치킨/1,"바삭하고,짜지않고 고소하게  맛있어요^^다음에도 다양하게 주문해 볼께요^^",5,5,4
2024년 03월 30일,후라이드 반＋반마리선택/1(반마리선택(하하핫 반)),"제가사는동네치킨가게중최고인듯합니다.
양념이많이안달아서계속먹게되구요
닭도깨끗한걸쓰시는듯합니다.누린맛도전혀없고
맛있습니다.번성하세요.",5,5,5
2024년 03월 21일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(하하핫순살 반)),최고임 매일 하하핫,5,5,5
2024년 03월 15일,윙봉24세트/1(윙봉선택(크크크 윙봉)),ㅋㅋㅋ처음 시켜봤는데 고소하고 바삭해서 맛있네요. 하지만 저의 원픽은 그래도 호랑이가 조금 더 맛있는 것 같아요. 맛있게 잘 먹었습니다.,5,5,5
2024년 03월 13일,후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),늘 신선하고 맛있어요,5,5,5
2024년 03월 11일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(하하핫순살 반)),신메뉴도 맛있게 맵네요 추천!!,5,5,5
2024년 03월 10일,순살간지 치킨/1,"배달도빠르고  정말맛있어요
매번 개포점에서 주문해서 먹지만
최고입니다",5,4,5
2024년 03월 10일,크크크치킨/1,남편이 며칠 전 시켰었는데 맛있어서 또 시켜먹었어요 다먹고나니 사진이 없네요.. ㅜ,5,5,5
2024년 03월 03일,후라이드/1,"왠만하면 치킨 좋아하는데 이건 너무하네요
튀김도 눅눅, 닭가슴살 비율 너무 많고ㅠ",1,2,5
2024년 03월 02일,"크크크치킨/1,떡볶이/1,웨지감자/1",바삭하고 너무 맛있게 잘먹었어요 앞으로도 자주 이용할거 같아요^^,3,4,3
2024년 03월 01일,후라이드/1,언제나 신선하고 맛있습니다^^,5,5,5
2024년 03월 01일,"콤보（윙,봉,다리）/1(콤보선택(하하핫 콤보))",하하핫 치킨 진짜 맛있어요 맛있게 매운 맛 양도 많아서 혼자서 세번은 먹을 수 있을 것 같아요 치밥 해먹으면 존맛,5,5,5
