dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 04월 13일,뼈 후라이드반+선택반/1(반마리선택(푸하핫 반)),언제나 맛있는 60계치킨 논현점 잘먹었습니다~~,5,5,0
2024년 03월 30일,후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),"치킨중 으뜸은 60계!
오랜만에 후라이드를 먹었는데 맛있었어요!",5,5,5
2024년 03월 29일,"순살고추 치킨/1,순살간지 치킨/1,순살더매운고추 치킨/1",맛은 죽여줍니다~~  강남최고맛집~~^^^^^^^,5,3,5
2024년 03월 20일,"순살 크크크치킨/1,떡볶이/1",맛도 양도 굿!! 바삭할땐 크크크,5,5,5
2024년 03월 16일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살양념 반))",너무 맛있게 잘 먹었습니다. :),5,5,5
2024년 03월 15일,후라이드/1,튀김옷이 얇고 바삭하며 고기는 촉촉해서 너무 맛있었어요,5,5,5
2024년 03월 07일,순살 크크크치킨/1,맛있게 잘 먹었습니다,5,5,5
2024년 03월 01일,순살 크크크치킨/1,크크크 치킨은 진짜 대박이에요 바삭바삭 소스들도 짱맛,5,5,5
2024년 02월 18일,후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(6초콤보 반)),.,5,5,5
2024년 02월 07일,크크크치킨/1,60계치킨 첨 먹어봤는데 진짜 맛있네요. 신선한 재료를 사용한 게 느껴지고 겉은 바삭 속은 촉촉 맛있게 잘 먹었습니다. 최근 먹은 치킨 중에 최고였어요!,5,5,5
2024년 02월 03일,크크크치킨/1,"60계는 역시 크크크
너무 바삭해서 자주시켜먹네요~
대박나세요~",5,5,5
2024년 01월 28일,크크크치킨/1,치즈볼도 주시고 배달도 빠르고 잘먹겟습니당,5,5,5
2024년 01월 27일,"하하핫치킨/1,치킨 무/1","맛나요! 바삭하게
잘왔어요! 매매매매콤콤콤 치밥 좋아하시면 시키세여! 치밥으로는 최고. 다음엔 반반시킬꺼에요 :다른맛 궁금",5,5,5
2024년 01월 26일,"순살 호랑이치킨/1,쫀득치즈볼（5개）/1",맛있게 잘 먹었습니다^^,5,5,5
2024년 01월 23일,후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(고추콤보 반)),따뜻하게와서 맛있게먹었습니다~~,5,5,5
2024년 01월 20일,후라이드 반＋반마리선택/1(반마리선택(더매운고추  반)),양많고 맛있습니다!,5,5,5
2024년 01월 18일,후라이드/1,맛있게 잘 먹었습니다,5,5,5
2023년 12월 26일,후라이드 반＋반마리선택/1(반마리선택(6초치킨 반)),맞나게 잘먹엇네요~~,5,5,0
2023년 12월 08일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(양념순살 반)),깔끔하고 맛나요 옛날 양념치킨 맛!!!,5,5,5
2023년 12월 06일,"윙 15조각/1(윙선택(고추 윙 15조각)),떡볶이/1",맛있게잘먹었습니다~~~,5,5,5
2023년 11월 29일,크크크치킨/1,"바삭바삭 ㅎㅎ
요즘 다들 맛잇다고 난리여서 시켜봣어유",5,5,5
2023년 11월 29일,후라이드/1,정말정말 맛있어요 근데 너무맛있어서그런지 가계가 자꾸 마감해요,5,5,5
2023년 11월 25일,"간지치킨/1,윙 15조각/1(윙선택(후라이드 윙15조각))",맛있게 잘 먹었습니다.,5,5,5
2023년 11월 22일,순살 크크크치킨/1,"귯이에영
또 시켜먹고 싶은 맛",5,5,5
2023년 11월 18일,순살간지 치킨/1,이전에 먹던 지점 대비 덜 바삭하고 조각하나당 큰편이지만 더 푸짐하네요 잘먹었습니다!,5,5,5
2023년 11월 15일,고추치킨/1,"많이 식어서 왔네요
아쉽지만 그런대로 잘먹었습니다 매콤바삭하네요~",4,5,4
2023년 11월 13일,"크크크치킨/1,마늘똥집튀김/1",진짜 크크크 강추~~~👍👍👍,5,5,5
2023년 11월 04일,크크크치킨/1,이렇게 바삭바삭 한 치킨은 처음 먹어봅니다,5,5,0
2023년 11월 01일,순살 하하핫치킨/1,"이 치킨 밥이랑 먹어도 너무 맛있어요!
먹다가 매우면 치즈볼도 같이 먹고😀",5,5,5
2023년 10월 31일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",맛있게 잘 먹었습니다,5,5,5
2023년 10월 27일,"윙 15조각/1(윙선택(간지 윙 15조각)),떡볶이/1",맛있게잘먹었습니다~~~,5,5,5
2023년 10월 22일,"멘보샤 엔 순살/1(순살선택(크크크 순살)),웨지감자/1",살면서 먹은 치킨중에 가장 바삭해요,5,5,5
2023년 10월 09일,크크크치킨/1,완전 맛있어용!!!!!!,5,5,5
2023년 10월 08일,"순살 크크크치킨/1,아~매워!소스/1",양 진짜 많아요  치킨 바삭하고 소스 다양해서 골라먹는맛 있어요:),5,5,5
2023년 10월 01일,"윙 15조각/1(윙선택(간지 윙 15조각)),떡볶이/1",요즘60계에중독되어자주시켜먹네요.오늘도맛있게잘먹었습니다~저번리뷰치즈볼안왔다고적었더니5개를보내주셔서 죄송하기도하고 감사하기도했습니다~자주주문할께요^^,5,5,5
2023년 09월 26일,"순살 크크크치킨/1,웨지감자/1",맛있게 잘 먹었습니다!,5,5,5
2023년 09월 25일,순살 크크크치킨/1,맛있게 잘 먹었습니다 😀,5,5,5
2023년 09월 25일,후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(고추콤보 반)),치즈볼은안챙겨주셨네요.다음엔잘부탁드려요.치킨맛있게잘먹었습니다,5,5,5
2023년 09월 25일,간지치킨/1,먹는데 누린내가 나네요.,2,5,5
2023년 09월 25일,"크크크치킨/1,아~매워!소스/1",축구보면서 먹을랴구 시간맞춰 시켰는데 너무 배달이 일찍 왔어요 ㅎㅎ  양더 너무 많아고 소스도 많아서 너무 푸짐하다는 생각에 좋았어요!,5,5,5
2023년 09월 23일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",진짜 너무 맛있게 먹었어요~ 기름 좀 많이 쓰면 뒷맛에 쓴맛이 좀 있는곳도 있는데 그런게 없어서 좋네요~,5,5,5
