dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 04월 06일,"순살 크크크치킨/1,치즈스틱（5개）/1,크크크소스/1","무가 안왔어요 세상에 어떻게 먹으라고
참 이런 경우를 어떻게 이해해야하는지",4,4,0
2024년 03월 31일,"순살 크크크치킨/1,윙 15조각/1(윙선택(고추 윙 15조각))",먹다찍어서 사진이 별로네요. 맛나네여. 번창하세요.,5,5,4
2024년 03월 23일,"크크크치킨/1,콜라 1.25L/1,미니쫀득볼（10개）/1","배달 리더기 안들고오셔서 계촤이체했어요..;;;
돈 다 끌어모아서 결제ㅠㅠ;; 담부터는 꼭 카드 리더기 챙겨주세요",5,5,1
2024년 02월 02일,"순살 크크크치킨/1,떡볶이/1,콜라 1.25L/2",사진보고 당연히 코카콜라인 줄 알고 넉넉히 주문했는데 펩시왔어요 치킨 너무 맛있어서 다시 주문했는데 콜라 때문에 속은 것 같아서 화가 나네요 ㅎㅎㅎ,5,5,5
2024년 01월 13일,"순살 크크크치킨/1,크크크소스/2",크크크 소스 여러개 시켜서 먹음 딱입니다,5,5,5
2024년 01월 02일,"순살 크크크치킨/1,포테이토 치즈스틱（3개）/1,콘마요소스/1,호랑이치즈볼（5개）/1,치킨 무/2,핫크크크소스/1,호랑이쫀도그（3개）/1",치킨 바삭바삭하고 맛있어요! 치즈볼도 진짜 맛있었습니다👍👍 최애 치킨집 될거같아요!!,5,5,5
2023년 12월 15일,"간지치킨/1,순살 크크크치킨/1","8양이 많고
맛있네요
빨라요 배달도",5,5,5
2023년 12월 13일,크크크치킨/1,맛있어요~~ 감사합니다^^,5,5,5
2023년 12월 11일,"크크크치킨/1,양념소스/1","크크크는 진리입니다.
다만 맵질이라 소스에 약한점...
👍",5,5,5
2023년 12월 08일,순살 크크크치킨/1,"엄청 뜨겁고 완전 바삭하고 맛있어요^^
와사삭 소리가 날 정도로 바삭하네요",5,5,5
2023년 12월 07일,후라이드/1,도착시간 보다 20분 후 도착 음식이 차갑네요,4,4,1
2023년 11월 27일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살더매운고추  반)),크크크소스/1",반반주문했는데 넘 맛있게 잘먹었어요~,5,5,5
2023년 11월 22일,크크크치킨/1,소스가 여러개 와서 다양하게 먹을 수 있네요,5,5,5
2023년 11월 13일,"순살 크크크치킨/1,핫크크크소스/1",너무 맛나요 매주 시켜먹네요 입맛없는 딸도 잘먹으니 너무 좋아요,5,5,5
2023년 11월 10일,후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),"정말 맛있어요!
약간의 문제가 있었는데 빠른 응대도 너무 좋았어요",5,5,5
