dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 04월 15일,순살 크크크치킨/1,크크크치킨 정말 빠삭해요,5,5,5
2024년 04월 14일,순살 크크크치킨/1,늘 먹는 것!!아이들이 좋아해요,5,5,0
2024년 04월 13일,"순살 크크크치킨/1(소스,추가메뉴(크크크소스))",아들이 늘 좋아하는 크크크 치킨 이에요 덕분에 온가족 한달에 한번씩은 먹게되네요 크크크 먹은뒤론 일반 후라이드는 먼가 심심한 느낌. 게다가 크크크 소스도 너무 맛나 추가 했습니다 따뜻하게 맛날때 잘 받아서 실컷 먹었습니다,5,5,0
2024년 04월 12일,윙봉24세트/1(세트메뉴 맛변경(맛 변경 고추치킨)),치킨이 다 식어서 왔음,1,1,0
2024년 04월 08일,"순살 크크크치킨/1,호랑이웨지감자/1,순살간지 치킨/1",맛있게  잘 먹었습니다,5,5,0
2024년 04월 07일,크크크치킨/1,"크크크치킨은 최애치킨이에요
부모님도 너무 잘드세요 남녀노소 누구에게나 맞는 치킨인것 같아요",5,5,0
2024년 04월 07일,후라이드 반＋반마리선택/1(반마리선택(고추치킨 반)),60마리 튀기는 60계는 늘 바삭 신선해여^^,5,5,0
2024년 04월 07일,"뿌리고치밥고/2,크크크치킨/1,미니쫀득볼（10개）/1",ㅋㅋㅋ 치킨 양도 많고 맛있었요.,5,5,0
2024년 04월 06일,후라이드 반＋반마리선택/1(반마리선택(6초치킨 반)),.,5,5,0
2024년 03월 29일,"크크크치킨/1,후라이드 반＋반마리선택/1(반마리선택(호랑이 반))",두번째주문입니다 ㅋ ㅋ ㅋ대박치킨~호랑이는 후라이드랑반반으로 .타사.뿌링클과 비슷하면서.좀.매워 애들이먹기에는 쬐금 매워요 역시우린 ㅋ ㅋ ㅋ족 맛있게 잘먹었네요^^,5,5,3
2024년 03월 22일,"양념치킨/1,코카-콜라500ml/1",딸이 초등저학년인데 양념치킨은 여기꺼만 먹어요~! 그래서 자주 주문하게 되네요. 맛도 맛있고 배달도 빠르고 감사드려요. 번창하세요 사장님~!!^^,5,5,5
2024년 03월 10일,후라이드 반＋반마리선택/1(반마리선택(6초치킨 반)),.,5,5,5
2024년 02월 03일,"순살간지 치킨/1,순살양념 치킨/1",맛난데 가 식어서 왔어요 1집맘 배달일건데 어떻게 된건지 ㅜㅠ 다음에도 이러면 별점 높게 못 드려요,5,5,4
2024년 01월 29일,"순살 하하핫치킨/1,봉 15조각/1(봉선택(후라이드 봉15조각))",맛있게 잘 먹었습니다,5,5,5
2024년 01월 16일,후라이드/1,가성비 좋고 바삭한 치킨을 자주 먹고 있어요!,5,5,5
2024년 01월 06일,"크크크치킨/1,양념소스/1","첨 먹어보는데 바사바삭하고 크크크소스가
피쉬소스 같은데 맛있네요",5,5,5
2024년 01월 06일,순살 하하핫치킨/1,배달빠르고 맛있어요,5,5,5
2024년 01월 06일,순살간지 치킨/1,너무 맛있어서 흡입하다가 사진 찍었어요,5,5,5
2024년 01월 06일,"떡볶이/1,윙 15조각/1(윙선택(후라이드 윙15조각))",맛있어요 맛있어요 맛있어요 ~,5,5,5
2024년 01월 01일,순살 크크크치킨/1,너무 맛있게 먹었어요 ~,5,5,5
2024년 01월 01일,순살간지 치킨/1,맛나게 잘 먹었습니다 정말 조금만 덜 튀기면 더 완벽했을거 같아요,5,5,5
2023년 12월 25일,"크크크치킨/1,쫀득치즈볼（5개）/1",ㅋㅋㅋ 치킨은 첨 먹어보았는데 맛나네요. ^^*,5,5,4
2023년 12월 24일,후라이드/1,자주 주문하는 치킨집이에요! 바싹하고 맛있어요,5,5,5
2023년 12월 23일,"순살 하하핫치킨/1,순살간지 치킨/1",맛있게 잘 먹었습니다,5,5,5
2023년 12월 23일,"크크크치킨/1,콜라 1.25L/1",주변에서 60계 치킨 하도 맛있다고 해서 시켜봤는데 엄청 맛있네요! 양도 많고 소스도 다양해서 좋았습니다:),5,5,5
2023년 12월 16일,"간지치킨/1,고추치킨/1",간지치킨 소스가 너무 적어서 좀 아수ㅏ웧어요 어떤 부위들은 그냥 후리이드였다는…,2,4,5
2023년 12월 01일,"순살간지 치킨/1,순살양념 치킨/1","와 이렇게 완벽하게 튀깅건 첨입니다 너무 환상적으로 맛있어서 과식햤어요
너무 부드럽고 쫀득하고 최고의 치킨이었습니다.",5,5,5
2023년 11월 19일,크크크치킨/1,"바삭바삭 .
아이가 요 치킨이 요즘 잘 나간다고 해서 주문 했는데 오~~ 양도 많은 것 같고 바삭바삭 ~~ 치킨 자체에는 간이 약해서 소스와 함께 ~~ 오~~ 재주문 할 것 같아요 ~~",5,5,5
2023년 11월 17일,순살고추 치킨/1,"입맛 없는
지인에게 배달 시켜 줌 맛나다고 함 ㅎㅎ 
60계에선 이
치킨이
진리임",5,5,5
2023년 11월 15일,순살 크크크치킨/1,"1.2km거리에 빙빙돌다가 배달옴.
예상배달 시간도 점점 늘어나고 치킨이 다 식었어요^^
크크크치킨 바삭하대서 주문했는데 
눅눅하고 차갑고 딱딱해요 ㅎㅎㅎ",1,1,1
2023년 11월 11일,후라이드 반＋반마리선택/1(반마리선택(6초치킨 반)),어머님이 좋아셔서 시켯어용,5,5,5
2023년 11월 04일,크크크치킨/1,맛있고 배송좋고 나이스!!!,5,5,5
2023년 11월 04일,"크크크치킨/1,코카-콜라 제로1.25L/1,미니쫀득볼（10개）/1",맛있고 배송좋고 나이스,5,5,5
2023년 10월 05일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),ㅋㅋㅋ 치킨을 조아하는 아들을 위해 콤보로 시켰어요 맛은 역시나 조쿠 아주 맛있게 잘 먹었어여,5,5,5
2023년 09월 30일,"순살간지 치킨/1,순살양념 치킨/1",늘 맛나게 잘 먹고 있어요,5,5,5
2023년 09월 27일,"윙봉24세트/2(윙봉선택(간지 윙봉)),떡볶이 엔 순살（코카콜라）/1(순살선택(간지 순살)),떡볶이 엔 순살/1(순살선택(양념 순살)),청양마요소스/2,마요네즈소스/2",가게 배달이라 시간이 오래 걸리는것 같지만 빨리옵니다. 간지 치킨이 젤 맛있음,5,5,5
2023년 09월 15일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살고추 반),순살반＋반선택2(순살간지 반))",갓튀겨서 맛잇게먹엇습니다!,5,5,5
2023년 09월 13일,"윙봉24세트/2(윙봉선택(간지 윙봉)),떡볶이 엔 순살/1(순살선택(양념 순살)),떡볶이 엔 순살/1(순살선택(new장스 순살))",잘먹었어요 ㅎㅎㅎㅎㅎㅎ,5,5,5
