dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 04월 22일,순살 크랑이치킨/1,"호랑이치킨 특유의 매콤함이 맛있어요
순살이라 애들하고 먹기 편하네요~
매번 먹는 무난한 치킨이 질렸다면 추천!",4,4,0
2024년 04월 21일,뼈 후라이드반+선택반/1(반마리선택(고추치킨 반)),맛있게 잘 먹엇습니다.,5,5,0
2024년 04월 19일,뼈 후라이드반+선택반/1(반마리선택(고추치킨 반)),치킨 넘나 맛나게 먹었습니다^^~~~,5,5,0
2024년 04월 17일,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 간지치킨))",매일 먹고 싶은 맛입니다ㅋ,5,5,0
2024년 04월 15일,순살 간지치킨/1,언제 먹어도 맛있는 간지치킨!!^^ 애들이 좋아해서 자주 사먹는데 배달료 무료라 포장안하고 배달시켜 먹으니 더 맛나네요~ㅎㅎ 서비스 치즈볼이 예술입니다~~👍,5,5,0
2024년 04월 14일,"순살 선택반+선택반/1(반반맛선택 1(간지치킨 반),반반맛선택 2(고추치킨 반))",항상 맛있게 잘 먹고 있어요^^,5,5,0
2024년 04월 12일,순살 간지치킨/1,맛있습니다 아이들이 좋아합니다,5,5,0
2024년 04월 12일,"호랑이치킨/1(소스,추가메뉴(양념소스))","리뷰이벤트 적는 걸 까먹었는데 치즈볼 2개 보내주셨어요 ㅠ 감동
맛도 감동 서비스도 감동",5,5,0
2024년 04월 11일,"윙봉 선택반+선택반/1(세트반마리선택1(고추치킨 반),세트반마리선택2(고추치킨 반),세트메뉴 음료업그레이드(코카콜라 1.25L 사이즈 업)),멘보샤(10조각)/1","맛있게 잘먹었습니다
리쥬이벤트 치즈볼도 감사합니다",5,5,0
2024년 04월 10일,윙봉24세트/1(윙봉선택(더매운고추 윙봉)),항상 배달도 빠르고 맛있어요. 늘 서비스로 주시는 치즈볼도 잘먹고있어요. 제가 지점별로 다섯군데서 먹어봤는데 여기가 제일 맛있어요,5,5,0
2024년 03월 30일,크크크치킨/1,"바삭하고 맛있어요~
아이들이 좋아해서 주문했다가 50대 줌마 입맛에도 좋네요^^ 술 한잔도 못하는데 맥주한모금 땡기네요 ㅎ",5,5,5
2024년 03월 30일,윙봉24세트/1(윙봉선택(고추 윙봉)),맛나게 잘 먹었습니다.,5,5,0
2024년 03월 30일,후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),"봉인해제 스티커부터가 너무 안심이되고요, 서비스로 도넛까지!!  맛이야 60계~~  말이 필요없지요~^^",5,5,5
2024년 03월 28일,"크크크치킨/1,간지치킨/1","60계 치킨 처음먹어보는데 맛도있고 양도 많네요~
그리고 스티커에 적혀있듯이 서비스도 많이 주셨어요
콜라 1.25L랑 치즈볼.. 감사합니다
엄마도 다른 치킨집보다도 맛있는것같대요~",5,5,0
2024년 03월 26일,"반마리＋반마리 선택/1(뼈반＋반선택1(호랑이 반),뼈반＋반선택2(고추 반))",배고파서 맛나게먹느라 사진을 못찍었어요ㅠ 요즘 최애 치킨집 60계 그중 맛집은 암사점입니다,5,5,0
2024년 03월 26일,후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),항상 맛있게 먹구있습니당,5,5,5
2024년 03월 24일,"고추치킨/1,코카-콜라500ml/1,코카-콜라245ml/1,마요네즈소스/2,치킨 무/1","맛있습니다
종종 시켜 먹을께요",5,5,5
2024년 03월 23일,후라이드/1,바삭하니 넘 맛있어요~,5,5,5
2024년 03월 21일,호랑이콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),크크크치킨 너무맛있어요,5,5,5
2024년 03월 14일,윙봉24세트/1(윙봉선택(고추 윙봉)),"맛있어요
잘먹었습니다",5,5,0
2024년 03월 13일,"호랑이치킨/1,코카-콜라500ml/1","처음 시켜 봤는데 
바삭하면서 매콤 달콤 한게 맛있어요
서비스로 치즈볼 두개랑 감자도 
주시고 양이 많아서 놀랐어요
감사합니다
다음에 또 주문 할께요~^^",5,5,5
2024년 03월 04일,"크크크치킨/1,코카-콜라1.25L/1,치킨 무/1","맛있게잘먹었습니다,오랫만에 먹으니정말ᆢ좋았어요",5,5,5
2024년 03월 03일,순살 크크크치킨/1,"부모님이 치킨이 드시고 싶다해서 시켜드렸어요
어른입맛에도 딱 서비스 치즈볼도 감사합니다
사진은 드시다가 찍었네요",5,5,5
2024년 03월 02일,순살간지 치킨/1,맛있습니다 아이들이 좋아합니다,5,5,5
2024년 03월 01일,고추치킨/1,"양이 좀 늘어난 것 같아요😆😆
언제 먹어도 맛있습니다
서비스 치즈볼도 잘 먹었습니다",5,5,0
2024년 03월 01일,후라이드/1,"양이 좀 늘어난 것 같아요😆😆
언제 먹어도 맛있습니다
서비스 치즈볼도 잘 먹었습니다",5,5,0
2024년 02월 26일,"크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 제로 1.25L)),하하핫치킨/1",기름이 신선하고 맛있어요!,5,5,5
2024년 02월 22일,"콤보（윙,봉,다리）/1(콤보선택(고추 콤보))",매콤하고 맛도 있어요.,5,5,5
2024년 02월 17일,호랑이치킨/1,많은 분들이 암사선사점이 제일 맛있다고 리뷰쓰신대로 진짜 맛있어요. 호랑이치킨은 이국적인 맛인데 중독성있어서 계속 시키게 될거 같아요.,5,5,5
2024년 02월 17일,"순살 크크크치킨/1,순살 호랑이치킨/1,순살간지 치킨/1,순살고추 치킨/1,순살후라이드/1,순살new장스 치킨/1","배달이 빠르고 정확했어요
치킨 맛있게 잘 먹었습니다~!",5,5,5
2024년 02월 12일,"순살 크크크치킨/1,콘마요소스/1,코카-콜라500ml/1",크크크 치킨 처음 먹었는데 정말 맛있네요!!! 양도 푸짐하고 최고였습니다!! 배터지겠네요~~,5,5,4
2024년 02월 12일,"다리 6조각/1(다리선택(크크크 다리 6조각)),다리 6조각/1(다리선택(양념 다리 6조각))",크크크 맛있게 잘 먹었어요,5,5,5
2024년 02월 12일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))","상품부터 배달까지 매우 만족스러웠습니다!!
번창하세요^^",5,5,5
2024년 02월 10일,후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(6초콤보 반)),"6초치킨은 와 진짜 맵네요
맛있게 잘 먹었습니다~",5,5,5
2024년 02월 09일,"윙 15조각/1(윙선택(간지 윙 15조각)),떡볶이/1",맛나요 또 주문 할게요,5,5,4
2024년 02월 06일,간지치킨/1,"이런 배달기사분에게는 배달은 시키지 마세요 ㅎ

ㅋㅋ 맛나서 자주 먹는데
슈퍼간 사이에 (5분?) 배달이 왔더군요
집에 아이만 있는데 기사분이 문을 안 열어준다고
발로 여러번 찼다고 하네요ㅋㅋ

급하게 시키느라 문앞에 두고 가라는걸  깜빡한 저의 잘못이지만 ㅎ
하하하~~배달평가는 0점주고 싶어용",4,3,1
2024년 02월 03일,"후라이드/1,코카-콜라245ml/1",맛이 깔끔하고 좋았습니다 다음에 또 주문하겠습니다,5,5,5
2024년 02월 03일,"후라이드/1,떡볶이/1",항상 먹는곳 입니다.,5,5,0
2024년 02월 02일,후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(양념콤보 반)),처음시켜 먹어봤는대요 맛있게 잘 먹었습니다~~,5,5,5
2024년 01월 29일,크크크치킨/1,저희집 둘째는 치킨을 안 먹는데 바삭해서 그런지 크크크는 먹어요! 강추!,5,5,5
2024년 01월 27일,순살 크크크치킨/1,크크크 치킨은 여전히 맛있네요~,5,5,5
2024년 01월 27일,크크크치킨/1,맛있네요!! 또 시켜야할거같아요,5,5,5
2024년 01월 27일,순살간지 치킨/1,맛있었어요~!!!!,5,5,5
2024년 01월 27일,"반마리＋반마리 선택/1(뼈반＋반선택1(더매운고추  반),뼈반＋반선택2(호랑이 반))",맛잇어요 맛잇는데 다음번엔 다른 종류도 먹어볼게요,5,5,5
2024년 01월 27일,"콤보（윙,봉,다리）/1(콤보선택(하하핫 콤보))",매콤한데 얼얼하지 않고 맛있어서 좋아요~,5,5,5
2024년 01월 27일,순살 크크크치킨/1,넘 감사하게도 사장님께서 서비스 까지 주셨어요 ㅠ 자주 시켜먹을께여! 맛은.... 뭐... 당연히.... 최고의 맛 ㄷㄷ 강추,5,5,5
2024년 01월 25일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),정말 ㅋㅋㅋ치킨 바삭하고 맛있네요^^,5,5,5
2024년 01월 25일,후라이드 반＋반마리선택/1(반마리선택(고추치킨 반)),!!!!!!!!!!?!!,5,5,5
2024년 01월 24일,"반마리＋반마리 선택/1(뼈반＋반선택1(간지 반),뼈반＋반선택2(더매운고추  반))",맛있게 잘 먹었습니다. 더매운고추치킨은 매운데 자꾸 땡기는 맛이 있네요.,5,5,5
