dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 04월 04일,순살 하하핫치킨/1,맛있게 맵네요. 치밥 잘 해 먹었어요,4,4,5
2024년 03월 31일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),"감사합니다 잘 받았습니다 
맛있어요 ^^",5,5,5
2024년 03월 09일,"간지치킨/1,봉 15조각/1(봉선택(양념 봉 15조각))",넘 달아서 ㅠ 별로,2,3,5
2024년 03월 03일,"크크크치킨/1,코카-콜라1.25L/1",잘먹었습니다.근데 거의 다 먹고 치즈볼이 왜 없지????이게 맞는건가요?그동안이 잘못이었나 이번이 실수인지...,5,5,5
2024년 02월 25일,"웨지감자/1,멘보샤 엔 순살/1(순살선택(후라이드 순살)),생맥주 1,000cc/1",맛있게 잘 먹었습니다,5,5,5
2024년 01월 09일,크크크치킨/1,바삭하니.맛있어요!!소스도 굿굿,5,5,5
2024년 01월 06일,후라이드/1,맛있게 잘먹었습니다~~~,5,5,5
2023년 12월 14일,크크크치킨/1,크크크치킨최애아이템,5,5,5
2023년 12월 08일,"크크크치킨/1,간지치킨/1,코카-콜라1.25L/1",맛있네요. 자주 이용하지 않지만 집사람이 너무 좋아해요.,5,4,5
2023년 11월 22일,순살더매운고추 치킨/1,매운맛이 땡겨서 시켰는데 완전 매움  ㅋ 순살인데도 양도많고 감자도 너무 맛잇었네요. 잘먹었습니다 ^^,5,5,5
2023년 11월 05일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(간지순살 반)),"눈 깜짝 할 사이에 다 먹어서 사진이^^;;
맛있었습니다",5,5,5
2023년 10월 28일,"고추치킨/1,코카-콜라1.25L/1",배달도 빠르고 맛있어요^^,5,5,5
2023년 10월 25일,크크크치킨/1,아들이 자꾸 ㅋㅋㅋ치킨 어쩌구 하길래 무슨 소리인가 했더니 실존하는 메뉴였더니!!신기 ㅎㅎ바삭하니 맛있네요. 사실 60계 후라이드 느끼해서 싫어하는 1인인데 크크크는 괜찮네요^^,5,5,5
2023년 10월 24일,순살 크크크치킨/1,맛있었습니다 양도 넉넉해서 만족했습니다,5,5,5
2023년 10월 22일,후라이드/1,바삭하고 맛있어요 감사합니다,4,4,4
2023년 10월 20일,크크크치킨/1,바삭함의 끝판왕. 넘맛있게 잘먹었어요.,5,5,5
2023년 10월 13일,크크크치킨/1,배달도 늦고 좀 느끼했어요 ㅠ,3,3,2
2023년 10월 06일,순살 크크크치킨/1,맛있게 먹었습니다. 근데 다 먹고 치우다가 상자를 봤는데 벌레 시체가 붙어 있더라구요... 음식에 있던건 아니지만 다음부턴 신경 써주셨으면 합니다.,5,5,3
2023년 10월 06일,"간지치킨/1,후라이드/1,아~매워!소스/1,코카-콜라500ml/1",맛있게 잘 먹었습니다~,5,5,5
2023년 09월 23일,크크크치킨/1,맛있게 잘먹었어요 소스 맛있고 바삭해요,5,5,5
2023년 09월 14일,순살 크크크치킨/1,바삭바삭 아이가 너무 좋아해요!,5,5,5
2023년 09월 11일,"순살간지 치킨/1,미니쫀득볼（10개）/1",오늘도 맛있었어요~~,5,5,5
2023년 09월 08일,크크크치킨/1,"넘 맛나게 잘먹었어요 ㅎ
서비스도
감사해요~^^",5,5,5
2023년 09월 08일,후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),애들이 잘 먹어요.,5,5,5
2023년 09월 06일,"후라이드/1,봉 15조각/1(봉선택(후라이드 봉15조각))",치맥으로 맛있게 먹었어요.,4,5,5
2023년 09월 06일,순살 크크크치킨/1,"맛있게 잘 먹었습니다 🙏 🙏 🙏
또 주문하겠습니다
수고하세요
👍 👍 👍",5,5,5
2023년 08월 30일,"크크크치킨/1,코카-콜라1.25L/1","맛있네요 
감자는 실수로 넣어주신거겠죠..?",5,5,5
2023년 08월 28일,윙봉24세트/1(윙봉선택(크크크 윙봉)),잘 먹었습니다   소스가 다양하게 오네요,5,5,5
