dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 04월 23일,윙봉24세트/1(세트메뉴 맛변경(맛 변경 고추치킨)),항상 맛있습니다  최고!,5,5,0
2024년 04월 22일,간지치킨/1,오랜만에 먹는데 여전히 맛있네요,5,5,0
2024년 04월 14일,"콤보 후라이드반+선택반/1(세트반마리선택(고추치킨 반),세트메뉴 음료업그레이드(콜라 1.25L 사이즈 업))","고추치킨은 다먹고 급히 후라이드 사진 찍었어요

오랜만에 주문했는데 엄청 맛있네요
만족",5,5,0
2024년 04월 14일,"순살 크크크치킨/1,양념치킨/1",맛있어요~~항상 잘 먹고 있어요~,5,4,0
2024년 04월 12일,하하핫치킨/1,맛있게잘먹었습니다,5,5,0
2024년 04월 01일,후라이드 윙봉 반＋윙봉 반 선택/1(윙봉반 선택1(양념윙봉 반)),맛있게 잘먹었습니다!!!,5,5,5
2024년 03월 31일,크크크치킨/1,소스 찍어 먹으니 맛있어요,5,5,5
2024년 03월 31일,간지치킨/1,항상 맛있게 먹고 있습니다.,5,5,5
2024년 03월 31일,후라이드/1,바삭하고 맛있어요,5,5,0
2024년 03월 29일,"순살 크크크치킨/1,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반))",항상 맛있게 먹고 있어요~잘 먹었습니다~~,5,5,0
2024년 03월 24일,순살 크크크치킨/1,치킨에 원하는 소스 찍어먹는는데 나쁘지 않네요 콘마요랑 크크크소스는 맛있었는데 핫소스는 평범했음,5,5,5
2024년 03월 22일,크크크치킨/1,맛도 괜찮고 배송도 빨랐습니다.,5,5,5
2024년 03월 13일,순살 크크크치킨/1,맛있어요,5,5,5
2024년 03월 10일,"윙 15조각/1(윙선택(후라이드 윙15조각)),팝콘만두/1,치킨 무/1",후라이드.맛있어요 ㅎㅎㅎ,5,5,5
2024년 03월 09일,"순살후라이드/1,6초치킨/1","너무 맛있어요
아이들은 순살, 어른은 6초 먹었는데 6초는 진짜 맵네요
나름 매운거좋아하지만~",5,5,0
2024년 03월 09일,순살 크크크치킨/1,아이들이 잘먹어서 자주 시켜요! 소스도 골고루 다 잘 어울려서 맛있어요~,5,5,5
2024년 03월 09일,"크크크치킨/1,쫀득치즈볼（5개）/1,치즈스틱（5개）/1,아~매워!소스/1,청양마요소스/1",바삭하고  맛있었어요..^^ 소스도 독특해서 너무좋았어요. 앞으로자주시켜 먹을것같네요~,5,5,5
2024년 03월 05일,"떡볶이 엔 순살/1(순살선택(크크크 순살)),미니쫀득볼（10개）/1",잘먹었습니다 ^^~,4,5,5
2024년 03월 04일,크크크치킨/1,맛있어요~잘 먹었습니다,5,4,5
2024년 03월 04일,더매운고추치킨/1,매콤하고 맛있어요,5,5,0
2024년 03월 03일,크크크치킨/1,"정말바삭바삭
맛납니다
소스도다양하니좋아요",5,5,5
2024년 03월 02일,"봉 15조각/1(봉선택(간지 봉 15조각)),윙 15조각/1(윙선택(간지 윙 15조각))",맛있게 먹었습니다~,5,5,5
2024년 03월 01일,순살 하하핫치킨/1,"맛있구 배달빠르구
잘먹었습니다",5,5,5
2024년 03월 01일,"크크크치킨/1,포테이토 치즈스틱（3개）/1",배달도 빠르고 아주 맛있게 먹었습미다,5,5,5
2024년 02월 24일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",배달 빠르고 맛있어요 친절하시고요 감사합니다 맛있게 먹었습니다,5,5,5
2024년 02월 18일,"콜라 1.25L/1,다리 6조각/1(다리선택(후라이드 다리6조각))","너무 맛있게 먹었습니다^^
부위별로도 팔아서 좋습니다",5,5,5
