dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 04월 20일,"윙봉 후라이드반+선택반/1(세트반마리선택(더매운고추 반),소스,추가메뉴(치킨 무))",언제나 맛나요~~~~~~~~~,5,5,0
2024년 04월 06일,"순살 크크크치킨/1,포테이토 치즈스틱（3개）/1",너무너무 맛있게 잘먹었어요,5,5,0
2024년 04월 02일,순살 크크크치킨/1,추천으로 먹었는데 진짜 너무 맛있었어요 ㅠㅠ 최애치킨이 바뀐순간입니다 진짜 최애치킨 크크크....입니다 ㅠㅠㅠㅠㅠ,5,5,0
2024년 03월 31일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),치킨 맛있게 먹었어요 양념은 7살아이가 맛있게먹을정도로 새콤달콤  했답니다,5,5,5
2024년 03월 29일,순살간지 치킨/1,순살간지 치킨 맛있어요~치즈스틱 맛있게 잘먹었습니다,5,5,5
2024년 03월 23일,순살 크크크치킨/1,가끔먹는데 아이들이 좋아해요,5,5,5
2024년 03월 16일,"콤보（윙,봉,다리）/1(콤보선택(고추 콤보)),고추치킨/1",치킨이 너무딱딱해서 맛이 없어요..,2,4,1
2024년 03월 02일,크크크치킨/1,배달도빠르고 맛잇1.어용,5,5,5
2024년 02월 16일,순살고추 치킨/1,오랜만에 먹어도 너무 맛있어요 순살도 엄청 촉촉하고 짱맛,5,5,0
2024년 02월 12일,"간지치킨/1,후라이드/1",60계치킨 완죤 맛나요~~,5,5,0
2024년 02월 12일,"크크크치킨/1,크크크소스/1",60계치킨 완죤 맛나요~~,5,5,0
2024년 02월 10일,"봉 15조각/1(봉선택(간지 봉 15조각)),봉 15조각/1(봉선택(더매운고추 봉 15조각))",60계치킨 간지랑 더매운맛을 좋아해서 항상 같이 시키는데 간지맛이 간장맛이 진해진것 같아 아쉽네요 ㅜㅜ,4,4,4
2024년 02월 10일,하하핫치킨/1,"마요네즈. 소스가 1개 안와서 아쉬웠지만
맛있고, 배달이. 빨랐어요",5,5,5
2024년 02월 07일,"크크크치킨/1,크크크소스/1","포브스선정 다이어트 시작전날 먹어야되는 음식 1위 크크크치킨입니다.
매달 1회 이상 무조건 먹습니다.
시키실때 크크크소스 추가 필수!!",5,5,5
2024년 02월 04일,순살 크크크치킨/1,맛있게 잘 먹었습니나,5,5,5
2024년 01월 31일,순살후라이드/1,양이 너무 작고 맛도 별로  두번다시 주문 안 하겠다,2,2,4
2024년 01월 04일,크크크치킨/1,완전 맛있어요! 역시 크크크치킨,5,5,5
2023년 12월 31일,"봉 15조각/1(봉선택(더매운고추 봉 15조각)),봉 15조각/1(봉선택(하하핫 봉 15조각))",어제 못먹어서 오늘 너무 먹고싶었어요. 다른점보다 양도 많고 맛있어요~ 기사님도 문자남겨주셔서 감사합니다. 잘먹을께요~,5,5,5
2023년 12월 29일,고추치킨/1,고추치킨 맛있어요.,5,5,5
2023년 12월 25일,순살 크크크치킨/1,ㅋㅋㅋㅋㅋㅋㅋㅋ치킨,4,4,5
2023년 12월 17일,간지치킨/1,"맛있어요.앱 주문하고 50분후 도착했어요.
감사합니다.",5,5,5
2023년 12월 09일,후라이드 반＋반마리선택/1(반마리선택(고추치킨 반)),고추치킨 진짜 맛있어용,5,4,0
2023년 12월 08일,"크크크치킨/1,웨지감자/1","비싸지만 맛있어요!!!
아이덕에 먹어봤네요",5,5,5
2023년 12월 02일,크크크치킨/2,"양도 많고 배달도 빨리와서
잘먹었습니다",5,5,5
2023년 11월 26일,"크크크치킨/1,크크크소스/1",맛있어요. 요청사항 들어주셔서 감사합니다,5,5,5
2023년 11월 26일,"순살 크크크치킨/1,똥집튀김/1,쫀도그/1,콜라 1.25L/1","너무 느끼해요~
다른치킨은 맛있게 먹었는데 
이건 재주문 안할듯~",2,3,3
2023년 11월 17일,"봉 15조각/1(봉선택(간지 봉 15조각)),봉 15조각/2(봉선택(더매운고추 봉 15조각))",소스가 이곳 저곳 ㅠ 넘 지저분하게 와서 입 맛이 뚝 ㅠ 포장에 좀 신경써주길,4,4,1
2023년 11월 13일,순살 크크크치킨/1,맛있게 잘 먹었습니다,5,5,5
