dates,order_items,reviews,taste_score,quantity_score,delivery_score,delivery_score
4일 전,고추치킨/1,고추 좀 많이 달라했는데 실망이네요,2,2,0
2024년 3월 31일,"호랑이치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),호랑이웨지감자/1","맛있었어요

잘먹었습니다.",5,5,5
2024년 3월 29일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),"맛있고, 양도 많고 배송도 빠르고 좋았어요~^^",5,5,5
2024년 3월 26일,고추치킨/1,감사합니다 잘먹겟습니다,5,5,5
2024년 3월 21일,"델리소스/1,콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),포테이토 치즈스틱（3개）/1","치킨은조금작아요 많이 비싸지긴했나봐요ㅜ
간이 세지않아서 아이들이먹기에 좋아요",5,3,5
2024년 2월 24일,순살후라이드/1,튀김옷이 얇아서 그런지 더 바삭하게 느껴지고 속살은 더 야들야들 하게 느껴져서 더 맛있게 먹은거 같아요,5,5,5
2024년 2월 24일,크크크치킨/1(음료선택(스프라이트1.5L)),치킨은 기름이 좋아야 맛있는데 완전 바삭거리고 기름이 좋았는지 너무 맛있게 잘 먹었네요. 뭔가 신선한 느낌이랄까 강추합니다.,5,5,5
2024년 1월 25일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),"처음 먹어보는데
완죤바삭하고 맛나요. 
근데 양이 좀 작은편이요.  
그것만 아쉽고 맛나요. ♡",5,3,5
2024년 1월 10일,하하핫치킨/1,"처음 시켰음.
맛이 있었음",3,3,3
2024년 1월 5일,후라이드 반＋반마리선택/1(반마리선택(6초치킨 반)),"11일 차이(12윌25일과1월5일)로 똑같은 메뉴(후라이드반+60초)를시켰는데 다른 음식(후라이드는 똑같고 60초가다름)이 배달되었습니다  처음(12월25일)에 먹은게 너무 맛있게 먹어서 오늘 다시 주문(후라이드반+60초)했는데 이번엔 진짜  60초치킨이 왔습니다(전화문의후 검색해보니 저희가 처음 먹은게 매운고추양념이더라구요... ) 처음먹어봐서 60초와 매운고추양념을  잘 몰랐습니다 그런데 오늘 배달이 와서 보니 완전 다른 메뉴라 전화문의하니 사진을 찍어달라 이전(12월25일) 주문 내역사진을 보내달라해서 다 보내줬습니다 
그린데!!! 저희가 원한건 처음먹었던거와 바꿔줄수 있냐고 물어보니 안된답니다!!! 전화통화하면서 사진보내달라고해서 먹지도않고 찍어서 보내주고 답변기다리고 했는데  미안하단 말뿐 이더라구여 ㅠ 
정말!!!!! 맛없는 치킨을먹었습니다",1,1,1
2024년 1월 2일,"콤보（윙,봉,다리）/1(콤보선택(간지 콤보)),웨지감자/1","다른 지점에 비해 양이 좀 적다고 느껴지네요..
웨지감자도 태운거 넣어주시구.. 바쁠 수 있다지만 신경은 좀 쓰셔야 할 거 같습니다.",3,3,5
2023년 12월 22일,"크크크치킨/1,간지치킨/1",크크크치킨 궁금해서 시켜봤늨데 바삭해요 소스도 맛있구요,5,5,5
2023년 12월 21일,순살간지 치킨/1,"60계치킨에선 간지치킨만 먹는데 
이번엔 감자가 좀 적게 들고 소스도 적어서 
아쉽네요",4,4,4
2023년 12월 19일,크크크치킨/1,기름이 너무 많이요,2,5,5
2023년 12월 16일,"반마리＋반마리 선택/1(뼈반＋반선택1(호랑이 반),뼈반＋반선택2(고추 반))","호랑이+고추 반반 정말 맛있어요.
배달도 빨랐습니다!",5,5,5
2023년 12월 15일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(간지순살 반)),"적당히 식었으면 괜찮은데 온기가 아에없네요
소스도 적고",1,1,1
2023년 12월 11일,"크크크치킨/1,양념소스/1","맛있는 60계 치킨 ㅋ
예쁘게 담아서 먹고있어요 ㅎㅎ",5,5,5
2023년 12월 10일,"하하핫치킨/1,후라이드/1(음료변경(코카콜라 제로1.25L 사이즈 업))","잘 먹었습니다^^
다만,
후라이드는 너무 튀겨져서 메마른 식감인지라 많이 아쉬웠습니다.
좀 더 신경 써 주셨으면 좋겠습니다.",4,4,5
2023년 11월 21일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),"요즘 빠져있는 크크크 치킨
짱입니다
완전바삭~~~맛최고 소스도 굿굿굿 
정착~~~!!
완전 맛나다",5,5,5
2023년 11월 18일,"반마리＋반마리 선택/1(뼈반＋반선택1(호랑이 반),뼈반＋반선택2(고추 반))","호랑이치킨 맛있대서
고추+호랑이 반반 시켜봤는데 정말 맛있어요.
자극적이고 짠 편이니 참고하세요.",5,5,5
2023년 10월 28일,크크크치킨/1,엄청 바사삭 하네요. ^^,5,5,5
2023년 10월 10일,"크크크치킨/1,멘보샤（10개）/1",바삭의 초절정ㅎㅎ 강추입니당,5,5,5
2023년 9월 8일,순살 크크크치킨/1,사진도 찍기전에 아이들이  순식간에....소스도 맛잇고 치킨도 바삭바삭 너무 많있어요,5,3,5
2023년 9월 7일,크크크치킨/1,오랜만에 시켜먹는 치킨인데 정말 맛있네요 탁월한 선택이었습니다 잘먹었습니다,5,5,5
2023년 8월 30일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보)),호랑이치즈볼（5개）/1",크크크 처음 먹었는데 맛있었어요,5,5,5
2023년 8월 25일,후라이드 윙봉 반＋윙봉 반 선택/1(윙봉반 선택1(간지윙봉 반)),매주 주문하는데 항상 바삭하고 맛있어용~^^,5,5,5
2023년 8월 24일,"호랑이치킨/1,미니쫀득볼（10개）/1",울 아들이 항상먹는 치킨~~  넘 맛있답니다.,5,5,5
2023년 8월 22일,후라이드/1,요즘 젤좋아하는 치킨집,5,5,5
2023년 8월 15일,순살 크크크치킨/1,오 신기한 맛입니다 바삭,5,5,5
2023년 8월 12일,"크크크치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),다리 6조각/1(다리선택(후라이드 다리6조각))","60계치킨은 발산등촌점이 최고
진짜 바삭해용",5,5,5
2023년 7월 31일,"크크크치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),호랑이웨지감자/1",맛은있는데 너무 물린당 근데 다른건 다 좋았씀,5,5,5
