dates,order_items,reviews,taste_score,quantity_score,delivery_score,delivery_score
어제,"고추치킨/1,크크크치킨/1(사이드메뉴 추가(호랑이웨지감자))",아주 맛나게 잘 먹었습니다.,5,5,0
6일 전,순살 크랑이치킨/1,제 입맛에는 너무 달아요,3,5,0
2024년 4월 14일,크크크치킨/1(음료선택(코카콜라1.25L)),신선하고 소문듣고 주문했는데 아이들잘먹네요~^^,5,5,0
2024년 4월 11일,후라이드/1,바삭하고 맛있어요 재주문할고예요,5,5,0
2024년 4월 9일,더매운고추치킨/1,최고 최고..  맛난 음식. 감사드려요,5,5,0
2024년 4월 8일,하하핫치킨/1,"매운 양념맛중에 최고에요
뒷끝깔끔한 매운맛",5,5,0
2024년 4월 6일,더매운고추치킨/1,정말 맵고 정말 맛있어요.. 양도 어마무시~^^,5,5,0
2024년 3월 31일,후라이드/1(음료선택(콜라 1.25L 사이즈 업)),너무 잘먹었습니다,5,5,3
2024년 3월 24일,"간지치킨/1,떡볶이/1",치킨도 떡볶이도 아주 맛있어요:),5,5,5
2024년 3월 24일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(하하핫윙봉 반),윙봉반＋반 선택2(간지윙봉 반))",항상 맛있게 잘먹고 있습니다~,5,5,5
2024년 3월 23일,순살 하하핫치킨/1,"배달 빠르고, 양념 치킨인데도 전혀 눅눅하지 않고 뭣보다 적당하게 맛있게 매워요. 단맛도 쎄지 않아서 밥 비벼 먹으면 딱 좋네요. 맛있게 먹었어요.",5,5,5
2024년 3월 17일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(하하핫윙봉 반),윙봉반＋반 선택2(간지윙봉 반)),떡볶이/1",맛있게 잘먹었습니다 ~:),5,5,5
2024년 3월 16일,순살 크크크치킨/1,"60계 치킨은 첨이고, 이영자 광고가 넘 땡기는데다 후기까지 좋아서 시켜봤는데, 저희집은 역시 양념이네요. 치킨은 정말 바삭하고 잡내 안나고 맛있었는데, 소스가 3가지 모두 저희집 입맛에는 안맞아서 결국엔 남겼어요. ㅎㅎㅋ 치킨은 맛있었어서 다음에 양념으로 한번 더 시켜볼게요. 근데 60계 치킨에도 매운 양념맛이 있는지 모르겠네요.",4,5,5
2024년 3월 10일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(하하핫윙봉 반),윙봉반＋반 선택2(간지윙봉 반))",맛있게 잘먹었습니다,5,5,5
2024년 3월 9일,"아~매워!소스/1,후라이드/1(음료선택(코카콜라1.25L))","잘먹었습니다 
바삭하니 맛있네요 양도많고 둘이먹었는데 남았어요",4,5,3
2024년 3월 1일,"순살 크크크치킨/1,순살간지 치킨/1","일주일에 한번은 꼭 먹는 ㅋㅋㅋ
배달도 빠르고, 맛도 있는 최애치킨입니당",5,5,5
2024년 2월 28일,고추치킨/1,음식이 깔끔하고 맛있어요  배달도 잘해주셨어요 추천합니다,4,4,4
2024년 2월 21일,"콤보（윙,봉,다리）（코카콜라）/1(콤보선택(크크크 콤보)),콤보（윙,봉,다리）（코카콜라）/1(콤보선택(하하핫 콤보))",맛있고 양도 많고 배달도 빨리오고 거기에 기분좋게 할인까지~!!,5,5,5
2024년 2월 18일,크크크치킨/1,맛있게 잘먹었네요. 번창하세요,4,4,4
2024년 2월 18일,"후라이드/1,미니쫀득볼（10개）/1,웨지감자/1,라이스치즈스틱（5개）/1,양념소스/2","후라이드를 시켰지만 이건 뭐 너무 바짝 팍팍 딱딱!!! 
잘게 자른 조각을 그리 튀기니 딱딱 
심지어 한마리를 4명이서 다먹지 못했고 저렇게 남겼다니 말 다 한거 아닌가요?  싸이드 메뉴만 걍~먹었네요 
다음에 안시킬꺼 같네요ㅠㅠ 
튀기는 시간 연구 하셔야겠어요~ 비추비추!!!",1,1,5
2024년 2월 17일,순살 크크크치킨/1(음료선택(스프라이트1.5L)),조카들이 좋아해서 오면 자주 주문해요,4,4,4
2024년 2월 14일,"윙봉24세트/1(윙봉선택(후라이드 윙봉)),직화쫀득불닭발/1,코카-콜라1.25L/1",바삭하고  맛있어요~배달  완전 빨라요,5,5,5
2024년 2월 13일,순살 크크크치킨/1,완전 바삭해요. 양념도 맛있고 양도 푸짐해요.,5,5,5
2024년 2월 12일,"크크크치킨/1,순살 크크크치킨/1,미니쫀득볼（10개）/1","항상 여기서만 시켜먹는데 친절하시고, 배달도 빠르고, 맛있습니다!!ㅎㅎ 덕분에 즐겁고, 맛있는 명절 보냈습니다! 새해 복 많이 받으세요:)",5,5,5
