dates,order_items,reviews,taste_score,quantity_score,delivery_score
6일 전,뼈 후라이드반+선택반/1(반마리선택(간지치킨 반)),항상 맛있어요. 리뷰이벤트로 준 치즈볼도 맛있네요.,5,5,0
2024년 4월 14일,크크크치킨/1,"바삭바삭하네요 
맛있게 잘먹었습니다 감사합니다",5,5,0
2024년 4월 13일,윙봉24세트/1(세트메뉴 맛변경(맛 변경 크크크치킨)),맛있게 잘 먹었습니다 감사합니다,5,5,0
2024년 4월 7일,"순살 하하핫치킨/1,웨지감자/1,치킨 무/1","감자튀김은 여전히 많네요
리뷰 이벤트 굿",5,5,0
2024년 3월 29일,후라이드/1,깨끗한 기름 어른들이랑먹기에좋아요!,5,5,5
2024년 3월 19일,"하하핫치킨/1,쫀득치즈볼（5개）/1",매콤알싸하게 한주 피로를 너무 잘 풀었습니다. 특히 핫치킨은 맥주랑 궁합이 어마어마하네요.^^ 반창하세요!,5,5,5
2024년 3월 14일,"순살 하하핫치킨/1,호랑이치킨/1,웨지감자/1","정말 맛있네요 코카콜라 1.5리터까지 ㄷㄷ
감사합니당~",5,5,5
2024년 3월 12일,호랑이치킨/1,배달도빠르고 맛있걱잘먹을게요,5,5,5
2024년 3월 7일,후라이드/1,👍👍👍👍👍,5,5,5
2024년 3월 5일,"후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(간지콤보 반)),떡볶이/1",배달도빠르고 맛있어요,5,5,5
2024년 3월 1일,후라이드 반＋반마리선택/1(반마리선택(고추치킨 반)),ddddddddddd,5,5,5
2024년 2월 26일,순살 크크크치킨/1,맛있게 먹었습니다~~,5,5,5
2024년 2월 26일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),양념이 매울까봐 조금 걱정했는데 진짜 매콤밖에 안하고 그냥 아이들먹기 딱 젛은 진짜 맛있는 양념이에요 엄청 잘 양념이 베어있고 배달도 빠르고 좋아요,5,5,5
2024년 2월 26일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",와 미쳐 진짜 맛있어요ㅠㅠ 배달도 빠르고 진짜 또 생각나요,5,5,5
2024년 2월 25일,호랑이치킨/1,👍👍👍👍👍,5,5,5
2024년 2월 24일,순살후라이드/1,담백하고 바삭하고 죤맛탱구리!!,5,5,5
2024년 2월 21일,순살 크크크치킨/1,맛있게 먹었습니다!!,5,5,5
