dates,order_items,reviews,taste_score,quantity_score,delivery_score
17시간 전,"크크크치킨/1(소스,추가메뉴(크크크소스))","역시 믿고 먹는 크크크 치킨!!!
특히 크크크 소스에 찍어먹으면 진짜 존맛탱구리입니다👍👍👍
다욧 중 치팅으로 시켰눈데…닭 사이즈가 작아서 그런지 먹어도 살1도 안찔거 같는 너낌적인 너뀜…..🥲",5,5,0
어제,"떡볶이/2,순살 크랑이치킨/1(소스,추가메뉴(크크크소스)),순살 하하핫치킨/1(소스,추가메뉴(크크크소스))","배달도 빠르고 맛있어요! 
양도 진짜 푸짐하네요 
재구매 의사 100입니닷 
번창하세요!",5,5,0
2024년 4월 13일,"호랑이웨지감자/1,후라이드치킨/1","맛나게 먹었시요 
맛  좋아부러",5,5,0
2024년 4월 10일,순살 후라이드반+선택반/1(반마리선택(호랑이 반)),양도 많고 오랜만에 먹어서 맛있어요,5,5,0
2024년 4월 10일,"후라이드치킨/1(사이드메뉴 추가(쫀득치즈볼(5조각)),사이드메뉴 추가(떡볶이),소스,추가메뉴(청양마요소스),소스,추가메뉴(크크크소스)),라이스치즈스틱(5조각)/1",양많고 맛있어요~~~,5,5,0
2024년 4월 6일,"크크크치킨/1,크크크소스/1,콘마요소스/1",빠른 배송으로 야구보면서 맛있게 먹고 있어요,5,5,0
2024년 4월 3일,순살 크크크치킨/1,바삭바삭하고 맛잇어요,5,5,0
2024년 4월 3일,윙봉24세트/1(윙봉선택(크크크 윙봉)),"크크크가 땡긴다고 시켜주면 
늘 맛있게 잘 먹어서 좋습니당
보내주신 소스도 다 맛있네용
배달까지 빨라 기분좋게 먹었어용",5,5,5
2024년 3월 29일,"하하핫치킨/1,코카-콜라1.25L/1",맛있게잘먹어서요배달두빨라서좋아요,5,5,5
2024년 3월 28일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),"후라이드 튀김이 덜 튀겨져서 튀김옷이 벗겨지고
살이 물컹 거리네요 좀 더 바싹튀겨서 양념도 묻히면 더 좋을듯 합니다",4,5,5
2024년 3월 26일,"떡볶이/1,콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",맛있게 잘먹겠습니다 구성이 알차네요,5,5,5
2024년 3월 24일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),무난합니다 감사합니다,5,5,0
2024년 3월 21일,크크크치킨/1,주문할때 리뷰 이벤트 표시가 없어서 없는줄 알았는데 있어서 아쉽네요.,5,4,5
2024년 3월 18일,후라이드/1,맛니게 먹고 있어요 ^^,5,5,5
2024년 3월 17일,순살 크크크치킨/1,배달이 빨라서 따뜻하고 맛있게 먹었습니다.,5,5,5
2024년 3월 17일,"반마리＋반마리 선택/1(뼈반＋반선택1(하하핫 반),뼈반＋반선택2(호랑이 반))","바삭하고 너무 맛있어요 양이 많네요 
다른 60계지점보다 더 바삭하고 맛있어요 
잘 먹었습니다 ㅎㅎ 맛있어요 하하하는 식은게 더 맛있어서 남겨 놓고 나중에 밥에 비벼 먹으려구요",5,5,5
2024년 3월 16일,간지치킨/1,"간장치킨중에 덜 짜고 제일 맛있어요!! 

맛있게 잘 먹었습니다😁🙏",5,5,5
2024년 3월 16일,"후라이드 반＋반마리선택/1(반마리선택(호랑이 반)),웨지감자/1",후라이드랑 호랑이 반반으로 주문했는데 살짝 맛보고 다음엔 호랑이 단품 주문해서 먹어보고 싶게 매력적인 맛이네요. 매운거 잘 못먹는 저에겐 뭔가 굉장히 매운게 있어서 혀가 아프지만 그래도 또 먹고 싶은 그런 맛입니다. 같이 주문한 감자도 따뜻하고 폭신하고 맛있습니다.,5,5,5
2024년 3월 13일,"다리 6조각/1(다리선택(간지 다리 6조각)),치킨 무/1",넘 맛있게 잘먹었어요 사장님도 짱친절하세요,5,5,0
2024년 3월 13일,윙봉24세트/1(윙봉선택(고추 윙봉)),맛있게 잘먹었습니다,5,5,5
2024년 3월 13일,"쫀도그/1,윙 15조각/1(윙선택(고추 윙 15조각))",치즈볼은 왜 안 주셨나요ㅠㅠ 리뷰이벤트라는 단어를 안 적어서 그런가요ㅠㅠ 치킨은 맛있네요ㅋㅋ,5,5,5
2024년 3월 10일,"후라이드 반＋반마리선택/1(반마리선택(호랑이 반)),호랑이웨지감자/1","주문전에 리뷰을 봤을때는 양이 적어보여서 감자을 추가로 시켜는데 배달이 와서 보니까 생각보다 양도
많고 맛있게 먹었어요.",5,5,5
2024년 3월 10일,"크크크치킨/1,웨지감자/1,떡볶이/1",배달도 빠르고 너무 맛있었습니다,5,5,5
2024년 3월 10일,"크크크치킨/1,웨지감자/1","아이가 치킨을 좋아해서 어느 곳에서 시킬까 고민하다가 바삭하고 맛있는 크크크로 결정하였습니다!
역시 맛있게 잘 먹었네요!!",5,5,5
2024년 3월 9일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",다리 봉 윙  3가지 보내ㅐ 달라고 했는데 봉 윙 2가지 만 왔네요 그렇세 하면  다음부턴 안 시켜 먹겠어요,1,1,5
2024년 2월 26일,순살간지 치킨/1,맛있게 잘먹었어요,5,5,5
2024년 2월 26일,크크크치킨/1,맛도 배달도 최고입니다 늘 감사합니다,5,5,5
2024년 2월 24일,크크크치킨/1,크크크 치킨~ 완전 맛있어요~! 완전 강추~!,5,5,0
