dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 4월 12일,"다리 6조각/1(부분육단품 맛변경(후라이드),사이드메뉴 추가(라이스치즈스틱(5조각)),사이드메뉴 추가(떡볶이),소스,추가메뉴(청양마요소스))","오~~~ 너무 맛있어요...ㅎ
치킨, 떡복이 굿굿...마니마니 흥하세요 ㅎ",5,5,0
2024년 4월 12일,"후라이드치킨/1(소스,추가메뉴(양념소스)),떡볶이/1,웨지감자/1","양은 많아서 좋은데
기름이 시커먼건지……튀김옷이 왜이래요?
좀 쩔어보임…생각보다 바삭하지도 않아요
기대했는데,,",4,5,0
2024년 4월 9일,"봉 15조각/1(부분육단품 맛변경(후라이드)),순살 후라이드치킨/1",맛있게 잘 먹겠 습니다,5,5,0
2024년 4월 7일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(양념순살 반)),확실히 기름이 깨끗한 것 같아요!,5,5,0
2024년 3월 31일,"봉 15조각/1(봉선택(더매운고추 봉 15조각)),쫀도그/1,사이다 500ml/1",맵부심으로  손색 없는 맛입니다,5,5,5
2024년 3월 31일,순살 크크크치킨/1,처음 시켰는데 맛있네요! 배달도 빠르네요!,5,5,5
2024년 3월 30일,크크크치킨/1,"배달시간보다 일찍와서 놀랐어요 ^^안전운전하시면서 오셔도됩니다
치킨 너무 맛있었어요^^항상 가게번창하세요^^",5,5,5
2024년 3월 25일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",처음먹는데 맛있어요. 크크크치킨 바삭하고 소스도 좋네요,5,5,0
2024년 3월 24일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),맛있게 먹었네요~~,4,5,0
2024년 3월 24일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",크크크 첨인데 맛있네요 ㅎㅎ,5,4,0
2024년 3월 17일,순살 크크크치킨/1,"아이들이 바삭한 치킨을 좋아해서 요즘은 크크크 치킨만 먹게 되네요
깔끔하고 바삭해서 맛있어요
같이 주시는 소스들로 다양하게 맛볼 수 있어서 좋아요",5,5,0
2024년 3월 17일,순살양념 치킨/1,"양념도 맛있고 후라이드도 바삭하고 맛있게 잘 먹었어요
근처에 60계 치킨 매장 생겨서 너무 좋아요",5,5,0
2024년 3월 15일,"후라이드/1,치즈스틱（5개）/1,봉 15조각/1(봉선택(후라이드 봉15조각))","오늘도 맛있게ㅈ먹겠습니다
서비스도 감사드려요",5,5,5
2024년 3월 10일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),괜찮아요. 양 많아요. 좀 달아요,4,5,3
2024년 3월 10일,후라이드 반＋반마리선택/1(반마리선택(고추치킨 반)),바로 가지러 갔는데도 치킨이 식어서 많이 아쉬웠습니다.,2,4,0
2024년 3월 8일,"크크크치킨/1,치킨 무/1","역시 바삭한 식감이 일품이네요
박스를 열었는데 치킨양이 많아서 먹기전에 반하고~
한입 먹었더니 맛있어서 또 반했습니다.
ㅋㅋㅋ소스는 개인적으로 너무 맛있어요.
다양한 소스덕에 질리지 않게 잘 먹었습니다",5,5,5
2024년 3월 6일,순살 크크크치킨/1,"첫느낌 빠삭
속살느낌 촉촉
크크크치킨이 다함
전 주에먹고, 또 생각나서 주문~~",5,5,5
2024년 3월 3일,간지치킨/1,맛있게잘먹었어요.굿!!,5,5,5
2024년 3월 1일,순살 크크크치킨/1,"광고보고 궁금해서 시켜봤는데,
대박 바삭하고,속살은 촉촉하고,
찍어먹는 소스도 독특한데 맛나요
당분간 계속 시키게 생겼어요~
야식으로 1마리 못먹는데, 가루까지 다 먹긴 첨인듯요.
분량 뺏길까봐 사진찍을 시간 없었네요^^",5,5,5
2024년 3월 1일,"후라이드/1,치즈스틱（5개）/1","오늘도 맛있게 잘 먹겠습니다
서비스도 감사합니다😄👍",5,5,5
2024년 2월 29일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),치즈스틱（5개）/1","60계 치킨 사랑해요😄👍👍👍
서비스도 정말 감사드려요
너무 맛있어요👍👍👍👍👍",5,5,5
2024년 2월 28일,"고추치킨/1,웨지감자/1,쫀도그/1,아~매워!소스/1,핫크크크소스/1",첨먹어봤는데 맛닜어요~~ 느끼할만하면맵고 ㅎㅎ 잘먹었어용~~ 좋네요~~,4,5,5
2024년 2월 28일,"순살후라이드/1,웨지감자/1,콜라 245ml/1",자주 맛있게 먹습니다,4,4,4
2024년 2월 25일,"순살 크크크치킨/1,크크크소스/1,콘마요소스/1",크크크치킨은 역시 순살이죠! 세상 바삭하고 크런치해서 아주아주 맛있게 먹었어요,5,5,5
2024년 2월 24일,후라이드/1,"ㅜㅜ 오늘은 미니볼이 없네요 슬픔 ㅋ ㅋ
잘 먹겠습니다",5,5,5
2024년 2월 24일,후라이드/1,"어제 먹고 맛있어서 오늘 또 시켜요

후라이드 바삭 바삭",5,5,5
2024년 2월 19일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보),음료선택(콜라 1.25L))",맛있게 잘 먹었습니다,5,5,5
2024년 2월 18일,간지치킨/1,빠르게 준비 되어서 좋아요. 맛있게 잘 먹었습니다.,5,5,0
2024년 2월 12일,순살 크크크치킨/1,항상 시켜먹는데 양도 많고 맛있습니다😀,5,5,5
2024년 2월 12일,순살 크크크치킨/1(음료선택(콜라 500ml)),크크크 양파소스와 너무 잘어우러져 맛있게 먹었답니다~!,5,5,5
2024년 2월 10일,"후라이드 윙봉 반＋윙봉 반 선택/1(윙봉반 선택1(양념윙봉 반)),콜라 500ml/1",맛있게 너무 잘먹었어요~~~리뷰 쓴다는걸 잊고 너무 맛잇게 엄마랑 다 먹어버려서 양념만 남았네요 ㅋㅋㅋㅋ너무 맛잇었고 배달도 빨리와서 식기전에 따뜻하게 잘 먹엇습니당 감사합니다^_^대박나세요 !!!,5,5,5
2024년 2월 9일,"후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(호랑이콤보 반)),치즈스틱（5개）/1","그어제 넘 맛잇게 먹어서 오늘 또 주문햇어요
아들 좋아하는 후라이 저는 역시 호랑이치킨~
매일 새 기름 60마리만 튀겨서 그런가 바삭하고 
더 맛있네요 👍👍
맛있어서 또 리뷰 남기고갑니다 ^^",5,5,5
