dates,order_items,reviews,taste_score,quantity_score,delivery_score
18시간 전,순살 크랑이치킨/1,바삭바삭 매콤 맛있게 잘 먹었습니다,5,5,0
2일 전,순살 후라이드치킨/1(음료업그레이드(제로콜라 1.25L 사이즈 업)),정말 빠르군요. 바로튀긴 것을 먹는 기분 참 좋습니다.,5,5,0
3일 전,순살 후라이드치킨/1(음료업그레이드(제로콜라 1.25L 사이즈 업)),빠르고 담백하고 맛있어요!! 따뜻하네요!!!,5,5,0
2024년 4월 10일,크랑이치킨/1,크리스피함과 매콤함에.조화가 너무 너무 좋았습니다 치맥하며 오늘의 고단함을 잊게해줘서 너무 감사합니다,5,5,0
2024년 4월 9일,순살 후라이드치킨/1(음료업그레이드(콜라 1.25L 사이즈 업)),"바삭한 식감으로 맛있게 먹었어요.
배달해 주셔서 감사합니다.",5,5,0
2024년 4월 6일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(양념순살 반)),항상 맛있게 잘 먹고 있습니다!!,5,5,0
2024년 3월 31일,순살 크크크치킨/1,"배달도 빨리 오고 치킨 너무 맛있어요ㅠㅠ
거기다 사장님께서 서비스까지 주셔서 감사했습니다😭👍💖

다음에 또 주문하겠습니다!!!
가게 번창하세요오❤️",5,5,5
2024년 3월 30일,순살 크크크치킨/1,배달 빠르고 맛있어요.,5,5,5
2024년 3월 29일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),떡볶이/1",G       o     o     d     !,5,5,5
2024년 3월 22일,후라이드/1,맛있게 잘 먹었습니다,5,5,5
2024년 3월 19일,"후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(더매운고추콤보  반)),생맥주 1,000cc/1",완전 매워요 그래서ㅜ더 맛있어요,5,5,5
2024년 3월 17일,크크크치킨/1,"너무 고소하고 바삿한게
맛이 좋아요~",5,5,5
2024년 3월 16일,후라이드/1,"맛있게 먹었어요
후라이드 존맛",5,5,5
2024년 3월 14일,"크크크치킨/1,호랑이치킨/1","맛있게 먹었습니다
호랑이 치킨 새로운 맛난 맛이였어요
매콤달콤  애들이 맛있다고 잘 먹었습니다
감사합니다~",5,5,5
2024년 3월 10일,"후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(고추콤보 반)),웨지감자/1",항상 시켜먹어요 맛있어요,5,5,5
2024년 3월 7일,크크크치킨/1,시간 정확히 맞춰 배달해주셨어요. 맛있게 잘 먹었습니다. 번창하세요~,5,5,5
2024년 3월 2일,순살 하하핫치킨/1,매콤하면서 맥주안주로 딱입니다. 근데..먹을수록 매워요.,5,5,5
2024년 2월 29일,"순살 크크크치킨/1,코카-콜라1.25L/1,크크크소스/1,양념소스/2","와우 넘 바삭하고 맛있어요
양념 소스랑 같이 찍어먹으면 완전 맛있어요^^",5,5,5
2024년 2월 27일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",먹기 좋아서 자주 시킬 것 같아여~,5,5,5
2024년 2월 20일,"콤보（윙,봉,다리）/1(콤보선택(호랑이 콤보))","양 많고 배달 시간 안에 왔어요
맛은 음.. 모르겠어요 양 많아요 감자는 맛이 좀 이상해오..
진짜 매웠어요 맵찔이들은 매워요 ㅠ",3,5,5
2024년 2월 17일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",맛있게 잘먹었습니다,5,5,5
2024년 2월 17일,크크크치킨/1,"맛이재미있어요
바삭하고 쫀득한맛이에요",5,5,5
2024년 2월 12일,후라이드 반＋반마리선택/1(반마리선택(고추치킨 반)),"이른저녁 겸 주문했어요. 
주문한지 얼마 되지 않아 따끈따끈한 치킨 도착~
넘 빨리와서 흠칫ㅋㅋ
늘 순살 주문하다가 뼈있는걸로 주문했는데 
기름이 깨끗해서인지 튀김옷 색깔도 굿
맛도 굿 입니다요.^^

새해 복 많이 받으세요~",5,5,5
2024년 2월 11일,크크크치킨/1,애기가 시켜달라고햐서 시켰는데 개인적으로 최야치킨될거같아요 정말 바싹하고 양많고 맛있어용,5,5,5
2024년 2월 11일,크크크치킨/1,👍 👍굿 👍 👍,5,5,5
2024년 2월 1일,후라이드/1,굿,5,5,5
2024년 1월 29일,하하핫치킨/1,"이번에는푸짐하게와서너무좋아용ㅋ감사합니다 
번창하세용",4,5,4
2024년 1월 28일,"윙 15조각/1(윙선택(간지 윙 15조각)),윙 15조각/1(윙선택(후라이드 윙15조각)),치킨 무/1",소스 넉넉히 발라주셔서 맛있게 잘 먹었습니다.^^,5,5,5
2024년 1월 28일,"콤보（윙,봉,다리）/1(콤보선택(고추 콤보))",맛있게 잘먹었어용 굿굿,5,5,5
2024년 1월 28일,"윙 15조각/1(윙선택(더매운고추 윙 15조각)),생맥주 1,000cc/1",맛있게 잘 먹었습니다,5,5,5
2024년 1월 25일,하하핫치킨/1,며칠전에주문할때는양도푸짐했는데오늘은양이별루인듯싶네용 닭이너무작은데용,3,1,3
2024년 1월 23일,"호랑이치킨/2,코카-콜라1.25L/1","처음 맛본건대 대박
ㄱ ㄴ 손절하고 60계로 갑니다",5,5,5
2024년 1월 22일,크크크치킨/1,아이가. 주문해달라고해서 주문햇는데요  소스두 맛있고 처음으로 남기지 않앗어요.  맛있게 잘 먹었습니다,5,5,5
2024년 1월 21일,윙봉24세트/1(윙봉선택(크크크 윙봉)),배송이 많이 늦었지만 좋아하는 메뉴이기때문에 잘 먹었습니다.,4,4,4
2024년 1월 19일,크크크치킨/1,"비싼 후라이드
호불호가 나뉘는맛",2,3,5
2024년 1월 18일,"간지치킨/1,크크크치킨/1",맛있게 잘 먹었습니다~ 많이 파세요,5,5,5
2024년 1월 17일,"반마리＋반마리 선택/1(뼈반＋반선택1(호랑이 반),뼈반＋반선택2(양념 반)),웨지감자/1","좋아용,,, ,,,",4,5,5
