dates,order_items,reviews,taste_score,quantity_score,delivery_score
2시간 전,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(후라이드)),순살 하하핫치킨/1",맛있게 잘먹었습니다.,5,5,0
어제,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(후라이드))",맛있게 잘먹었습니다.,5,5,0
2일 전,크크크치킨/1(사이드메뉴 추가(떡볶이)),너무맛있어요 식어도 ㅋㅋㅋ 네요,5,5,0
2024년 4월 14일,"다리 6조각/1(부분육단품 맛변경(맛 변경 고추치킨)),고추치킨/1",배달빠르고 맛있게 먹었습니다,5,5,0
2024년 4월 14일,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 고추치킨))",존맛존맛 존존맛입니다. 덕분에 롤경기도 잘봤어요,5,5,0
2024년 4월 13일,"크랑이치킨/1,윙 15조각/1(부분육단품 맛변경(맛 변경 더매운고추치킨))","순삭으로 사진 못찍었네요 ㅠ ㅎ
새로운맛 맛있게 잘먹었씀다
다음엔 다른맛으로 주문할깨요",5,5,0
2024년 4월 10일,순살 호랑이치킨/1,치킨이 덩어리로 크게 왔어요 😢,5,4,0
2024년 4월 4일,순살 크크크치킨/1,"뼈있는걸 좋아하는데
뼈없는거 시켜먹었더니
그전에 먹던 맛이 안나서
담엔 뼈있는거로 시킬 예정임
취향이 다르다보니
오늘 뼈없는치킨맛은 조금
반감되네요.",4,5,0
2024년 3월 29일,크크크치킨/1,바삭고소 너무너무 맛있어요.,5,5,0
2024년 3월 27일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),순살new장스 치킨/1",맛있게 잘먹었습니다.,5,5,5
2024년 3월 26일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살양념 반),순살반＋반선택2(순살간지 반),음료변경(코카콜라 제로1.25L 사이즈 업))",부드럽고 맛있습니당!,5,4,5
2024년 3월 19일,크크크치킨/1,크크크치킨 넘 바삭하고 맛납니다 소스도 맛있어요,5,5,5
2024년 3월 18일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),순살new장스 치킨/1",맛있게 잘먹었습니다.,5,5,5
2024년 3월 15일,크크크치킨/1,맛있게 잘 먹었습니다,5,5,5
2024년 3월 13일,하하핫치킨/1,60계치킨 처음먹어봐요 나름 매력이 있네요,5,5,5
2024년 3월 7일,크크크치킨/1,맛있게 잘 먹었습니다!,5,5,5
2024년 3월 6일,순살간지 치킨/1(음료선택(콜라 1.25L)),"간지치킨 너무 맛있어요,,,
웨지감자까지 매우 완벽
또 시켜먹을게요",5,5,5
2024년 3월 2일,순살 하하핫치킨/1,먹고싶던 하하핫~~드뎌 먹어보네요^^!!,5,5,5
2024년 3월 2일,"후라이드 순살 반＋순살 반 선택/1(순살반마리선택(양념순살 반),음료선택(코카콜라1.25L)),순살 크크크치킨/1(음료선택(코카콜라1.25L)),호랑이웨지감자/1,웨지감자/1",ㅅㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,5,5,5
