dates,order_items,reviews,taste_score,quantity_score,delivery_score
2일 전,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 간지치킨),사이드메뉴 추가(쫀득치즈볼(5조각)))",항상 맛있게 먹고 있어요 감사합니다~!👍,5,5,0
2024년 4월 14일,크크크치킨/1,중계점 60계치킨이 맛있어요!!,5,5,0
2024년 4월 13일,"크크크치킨/1,봉 15조각/1(부분육단품 맛변경(맛 변경 더매운고추치킨)),아~매워!소스/1","너무 맛있어요~
근 십오년만에 제입맛에 맞는 치킨 찾았어요
당분간 크크크로. .",5,5,0
2024년 4월 10일,크크크치킨/1,"딸래미가 ㅋㅋㅋ치킨을 너무 좋아해요
그 덕에 제가 살이 찌고 있습니다..ㅜㅜ",5,5,0
2024년 4월 10일,크크크치킨/1,와전 바삭하게 뜨겁게 잘 먹었어요,5,5,0
2024년 4월 7일,윙봉24세트/1(윙봉선택(고추 윙봉)),배달이 너무 늦게옴,5,5,0
2024년 4월 5일,고추치킨/1,언제나처럼 맛있어요! 먹어본 치킨중에 제일 맛있는 치킨이예요~,5,5,0
2024년 4월 5일,"순살 호랑이치킨/1,미니쫀득볼（10개）/1",맛있어요 잘먹었습니다,5,5,0
2024년 4월 5일,순살 호랑이치킨/1,치킨이항상깨끗하고 바삭해서 느끼함이없어요.한마리먹다너무맛있어서또시켰어요,5,5,0
2024년 4월 1일,더매운고추치킨/1,배달 빠르고 양도 많고 맛있어요,5,5,5
2024년 3월 28일,"간지치킨/1,웨지감자/1",달짝지근한게 그냥 맛있음,5,5,5
2024년 3월 25일,순살간지 치킨/1,"잘먹었습니다.
맛있엉ᆢㄷ",5,5,5
2024년 3월 25일,크크크치킨/1,"너어무~~ 맛있게 잘 먹었습니다^^
치즈볼도 맛있었고 크크크 치킨은 바싹하니 넘 맛있었어요♡
가까운 매장 있는데 중계점에서만 주문할듯해요!! 맛있어용",5,5,5
2024년 3월 24일,"봉 15조각/1(봉선택(후라이드 봉15조각)),봉 15조각/1(봉선택(new장스 봉 15조각)),크크크소스/1,양념소스/1,미니쫀득볼（10개）/1",항상 잘 먹고 있어요~,5,5,5
2024년 3월 20일,순살 크크크치킨/1,배달빠르고 맛있게 먹었스빈다,5,5,5
2024년 3월 18일,호랑이치킨/1,맛있습니다. 번창하세요~~,5,5,5
2024년 3월 17일,크크크치킨/1,크크크 진짜 맛있어요,5,5,5
2024년 3월 17일,크크크치킨/1,맛있어 다 먹었는데 사진이 생각 났어요...ㅠㅠ,5,5,5
2024년 3월 17일,순살후라이드/3,너무 맛이게 잘 먹었습니다. 배달도 빠르고 양도 적당하고 너무 좋았습니다.,5,5,5
2024년 3월 16일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살고추 반)),후라이드 순살 반＋순살 반 선택/1(순살반마리선택(양념순살 반))","맛있게 잘 먹었습니다.
항상 맛있는거 같아요.",5,4,5
2024년 3월 14일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(양념순살 반)),",맛이좋아오ㅡ.  역시60계 치킨은ㅊ. 최고",4,4,3
2024년 3월 10일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",바삭바삭 맛있게 먹었어요,5,5,5
2024년 3월 9일,크크크치킨/1,딸아이가 너무 좋아하는 크크크치킨…. 매일 시켜달라고 하네요…. 바삭하고 맛있고 배달도 빠르고 만족합니다.,5,5,5
2024년 3월 4일,후라이드 반＋반마리선택/1(반마리선택(호랑이 반)),반반시켰는데..기본으로 감자들어있고 호랑이 매콤하니 너무 잘먹었습니다,5,5,5
2024년 3월 3일,"봉 15조각/1(봉선택(간지 봉 15조각)),봉 15조각/1(봉선택(new장스 봉 15조각)),웨지감자/1,청양마요소스/1",치킨 바삭하고 맛있어요~,5,5,5
2024년 2월 27일,"순살 크크크치킨/1,쫀도그/1",크크크치킨 중독이예요. 너무 맛있게 잘먹었습니다. 쫀도그도 맛있어서 항상 같이 시킵니다 많이파세요,5,5,5
2024년 2월 23일,"크크크치킨/1,쫀득치즈볼（5개）/1",크크크 바삭해요 크크크,5,5,5
2024년 2월 11일,"크크크치킨/1,미니쫀득볼（10개）/1",정말 바삭하네요. 크런치 너무 맛있고 소스3종 잘어울려요. 마늘소스 짱!,5,5,5
2024년 2월 5일,크크크치킨/1,맛있게 잘 먹었네요,5,5,5
2024년 2월 4일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))","배달도 빨랐고, 정말 맛있게 잘먹었습니다~
요즘 크크크치킨이 제일 맛있는것 같아요.
요청사항 들어주셔서 감사합니다^^",5,5,5
2024년 2월 3일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),"항상  요기서만  시켜먹는 다는
울  아들은  양념반 후라이드반
나는 후라이만 좋아하는데
맛있어요.
감자도 넘 맛있고
번창하세요~",5,5,5
2024년 2월 2일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(양념순살 반)),양이 적고 감자만 많아요,5,3,4
2024년 1월 28일,"크크크치킨/1,호랑이치즈볼（5개）/1,콜라 1.25L/1","후레이크에 최강자~크크크!!!
소스도 남다릅니다~",5,5,5
