dates,order_items,reviews,taste_score,quantity_score,delivery_score
3일 전,크랑이치킨/1(사이드메뉴 추가(웨지감자)),바삭하고 아주 살짝 매콤한 맛이 나니 자꾸 손이 가요 ㅎㅎ,5,5,0
4일 전,"뼈 후라이드반+선택반/1(반마리선택(호랑이 반),사이드메뉴 추가(호랑이웨지감자)),양념소스/1",맛있게 잘 먹었습니다 :),5,5,0
일주일 전,크랑이치킨/1(사이드메뉴 추가(웨지감자)),"ㅋㅋㅋ치킨. 시켰는데, 소스3가지를안주셨어요! 케찹두개랑  마요네즈만줬어요.담에 꼭 챙겨주세요",5,4,0
2024년 4월 13일,"순살 하하핫치킨/1,순살 양념치킨/1",맛있게 먹었습니다 양도 적당 했습니다,5,5,0
2024년 4월 10일,크크크치킨/1(사이드메뉴 추가(떡볶이)),"크크크치킨 바삭하고 너무 맛있어요 ^^
떡볶이도 good!",5,5,0
2024년 4월 6일,후라이드 반＋반마리선택/1(반마리선택(더매운고추  반)),바싹하게 부탁드렷는데ㅡㅡ바쁘셧는지 기름이넘많이 안빠졋네요ㅡㅡ껍질이바싹해야하는데 물컹해요ㅡㅡ항상믿고 주문하는곳인데. 오늘은바쁘셧나바요,4,4,0
2024년 3월 31일,"크크크치킨/1,웨지감자/1",요즘 크크크치킨에 빠져있습니다ㅋ,5,5,5
2024년 3월 30일,크크크치킨/1,맛있게 잘 먹었습니다,5,5,5
2024년 3월 29일,"순살 크크크치킨/1,웨지감자/1",콜라주문 안했는데 콜라도 같이 보내주셨네요 맛있게 잘 먹었습니다~^^,4,5,5
2024년 3월 26일,순살 크크크치킨/1,맛있게 잘 먹었어요.,5,5,5
2024년 3월 26일,순살 크크크치킨/1,맛있지만 크크크 가루가 적었어요 다음엔 많이 뿌려 주세요,5,5,5
2024년 3월 25일,"후라이드/1,봉 15조각/1(봉선택(고추 봉 15조각))","치킨 다식어서오고 양도 그렇네요
다시는 안시킬듯",1,1,1
2024년 3월 23일,"순살 크크크치킨/1,콘마요소스/2",굿굿굿 입니다 맛있네요!,5,5,5
2024년 3월 23일,순살 크크크치킨/1,맛있어요 또 시켜 먹을깨여!!,5,5,5
2024년 3월 21일,크크크치킨/1,처음 시켜보는데 맛있어요!,5,5,4
2024년 3월 20일,"윙 15조각/1(윙선택(간지 윙 15조각)),윙 15조각/1(윙선택(고추 윙 15조각))","오랜만에 60계 치킨 먹었어요.
간지 고추 반반 이 조합 좋습니다!
맛있게 잘 먹었습니다.",5,5,5
2024년 3월 20일,간지치킨/1,달달한음식이댕겨서 시켜보았는데.오늘은 성공했네요.오늘스트레스가 싹가신요리엿읍니다.사장님감사히잘먹었읍니다,5,5,5
2024년 3월 20일,"크크크치킨/1,다리 6조각/1(다리선택(호랑이 다리 6조각))",잘먹었습니다. 감사합니다,5,5,5
2024년 3월 14일,"후라이드 반＋반마리선택/1(반마리선택(new장스치킨 반)),순살 크크크치킨/1",처음 먹어보는 60계치킨.  양이 많고 맛도 좋네요. 후라이드가 약간...바싹튀겨진건지..조금 딱딱했어요. 제가 튀김음식에 조금 민감한데 머리아픈거 없는거 보니 기름도 괜찮은거 쓰시는거 같네요.,4,5,5
2024년 3월 14일,"순살 크크크치킨/1,치즈스틱（5개）/1",크크크는 첨이라 기대하고먹었는데 바삭하고맛있네요  크크크소스가 정말 맛있어요 3가지 소스 다 맛있어요,5,5,5
2024년 3월 12일,"다리 6조각/1(다리선택(후라이드 다리6조각)),팝콘만두/1,아~매워!소스/1,콜라 500ml/1",잘먹었습니다,5,5,5
2024년 3월 11일,크크크치킨/1,감사합니다 맛있게 잘 먹었습니다,5,5,5
2024년 3월 8일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),후라이드/1,콜라 1.25L/1,크크크소스/1,양념소스/1,청양마요소스/1",양도 많고 맛있었습니다  아쉬운점은 너무 바싹 튀겨진게 좀 아쉬웠습니다,5,5,5
2024년 3월 6일,봉 15조각/1(봉선택(고추 봉 15조각)),맥주에 최고안주죠 ㅋ 강추합니다,5,5,0
2024년 3월 6일,윙 15조각/1(윙선택(간지 윙 15조각)),간단한 치맥엔 60계 윙이 최고죠 ㅋ 강추합니다,5,5,0
2024년 3월 4일,"호랑이치킨/1,호랑이치즈볼（5개）/1",근처 60계중에 최고 맛있어요,5,5,5
2024년 3월 4일,"크크크치킨/1,콜라 1.25L/1",양도 적당하고 고소하니 맛나서 잘먹었어요.,5,5,5
2024년 3월 3일,크크크치킨/1,맛있게 잘먹었습니다. 감사합니다,5,5,5
2024년 3월 2일,"후라이드/1,치킨 무/1,델리소스/1",배달온곳 사진보니까 우리집이 아닌데요,1,1,1
2024년 3월 2일,"양념치킨/1,콜라 1.25L/2,후라이드 반＋반마리선택/1(반마리선택(new장스치킨 반))",배달도 빨리오고 맛도좋아요~^^,5,5,5
2024년 2월 29일,크크크치킨/1,정말 바삭하고 뜨끈하고 맛있었습니다. 사진 찍는것도 까먹을 정도로 맛있었어요,5,5,5
2024년 2월 28일,"봉 15조각/1(봉선택(양념 봉 15조각)),윙 15조각/1(윙선택(후라이드 윙15조각)),치즈스틱（5개）/1,사이다 500ml/2",맛있게 잘 먹었습니다 :),5,5,5
2024년 2월 26일,"반마리＋반마리 선택/1(뼈반＋반선택1(고추 반),뼈반＋반선택2(양념 반)),웨지감자/1","처음 주문했는데 맛있어서 끝임없이 흡입했어요ㅎㅎ
치킨 먹는 날 꼭 재주문 할께요 :)",5,5,5
2024년 2월 26일,후라이드/1,너무 맛잇게 잘 먹었습니다. ^^,5,5,5
2024년 2월 25일,"크크크치킨/1,쫀득치즈볼（5개）/1,크크크소스/1","배달 65분 걸리고(주문할때 40~50분 예상)
치킨이랑 치즈볼 다 식어서 도착하고 너무 합니다
저번에는 한집 배달로 주문했는데
노랑통닭으로 오배송 와서 그때도 다시 받는다고 다 식어버린 치킨 먹었었네요
참다참다 후기 남깁니다
라이더 업체를 바꾸던지, 늘리던지 
배달 서비스 개선이 필요한거 같네요",1,1,1
2024년 2월 24일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보)),하하핫치킨/1",맛있게 잘 먹었습니다.,5,5,5
2024년 2월 22일,"봉 15조각/1(봉선택(후라이드 봉15조각)),윙 15조각/1(윙선택(간지 윙 15조각))",배송 너무 너무 느려요~가게배달로 1000원이나 더 주고 주문했는데 예상시간보다도 훨씬 늦게 오네요 맛이 좋아서 자주 시키는데 앞으로는 먹고싶은 시간보다  1시간 30분이상 미리 시켜야 될거같아요,5,5,1
2024년 2월 22일,크크크치킨/1,아이들이 맛있게 잘 먹었습니다~ 다음에 또 시킬께요~~^^,4,4,4
2024년 2월 22일,호랑이치킨/1,따끈따끈하고 바삭바삭하니 정말 맛있습니다!,5,5,5
2024년 2월 22일,순살 호랑이치킨/1,"오~요거 참 맛나네요!
첨주문해먹었는데
매콤하다,달착지근해지고
다시 매콤해지는
중독맛이네요~^
잘먹었습니다",5,5,5
2024년 2월 21일,호랑이치킨/1,존맛~~~호랑이 치킨 최고~~~최애입니다,5,5,5
2024년 2월 20일,"크크크치킨/1,순살양념 치킨/1",비가 오는데 예상한 시각보다 빨리 와서 따뜻하게 먹을 수 있었고 생각한 것보다 양은 다소 적게 느껴졌지만 바삭하고 맛있었어요,5,4,5
2024년 2월 17일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살더매운고추  반),순살반＋반선택2(순살하하핫 반))","매주시켜먹는데 쌍문점은 처음이에요. 
양념도 적당하고 바삭하고 맛있습니다.
서비스 콜라와 닭가슴살도 많고 요청사항 들어주셔서 감사합니다.앞으로 여기서 시킬께요~",5,5,5
2024년 2월 17일,"간지치킨/1,멘보샤（10개）/1",60계 치킨 가게 중에 제일 맛있어요. 간지 치킨 최고입니다. 멘보샤도 처음 시켜봤는데 맛있어서 홀라당 먹어버렸어요,5,5,5
2024년 2월 11일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(호랑이순살 반)),너무 딱딱해요… 좀 심하네요,3,3,5
2024년 2월 9일,"반마리＋반마리 선택/1(뼈반＋반선택1(6초 반),뼈반＋반선택2(호랑이 반))",호랑이는 쬐꼼 달지만 맛나네여~~^^,4,4,4
2024년 2월 3일,호랑이치킨/1,"닭다리1개, 날개1개. 나머지는 작은 조각들이네요",2,3,2
2024년 2월 3일,고추치킨/1,.,4,2,2
2024년 2월 2일,"후라이드/1,순살양념 치킨/1,치킨 무/1","바삭하니 맛나게 잘먹었습니다
다음에 또 주문할게요~~
사업번창하세요~^^",5,5,5
2024년 2월 1일,윙봉24세트/1(윙봉선택(고추 윙봉)),"정말 사진찍는것도 잊어버리고 홀랑 다 먹어버릴만큼 너무너무 맛있었습니다😁👍
배딜더 너무 빨리해주시고 친절하게 해주셔서 먹기전부터 기분도 좋았어요:D🩷정말 감사히 잘먹었습니다🫰",5,5,5
2024년 1월 30일,다리 6조각/1(다리선택(후라이드 다리6조각)),다음에 닭다리 2개 더 주세요 잘먹겠습니다,5,5,0
2024년 1월 28일,순살 크크크치킨/1,맛있어요 감사합니다,5,5,5
2024년 1월 24일,호랑이치킨/1,"추운이라 닭이 많이 식었네요.
배달 사장님 고생 많으셨습니다.",5,5,5
2024년 1월 24일,"콤보（윙,봉,다리）/1(콤보선택(호랑이 콤보))",굿..맛점..맛나게 잘 먹었습니다.,5,5,5
2024년 1월 22일,호랑이치킨/1,간만에 먹으니 달달하니 맛있어요 ㅎㅎㅎㅎ,5,5,5
2024년 1월 19일,"콤보（윙,봉,다리）/1(콤보선택(호랑이 콤보))",다 식어서 왔네요 맛없어요,1,1,1
2024년 1월 18일,"봉 15조각/1(봉선택(후라이드 봉15조각)),윙 15조각/1(윙선택(간지 윙 15조각))",맛있어요 자주 시켜먹어요~배달은 좀 늦는 편이예요,5,5,3
2024년 1월 6일,"봉 15조각/1(봉선택(후라이드 봉15조각)),후라이드 반＋반마리선택/1(반마리선택(양념치킨 반))","너무 딱딱해요
바삭이 아니라 딱딱...흠
그리고 무도 안 옴
소스랑 콜라는 안 줘도 된다고 했는데..
소스랑 콜라는 오고 무는 빠지고 당황스럽네요",4,5,5
2024년 1월 6일,크크크치킨/1,"너무맛있게먹었습니다♡♡♡
순삭^^애기꺼만 남았네요^^",5,5,5
2024년 1월 6일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",닭이 조금 작은것 같았지만 맛았었어요,5,5,5
2023년 12월 29일,"콤보（윙,봉,다리）/1(콤보선택(하하핫 콤보))",맛잇게 잘먹엇어요,5,5,5
2023년 12월 27일,"반마리＋반마리 선택/1(뼈반＋반선택1(간지 반),뼈반＋반선택2(고추 반))",자주 먹어요 이 조합이 제일 맛있는 듯,5,5,5
2023년 12월 26일,"크크크치킨/1,호랑이치즈볼（5개）/1,마늘똥집튀김/1,콜라 1.25L/1",차디차게 식어옴...,1,1,1
2023년 12월 25일,순살 크크크치킨/1,"맛있었어요
시간도바로가져다주셔서좋았습니다",5,5,5
2023년 12월 25일,호랑이치킨/1,오랫만에 시켰는데 역시 맛있네요,5,5,5
2023년 12월 24일,크크크치킨/1,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
맛두별루",3,5,5
2023년 12월 23일,"콜라 1.25L/1,호랑이치킨/1,윙 15조각/1(윙선택(후라이드 윙15조각))",짭짜름하게 잘 먹었습니다.양도 생각보다 적고 좋네요.,5,5,5
2023년 12월 23일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",맛있어요~ 감사합니다!,5,5,5
2023년 12월 18일,"하하핫치킨/1,크크크치킨/1,똥집튀김/1","음…. 오랜만에 시켜서 먹엇는데 뭔가 맛이 좀.. 그저그랫어요
양은 많앗구 닭똥집 맛잇게먹엇어요
바쁘셔서 그런가부다 하겟지만 뭔가 아쉬운맛이였습니다",1,5,5
2023년 12월 16일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),간지치킨/1",맛있게 잘 먹었어요,5,5,5
2023년 12월 14일,크크크치킨/1,"비도 오는데 빠른 배달 감사합니다
맛있게 잘 먹었어요",4,4,4
2023년 12월 12일,순살 크크크치킨/1,맛있게 잘 먹었습니다. 감사합니다.^^,5,5,5
2023년 12월 11일,후라이드 윙봉 반＋윙봉 반 선택/1(윙봉반 선택1(호랑이윙봉 반)),음식이 조금 달아서  안좋아엇요,4,3,2
2023년 12월 9일,고추치킨/1,너무 식어서와서 좀 아쉬웠어요,3,5,3
2023년 12월 9일,"순살양념 치킨/1,순살 호랑이치킨/1",치킨 바삭바삭하고 양념도 맛있네요!!,5,5,5
2023년 12월 9일,크크크치킨/1,크크크치킨 넘 맛있어요,5,5,5
2023년 12월 8일,호랑이치킨/1,최애 호랑이 치킨 단종된 줄 알고 슬펐는데 쌍문점에선 판매하더라고요?! 너무 행복해요 자주 시켜먹을게요!,5,5,5
2023년 12월 4일,순살 크크크치킨/1,"저희 아파트 엘베공사하는걸 깜빡하고 아이가 치킨먹고 싶다해서 주문했는데 기사님이 1층에서 기다리신다더니 6층까지 올려다주시고 가셨어요 저희집은 10층입니다.
암튼 너무 친절한 배달기사님 감사해요 
치킨은 똑같이 맛있었어요",5,5,5
2023년 12월 3일,순살후라이드/1,"후라이드가 안매워서 애들도 잘먹었어요. 
안매운 후라이드 찾기 은근 어려운데 맛나게 잘먹었습니다",5,5,5
2023년 12월 2일,순살고추 치킨/1,제친구가 젤좋아하는 치킨이라길래 먹어봤는데 맛있네요 ㅋㅋㅋ앞으로 자주 먹을게요,5,5,5
2023년 12월 1일,"크크크치킨/1,양념소스/2",요청했던 포장 스티커 잘 들어주셔서 감사합니다 덕분에 기분 좋게 잘 먹었습니다 이번에는 원래 양대로 온 걸 보니 배송 중에 진짜 먹으시는 기사들이 있나보네요...,5,5,5
2023년 12월 1일,"호랑이치킨/1,웨지감자/1",너무 맛있었어요~ 감자튀김 몇개만 오는줄 알았는데 많이 왔어요 ㅎ 잘 먹었습니다,5,5,5
2023년 11월 29일,"다리 6조각/1(다리선택(호랑이 다리 6조각)),순살 반＋순살 반 선택/1(순살반＋반선택1(순살하하핫 반),순살반＋반선택2(순살양념 반))",맛있게 잘 먹었습니다!!,5,5,5
2023년 11월 26일,다리 6조각/1(다리선택(더매운고추 다리 6조각)),ㅁㅇㄱ 잘먹었습니다,5,5,0
2023년 11월 26일,양념치킨/1,"옛날양념맛이 나서좋았어요
다음에도 또시키고 싶네요
다만 양이좀 작네요",5,4,4
2023년 11월 24일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(간지윙봉 반),윙봉반＋반 선택2(더매운고추윙봉  반))","배달사고가 나서 시간이 오래걸렸지만ㅜㅜ
매장잘못은 아니여서!
맛있게 잘 먹었습니다~",5,5,5
2023년 11월 23일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",바삭바삭 맛있습니다 굿~~,5,5,5
2023년 11월 23일,순살간지 치킨/1,"맛있고 양도 많아서 좋아요 잘 먹었습니다
참고로 순살은 닭가슴살이 많아요",5,5,5
2023년 11월 21일,크크크치킨/1,바삭하고 맛있어요 잘 먹었어요,5,5,5
2023년 11월 21일,"순살 크크크치킨/1,콜라 500ml/1",60계 치킨 요기요에서 주문이 어려운데 빠르게 잘받아서 맛있게 먹었습니다 감사합니다,5,5,5
2023년 11월 20일,"순살 크크크치킨/1,순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살하하핫 반))","처음 먹어봤는데 너무...맛있네요 진짜👍
ㅋㅋㅋ치킨은 바삭바삭 좐맛탱
하하핫치킨은 지코바st 마요찍먹하니 맛도리
간지치킨은 안매울줄 알았는데 아기가 손댔다가 식겁했네요😂",5,5,4
