dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 4월 8일,"순살 크크크치킨/1,콘마요소스/1",빠른배달 맛도 일품 잘먹었습니다.,5,5,0
2024년 4월 6일,크크크치킨/1,엄청 바삭하고 담백해서 그냥먹어도 맛있고 소스 찍어먹어도 맛있어요!,5,5,0
2024년 3월 21일,순살간지 치킨/1,제가 입이엄청작아서 작게요청드렸는데 맞춰주셔서 너무감사했어요~~~!!! 앞으로 60계는 요기서만시키는걸로!!,5,5,5
2024년 3월 3일,"콤보 반＋콤보 반 선택/1(콤보반＋반 선택1(간지콤보 반),콤보반＋반 선택2(고추콤보 반))",맛있게 잘 먹었습니다 ~,5,5,0
2024년 3월 3일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),맛있게 잘 먹었습니다! 감사합니당~,5,5,5
2024년 2월 10일,"크크크치킨/1,호랑이치킨/1",잘먹었습니다~!예상시간보다 빨리도착했어요,4,4,4
2024년 2월 5일,"순살 크크크치킨/1,코카-콜라1.25L/1",바삭한 게 땡기면 크크크를...,5,5,5
2024년 1월 26일,양념치킨/1,맛잇게 먹엇습니당 ㅎㅎ,5,5,0
2024년 1월 25일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",다이어트중이라 오랜만에먹었는데 여전히맛있어요,5,5,5
2024년 1월 21일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",맛있어요^^ 또 주문할게요,5,5,5
2024년 1월 14일,"크크크치킨/1,코카-콜라1.25L/1","아이들이 좋아해요^^
맛있다네요...",5,5,5
2023년 11월 11일,"콤보（윙,봉,다리）（코카콜라）/1(콤보선택(크크크 콤보))",크크크치킨 너무맛나용,5,5,5
2023년 10월 17일,"순살 크크크치킨/1,코카-콜라500ml/1",빠른배달 맛도 일품 잘먹었습니다.,5,5,5
2023년 10월 5일,"크크크치킨/1,쫀득치즈볼（5개）/1",아이가 참 좋아해요^^,5,5,5
2023년 9월 16일,"크크크치킨/1,new장스똥집튀김/1,떡볶이/1","크크크 ~~^^
꼭 소스랑 같이 드세요
닭똥집이 제일 맛났어요",4,4,4
2023년 9월 5일,"크크크치킨/1,똥집튀김/1",맛잇는60계치킨 크끄크,5,5,5
