dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 3월 25일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))","맛이  저에게는 대만족이 아니네요.
양도 많고 좋으나  튀김의 기술과  밑간의 기술이 필요로한듯.죄송합니다.",3,5,5
2024년 3월 8일,후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),"후라이드는 튀김옷이 바삭한데, 간지치킨은 바삭한 것도 있지만 부분적으로 엄청 딱딱 하네요..",4,5,5
2024년 2월 1일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),항상 만족하며 주문해 먹네요 다음엔 다른 메뉴도 먹어봐야겠너요,5,5,5
2024년 2월 1일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(양념순살 반)),감자튀김이 많이 들어 있네요~ 치킨은 바삭바삭 맛있어요!!,5,5,5
2024년 1월 27일,크크크치킨/1,맛있는 치킨 배달왔어요,5,5,5
2024년 1월 14일,"크크크치킨/1,호랑이치즈볼（5개）/1",치킨맛있고 좋아요 만족합니다,5,5,5
2023년 12월 30일,크크크치킨/1,크크크 말해뭐해❤️❤️❤️,5,5,5
2023년 12월 27일,크크크치킨/1,바삭바삭 너무 맛있어요~,5,5,5
2023년 12월 25일,후라이드/1,"맛나요
오래 기다릴줄 알았는데 생각보다 잘 왔구요.",5,5,5
2023년 12월 24일,크크크치킨/1,메리크크크리스마스~,5,5,4
2023년 12월 17일,"순살 크크크치킨/1,순살 호랑이치킨/1,순살양념 치킨/1,콜라 1.25L/2",배달도 빠르고 맛잇어요,5,5,5
2023년 12월 14일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),카스 병/1,생맥주 1,000cc/1",바삭하니 맛있는데 다리살이 우리가 먹던 다리가 아니라 아쉬워요,5,5,5
2023년 12월 7일,"후라이드/1,콜라 1.25L/1","바삭함이   일품인 맛~~
항상 땡겨요~",5,5,5
2023년 11월 30일,순살고추 치킨/1,배달도 빠르고 맛있어여,5,5,5
2023년 11월 24일,크크크치킨/1,크리스피하고 신선하고 옥수수 특유의 군맛이 느껴져서 만족해요 추천 💜,5,5,5
2023년 11월 12일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),항상 맛있게 잘 먹구 있어요!!!!,5,5,5
2023년 10월 11일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),항상 믿고 맛있게 먹구 있습니다~~~,5,5,5
2023년 9월 24일,순살 크크크치킨/1,"배달 빠르고 좋아요
바삭바삭 맛있어요",5,5,5
2023년 9월 24일,순살고추 치킨/1,맛있어요~맛있어요~맛있어요~,5,5,5
2023년 8월 31일,크크크치킨/1,"바삭바삭한 두툼한 살이 일품입니다
소스도 다양하게 주셔서 더 맛있게 먹었네요",5,5,5
2023년 8월 22일,"윙봉24세트/1(윙봉선택(고추 윙봉)),쫀득치즈볼（5개）/1,핫크크크소스/1","맛있게 먹었습니다
감사합니다",5,5,5
2023년 8월 10일,고추치킨/1,오버쿡인거같음 치킨이 질기고 딱딱함,1,3,5
2023년 7월 7일,"크크크치킨/1,아매워똥집튀김/1,치킨 무/1",맛있게 잘 먹었습니다😋,5,5,5
2023년 7월 6일,"반마리＋반마리 선택/1(뼈반＋반선택1(간지 반),뼈반＋반선택2(6초 반)),쫀득치즈볼（5개）/1",생각보다 매워요 6초치ㅣㄴ,5,5,5
2023년 7월 6일,"크크크치킨/1,쫀도그/1,콜라 1.25L/1,크크크소스/1",바삭해서 씹는맛이 있어요.,5,5,5
2023년 7월 1일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),처음 시켜보는 60계치킨  맛 있어요,5,5,5
2023년 6월 28일,크크크치킨/1,먹어본 중 가장 맛있네요 소스도 다양하고 잘 만들었네요,5,5,5
2023년 6월 24일,"크크크치킨/1,호랑이웨지감자/1",맛있게 잘 먹었습니다,5,5,5
2023년 6월 18일,크크크치킨/1,맛있게 잘 먹었습니다. 😋,5,5,5
2023년 6월 18일,순살new장스 치킨/1,너무 맛있게 잘먹었습니다!,5,5,5
2023년 6월 6일,크크크치킨/1,맛있게 잘 먹었습니다,5,5,5
2023년 6월 2일,"순살 크크크치킨/1,봉 15조각/1(봉선택(후라이드 봉15조각))",바삭하고 좋아요,5,5,5
2023년 5월 29일,크크크치킨/1,치킨박스가 옆으로 누워서 왔습니다;; 치킨 다 쏠린건 그럴 수 있는데 부스러기들 다 비닐안에 가득했습니다. 무 소스들에 다 붙어있고..처음 시켜보는 브랜드고 맛도 좋은데 배달원의 문제인건지 봉투에 넣을 때부터 잘못넣으신건지 잘 모르겠습니다.,5,5,1
2023년 5월 28일,크크크치킨/1,아이가 많이 좋아합니다.,5,5,5
2023년 5월 28일,크크크치킨/1,바삭함이 거의 과자 수준이예요.,5,5,5
2023년 4월 18일,크크크치킨/1,아주 맛있어요 또 방문 예정,5,5,5
2023년 4월 3일,"봉 15조각/1(봉선택(후라이드 봉15조각)),윙 15조각/1(윙선택(후라이드 윙15조각))",넘 넘 바삭하고 맛있어요!,5,5,5
2023년 3월 31일,크크크치킨/1,크크크치킨  그냥 저냥입니더 소스 없으면 ㅠㅠㅠ 먼맛인지,3,3,5
2023년 3월 23일,윙봉24세트/1(윙봉선택(크크크 윙봉)),크크크치킨 애들이좋아해요,5,5,5
2023년 3월 15일,크크크치킨/1,맛있게 잘 먹었습니다 ! 😋,5,5,5
