dates,order_items,reviews,taste_score,quantity_score,delivery_score
어제,순살 양념치킨/1,맛있게 잘 먹었습니다.,5,5,0
어제,"호랑이치킨/1(소스,추가메뉴(치킨 무))",점점맛이 변하나요ㅜㅜ,2,2,0
어제,"순살 간지치킨/1,순살 크랑이치킨/1",언제먹어도 맛있어요,4,4,0
5일 전,순살 호랑이치킨/1,"역시 호랑이치킨 맛있네요
잘 먹었습니다~",5,5,0
일주일 전,순살 양념치킨/1,맛있게 잘 먹었습니다.,5,5,0
2024년 4월 13일,간지치킨/1,너무 맛있게 잘먹었어요~,5,5,0
2024년 4월 7일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살고추 반),순살반＋반선택2(순살더매운고추  반))",배달 빠르고 맛있어요.,5,5,0
2024년 4월 4일,"후라이드/1,델리소스/3","여기 치킨이야 원래 맛잇긴한데, 도착 문자 주고 가는게 그렇게 어렵냐;",5,5,1
2024년 4월 1일,후라이드/1,야식 맛나게 잘 먹어 습니다,5,5,5
2024년 3월 28일,후라이드 반＋반마리선택/1(반마리선택(호랑이 반)),"배달도 빠르고 너무 맛있게 잘먹었습니다
이 근방에서 먹은 치킨중 최고에여",5,5,5
2024년 3월 23일,후라이드/1,배달 서비스 모두 만족합니다 따끈한 치킨 잘 먹었습니다,5,5,5
2024년 3월 16일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))","오늘 배달은 너무 아쉽네요 문앞에 놔달라고 따로 요청한것도 아닌데 그냥 문앞에 놔두고 연락도 없이 가셔서 
15분뒤에 발견했습니다
최고로 맛있는 상태에서 먹어야하는데
이미 다 식어있네요 속상합니다
이전에는 잘 배달받아서 먹었는데
오늘 기사님이 문제였던걸까요?",4,5,1
2024년 3월 16일,순살 호랑이치킨/1,배달도 빨리오고 호랑이치킨 너무 맛있어요!!,5,5,5
2024년 3월 15일,"후라이드/1,양념소스/10",배달도 빠르고 치킨도 아주 뜨끈뜨끈 감사합니다,5,5,5
2024년 3월 14일,"순살 크크크치킨/1,다리 6조각/1(다리선택(후라이드 다리6조각)),크크크소스/2,양념소스/1",깔끔한맛감사합니다!👍👍👍👍👍♥️,5,5,5
2024년 3월 13일,"떡볶이 엔 순살/1(순살선택(크크크 순살)),웨지감자/1",배달 빠르고 크크크 치킨 맛있네요~,5,5,5
2024년 3월 7일,크크크치킨/1,추천받아서 먹어봤는데 양도 많고 맛있어요! 😚😚,5,5,4
2024년 3월 7일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살호랑이 반),순살반＋반선택2(순살new장스 반))",맛있게 잘 먹었습니다!!!,5,5,5
2024년 3월 3일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",부모님 시켜드렸는데 좋아하세요,5,5,5
2024년 3월 2일,"후라이드/1,양념소스/1","배달 도착 시간까지 조리중, 이전에 시켰을때도 이랬다가 식은 치킨 먹었는데 그래도 치킨이 막 못먹을 정도로 식지는 않아 인간적으로 환불은 안했는데, 튀긴지 시간이 꽤 지난게 느껴짐. 주인장은  반성 좀 하시길;",1,5,1
2024년 2월 25일,순살 크크크치킨/1,첨 먹어보눈데 소스도 다 밋있고 치킨도 맛있어요,5,5,5
2024년 2월 24일,"순살후라이드/1,코카-콜라 제로1.25L/1",배달도 엄청 늦게오고 치킨도 다식어서 무슨맛인지도 모르겠네요,1,5,1
2024년 2월 19일,"순살new장스 치킨/1,웨지감자/1",배달빠르고 양많고 맛있어요,5,5,5
2024년 2월 18일,"순살고추 치킨/1,치킨 무/1",배달기사님이 뺑뺑 돌아온 느낌이라 치킨이 좀 식고 눅눅해졌지만 그래도 맛나게 잘 먹었어요. 치킨은 맛있었어요.,5,5,3
2024년 2월 16일,"후라이드/1,양념소스/1",배달 시간이 지났음에도 그냥 지나 치고 다른 곳 같다가 오네요; 그덕에 한파 날씨도 아닌데 다 식은 치킨 먹었습니다. 요즘 같은 시대에 식은 치킨을 먹어야 되다니;,5,5,1
2024년 2월 15일,"후라이드/1,양념소스/2",처음 시켜먹는데 오랜만에 아주 깔끔한 치킨을 먹은거 같습니다.,5,5,5
2024년 2월 15일,"양념치킨/1,코카-콜라500ml/1",맛있습니다 그냥 맛있네요 치킨은,5,5,5
2024년 2월 8일,후라이드/1,깔끔한 맛의 후라이드 치킨이 먹고 싶어서 주문했어요,5,5,5
2024년 2월 3일,순살 크크크치킨/1,배달 빠르고 맛있어요.,5,5,5
