dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 4월 13일,"윙봉24세트/1(세트메뉴 맛변경(후라이드),소스,추가메뉴(치킨 무),소스,추가메뉴(마요네즈소스),소스,추가메뉴(델리소스),소스,추가메뉴(청양마요소스))",맛있어요!!!!!!!!!!!!!!!!!,5,5,0
2024년 4월 11일,순살 호랑이치킨/1,호랑이치킨이 젤 맛있어요!!,5,5,0
2024년 3월 30일,"윙봉24세트/1(윙봉선택(후라이드 윙봉)),크크크소스/1","맛있어요 항상 시켜먹습니다
제일 맛있는 윙봉입니다",5,5,5
2024년 3월 24일,순살 크크크치킨/1,바삭하고 맛있습니다,5,5,5
2024년 3월 24일,"윙봉24세트/1(윙봉선택(후라이드 윙봉)),치킨 무/1,생맥주 1,000cc/1",언제나 맛있어요~~,5,5,5
2024년 3월 17일,"윙봉24세트/1(윙봉선택(후라이드 윙봉)),치킨 무/1,크크크소스/1,코카-콜라245ml/1",너무 맛있어요 아버지가 항상 드십니다,5,5,5
2024년 3월 12일,"순살 하하핫치킨/1,햇반/1",햇반이 안왔어요….,4,4,1
2024년 3월 1일,크크크치킨/1,"크크치킨 바싹하고  맛있습니다
강력추천합니다",5,5,5
2024년 2월 29일,크크크치킨/1,바삭한맛이 일품이예요,5,5,3
2024년 2월 5일,크크크치킨/1,맛있게 잘 먹었습니다,5,5,5
2024년 2월 2일,"크크크치킨/1,고추치킨/1",빠른배송 맛있어요 !!!,5,5,5
2024년 1월 28일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),치킨 무/2",오랜만에 먹으니 맛있어요,5,5,5
2024년 1월 25일,순살 크크크치킨/1,"순살중 지존입니다~ 아이가 너무 잘먹네요
가끔 이벤트 해주세요 ㅋ",5,5,5
2024년 1월 25일,간지치킨/1,무난합니다 ㅎㅎ soso,3,5,5
2024년 1월 11일,하하핫치킨/1,역시60계치킨! 양도많고 맛있어요  아~~주특별한맛은아니지만요 .. 배달도 빨리해주셨어요,5,5,5
2024년 1월 6일,"후라이드 반＋반마리선택/1(반마리선택(하하핫 반)),콜라 1.25L/1",치킨 튀김옷이 안익었어요. 후라이드도 양념도 둘다요😱 아이가 이상하고 맛없다면서 여기 치킨 싫다네요.,1,3,5
2024년 1월 3일,순살 하하핫치킨/1,맛있게 잘 먹었습니다,5,5,5
2023년 12월 26일,순살 크크크치킨/1,너무맛있게먹었습니다~~,5,5,5
2023년 12월 22일,"후라이드 반＋반마리선택/1(반마리선택(6초치킨 반)),콜라 1.25L/1",맛있게 잘먹었습니다,5,5,5
2023년 12월 16일,순살 크크크치킨/1,튀김이 바삭하니 맛나네요. 소스도 3개나 있고. 사장님 번창하세요,5,5,5
2023년 12월 1일,간지치킨/1,맛있게 잘 먹었습니다~,5,5,5
2023년 11월 19일,"크크크치킨/1,순살 하하핫치킨/1,쫀득치즈볼（5개）/1,코카-콜라1.25L/1",조카들이랑 맛있게 잘 먹었어요,5,5,5
2023년 11월 17일,"크크크치킨/1,콘마요소스/1,청양마요소스/1,아~매워!소스/1","크크크치킨 바싹 하니 치킨은 촉촉하고 맛있어요
3가지소스가 있는데 추가소스를 했네요",5,5,5
2023년 10월 13일,순살new장스 치킨/1,"장스치킨 아주 맛있습니다
배달비다 좀 비싸지만
직접가서 주문하면 2000원 깍아줍니다",5,5,5
2023년 10월 4일,후라이드 반＋반마리선택/1(반마리선택(new장스치킨 반)),맛있어서 재주문 예정입니다,5,5,5
2023년 10월 4일,순살 크크크치킨/1,크크크는 엳시 존맛입니다,5,5,5
2023년 9월 13일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",맛있게 잘먹었어요~,5,5,5
2023년 9월 12일,크크크치킨/1,맛있어요~~~~~~~,5,5,5
2023년 9월 6일,크크크치킨/1,"잘 먹었습니다
맛 있어요",5,5,5
2023년 8월 30일,"간지치킨/1,아매워똥집튀김/1",간지치킨 교촌의 오리지널+허니를 합친 느낌으로 맛있었어요,5,5,5
2023년 8월 29일,크크크치킨/1,바삭하고 맛나요..좋아요,5,5,5
2023년 8월 28일,"new장스똥집튀김/1,생맥주 1,000cc/1",맛나게 먹었습니다.,5,5,5
2023년 8월 21일,크크크치킨/1,"맛있어요 바삭바삭한 식감 좋구요
소스 3종도 맛있네요",5,5,5
2023년 8월 17일,"순살 크크크치킨/1,포테이토 치즈스틱（3개）/1",소스 다양하게 주셔서 좋았어요 다음엔 뼈 치킨으로 먹어볼게요,5,5,5
2023년 8월 16일,크크크치킨/1,엄청 바삭하고뭔가몸에좋은거같긴한데 ..  호랑이치킨이 더맛있네요ㅜㅎ  소스도 양이 부족..!!,3,5,5
2023년 8월 14일,크크크치킨/1,크크크치킨 맛있어요 다른지점보다 바삭하고 맛있게 먹었어요,5,5,0
2023년 8월 6일,크크크치킨/1,ㅋㅋㅋ 치킨도 괜찮네요,5,5,4
2023년 8월 6일,"크크크치킨/1,쫀득치즈볼（5개）/1",ㅇㅇㅇㅇㅇㅇㅇㅇㄹㄹ,5,5,5
2023년 8월 5일,"순살 크크크치킨/1,호랑이치즈볼（5개）/1",60계 첨 먹어보는데 왕 맛있어요!!’,5,5,5
2023년 8월 5일,"크크크치킨/1,다리 6조각/1(다리선택(후라이드 다리6조각))",아니.. 크크크라길래 달짝찌근한 뿌*클 비슷할까 싶었는데 그 가벼운 맛보다 훨씬 깊은 맛. 넘 달지도 않고 고소담백한 느낌이에요~,5,5,5
2023년 7월 30일,윙봉24세트/1(윙봉선택(고추 윙봉)),굳굳 맛나요 국ㄷ굳귿ㄱ,5,5,5
2023년 7월 27일,순살 호랑이치킨/1,맛이 찐하긴 한데 생각보다 맛있어요.,5,5,5
2023년 7월 24일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),후라이드 괜찮은데 양념이 살짝 아쉽습니다.,4,5,5
2023년 7월 21일,크크크치킨/1,크크크치킨 바삭하고너무맛있어요,5,5,0
2023년 7월 16일,호랑이치킨/1,최근엔 호랑이가 제일 나은 듯,5,5,5
2023년 6월 24일,"순살간지 치킨/1,아매워똥집튀김/1","60계간지는 진짜 맛있죠 간장치킨의 최고라고 생각해요 이사와서 첫양재점 시켯는데 겉바속촉에 싱싱한 닭이라 잡내없이 맛잇어요! 같이 시킨 매운닭똥집?이랑 번갈아먹으니 네버엔딩이에요 ㅎㅎ 단짠단짠 두세개먹고, 매운똥집튀김 한개먹고~  주신 콜라 잘마셧어요 감사해요!",5,5,5
2023년 6월 21일,후라이드 반＋반마리선택/1(반마리선택(new장스치킨 반)),첨시켜 봤는데 맛있습니다 많이 파세요,5,5,5
2023년 6월 18일,"후라이드/1,콘마요소스/1,치킨 무/1","짱 맛나네요
60계 너무 맛나요

배달하시는 분 직접 내려와주시고, 감사합티다",5,5,5
2023년 6월 17일,고추치킨/1,고추 칰힌도 맛있네요.,5,5,5
2023년 6월 12일,호랑이치킨/1,양도많고 포징도예쁘고 배달도친절히잘해주셧는데 호랑이치킨은바삭하진않은가봐요 양념은괜찮은데 다음엔크런치같은거주문해보려고요,4,5,5
2023년 6월 10일,"콤보（윙,봉,다리）（코카콜라）/1(콤보선택(호랑이 콤보))",양재점 요기요에 잇어서 행복해요,5,5,5
2023년 6월 9일,순살 크크크치킨/1,너무 맛있어요~~~,5,5,5
2023년 6월 6일,순살 크크크치킨/1,처음 먹어보는데 생각보다 맛있어요.,5,5,5
2023년 6월 6일,"후라이드 반＋반마리선택/1(반마리선택(고추치킨 반)),웨지감자/1",너무 맛있어서  잘 먹었어요,4,4,4
2023년 6월 4일,크크크치킨/1,맛있게 먹었어요!! 양배추 샐러드도 있었음 좋았을것같아요.,5,5,0
2023년 6월 3일,"순살 크크크치킨/1,호랑이웨지감자/1,콘마요소스/1",맛있습니다아아!!!,5,5,5
2023년 6월 2일,호랑이치킨/1,맛나게 먹었습니다.,5,5,5
2023년 5월 28일,"순살 크크크치킨/1,포테이토 치즈스틱（3개）/1",세 식구가 먹었는데 요것만 남았어요^^,5,5,5
2023년 5월 28일,"크크크치킨/1,호랑이쫀도그（3개）/1",매번 만족하고 먹음,5,5,5
2023년 5월 6일,"순살 크크크치킨/1,똥집튀김/1",크크크치킨은 순살보다 뼈있는걸로 완추합니다.,4,3,5
2023년 4월 23일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",크크크치킨 처음먹어봣는데ㅜ진짜 맛잇어요 서비스로 음료도 사이즈 클렁오 주시고 감사합니다 ㅎㅎ,5,5,5
2023년 4월 17일,"호랑이치킨/1,쫀득치즈볼（5개）/1",호랑이치킨최고에요 60계치킨양정말많아요,5,5,5
2023년 4월 9일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),사이다 500ml/1",깨끗한 기름이라 더 맛있네용,5,5,5
2023년 3월 25일,호랑이치킨/1,양도많고맛도좋고!! 자주먹을것같아요,5,5,0
2023년 3월 22일,"호랑이치킨/1,호랑이치즈볼（5개）/1",짱맛!!!!👍호랑이치킨은 진리,5,5,5
2023년 3월 22일,호랑이콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 제로 1.25L)),호랑이치킨 맛이있어요,5,5,5
2023년 3월 21일,"크크크치킨/1,똥집튀김/1",바삭하고 맛있어요.   또 시켜먹을거예요,5,5,0
2023년 3월 20일,"순살 크크크치킨/1,청양마요소스/1,즉석밥/1",처음 시켜먹었는데 맛있어요! 엄청 바삭바삭하고 맥주랑 닥이네요,5,5,0
2023년 3월 19일,"호랑이치킨/1,양념치킨/1",ㅋㅋㅋ 치킨보다는 이게 저는 더 맛있네요.,5,5,5
2023년 3월 18일,"후라이드 반＋반마리선택/1(반마리선택(6초치킨 반)),진미튀김/1","맛있게 잘 먹었어요
6초 치킨 맵고 맛나요",5,5,5
2023년 3월 12일,"후라이드 순살 반＋순살 반 선택/1(순살반마리선택(고추순살 반)),마늘똥집튀김/1",경기때문이지만 너무 늦게받아서 아쉽네요. 똥집은 생각보다 별로여서 많이 못먹었어요. 60계는 역시 고추치킨이 제 스타일이네요,4,3,4
2023년 2월 28일,"콤보（윙,봉,다리）/1(콤보선택(호랑이 콤보)),포테이토 치즈스틱（3개）/1","저의 최애 치킨인 간지랑 호랑이치킨 중 오늘은 호랑이 당첨!ㅎㅎ 매장에서 갓나온 치킨도 좋지만 가끔은 이렇게 포장해서 집에서 편하게 먹어도 좋습니당~
맛있게 잘먹었습니다♡",5,5,0
2023년 1월 30일,"후라이드 순살 반＋순살 반 선택/1(순살반마리선택(간지순살 반)),코카콜라1.25L/1,양념소스/1",배달도 빨랐고 맛있었습니다!!.,5,5,5
2023년 1월 15일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(고추순살 반)),감사히 잘 먹었습니다!!,5,5,5
2022년 11월 25일,"콤보（윙,봉,다리）/1(콤보선택(고추 콤보)),쫀도그/1","예전엔 반마리 콤보 같은게 있어서 
한마리반 시켜서 좋았는데 없어서 아쉬워요
맛은 쵝오!!!",5,5,5
2022년 11월 20일,순살 크크크치킨/1,"크크크 순살 주문했는데, 양도 많고 퀄리티도 좋습니다. 저는 다리살보다는 닭가슴살을 좋아하는데 타브랜드에 비해 닭가슴살, 안심 비율이 높아서 만족합니다. 소스 둘 다 맛있는데, 크크크 소스가 좀 더 잘 어울리네요. 바삭하고 따뜻해서 맛있게 잘 먹었습니다, 많이 파세요^^",5,5,5
2022년 10월 1일,더매운고추치킨/1,"맛났어요! 같이 섞여있는 감튀도 많이주시곻ㅎㅎ 맛있었고요
60계치킨 처음시켜보는데 아주 맛나네요
감사합니다
더매운고추치킨인가 근데이건 좀 맵네요 그래도 맛났어요 ㅎㅎ저 매운거잘먹는데 매웠어요 맵찔이는 절대금지!",5,5,5
2022년 9월 10일,고추치킨/1,감사합니다 잘먹을께요,5,5,0
2022년 8월 19일,짜장치킨（기본맛.매콤해요）/1,짜장치킨 생각보다 맛있어요. 기본맛은 먹다보면 매콤해요 ㅎㅎ,5,5,5
2022년 8월 14일,"순살고추 치킨/1,사이다 1.25L/1",빠른 배달 감사합니다,5,5,5
2022년 7월 28일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(양념순살 반)),순살 사랑 자알 먹었습니다,5,5,5
2022년 7월 27일,"후라이드 순살 반＋순살 반 선택/1(순살반마리선택(양념순살 반)),웨지감자/1,떡볶이/1",맛있긴 하지만 양이 조금 부족한 느낌이에요..잘먹었습니다.,5,4,5
2022년 7월 9일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))","엄청 바삭하고 맛있어요
또 주문할께요",5,5,5
2022년 7월 9일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))","맛있게 잘먹었어요
감사합니다",5,5,5
2022년 6월 16일,,맛있게 잘 먹었습니다,5,5,5
2022년 6월 10일,"호랑이치킨/1,간지치킨/1",파라과이 축구 시청하면 먹으니 더 맛있어요,5,5,5
2022년 6월 1일,간지치킨/1,피자볼 서비스까지 주셨네요. 맛있습니다.,5,4,4
2022년 5월 28일,,맛있었어요! 다만 고추가 좀 덜 들어갔던것같아 아쉬웠어요~,4,4,4
2022년 5월 27일,후라이드/1,픽업주문이라 그런지 더 빠식하니 맛있었습니다,5,5,0
2022년 5월 11일,"후라이드 순살 반＋순살 반 선택/1(순살반마리선택(고추순살 반)),치킨 무/1",맛나게 잘 먹었습니다. 양이 좀 아쉽긴한데 그거빼곤 괜찮아요,5,4,5
2022년 5월 10일,,치킨의 맛과 세계가 차원이 다르네요 정말 맛있어요,5,5,5
2022년 5월 8일,고추치킨/1,"윙 닭다리 둘다 하나밖에 없는데
기형계인가요?",1,1,1
2022년 5월 7일,후라이드/1,맛있었어요. 잘 먹었습니다.,5,5,5
2022년 4월 29일,순살 육육치킨/1,어유 역시 이영자 인정ㅎㅎ,5,5,5
2022년 4월 26일,"순살고추 치킨/1,쫀득치즈볼（5개）/1,사이다 1.25L/1",맛있게 잘 먹었어요!,5,5,5
2022년 4월 23일,,신기한 조합 밥이랑 먹으면 맛있어요,5,5,5
