dates,order_items,reviews,taste_score,quantity_score,delivery_score
2일 전,순살 크크크치킨/1,"역시 맛있는 크크크 
요즘은 무조건 치킨은 크크크로 통일이네요. 최고!!",5,5,0
2일 전,"뼈 후라이드반+선택반/1(반마리선택(고추치킨 반),사이드메뉴 추가(쫀득치즈볼(5조각)))",맛있어요!!!!!!,5,5,0
2024년 4월 13일,"윙 15조각/1(부분육단품 맛변경(맛 변경 양념치킨)),다리 6조각/1(부분육단품 맛변경(맛 변경 양념치킨))",맛있어요.맛있어요 ㆍ맛있어요ㆍㅇ ㅇㅇ,5,5,0
2024년 4월 12일,순살 크크크치킨/1(음료업그레이드(콜라 1.25L 사이즈 업)),맛있어요~아들이 좋아해서 먹는데 소스맛으로 먹는치킨인듯요ㅋ 콘소스 매력적이네요. 아들은 핫?소스 좋아하더라구요. 칠리향강함,5,5,0
2024년 4월 10일,뼈 후라이드반+선택반/1(반마리선택(고추치킨 반)),맛있어요!!!!!!!,5,5,0
2024년 4월 5일,크크크치킨/1,처음 주문했는데요  진짜로 바싹하고 양도 많고요 너무 맛있어요,5,5,0
2024년 3월 26일,크크크치킨/1,맛있게 잘먹었어요!!,5,5,5
2024년 3월 26일,크크크치킨/1,가성비 좋고 바삭한 식감이 너무 좋네요,5,5,5
2024년 3월 21일,"윙 15조각/1(윙선택(양념 윙 15조각)),다리 6조각/1(다리선택(양념 다리 6조각))",아주아주 맛있어요 ㅎㅎ,5,5,5
2024년 3월 19일,"크크크치킨/1,청양마요소스/1","ㅋㅋㅋ 
너무 맛있어요",5,5,5
2024년 3월 16일,"콤보（윙,봉,다리）/1(콤보선택(간지 콤보)),치킨 무/1",존맛입니둥 또시킬게용,5,5,5
2024년 3월 16일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))","조금 튀김이 덜 탔으면 좋겠어요 
맛있게 잘먹었습니다",4,5,5
2024년 3월 15일,순살고추 치킨/1,차가운 치킨.....,3,3,3
2024년 3월 15일,"콤보（윙,봉,다리）/1(콤보선택(간지 콤보)),마요네즈소스/2",배달이 예상시간보다 20분이나 늦게와서 음식이 다 식었어요,5,5,1
2024년 3월 14일,순살 크크크치킨/1,"너무맛있어요~ 아이가순살만좋아하는데
쵝오랍니다~!!",5,5,5
2024년 3월 13일,"윙 15조각/1(윙선택(양념 윙 15조각)),다리 6조각/1(다리선택(양념 다리 6조각))",너무너무 맛있게 잘 먹었습니다 ㅎㅎ,5,5,5
2024년 3월 13일,"콤보（윙,봉,다리）/1(콤보선택(고추 콤보))",맛있게 잘 먹었습니다!,5,5,5
2024년 3월 10일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),치킨 무/1,호랑이웨지감자/1",너무너무 맛있어요 추천합니다,5,5,5
2024년 3월 9일,"고추치킨/1,후라이드/1",배달도 매우 빠르고 맛있게 잘 먹었습니다,5,5,5
2024년 3월 6일,순살 크크크치킨/1,애들이 먹고싶다고 해서 시켜줬습니다만…와…다이어트중인데 냄새가!!!진심 맛있는듯 하네요!!애들이 잘먹고 있어요!!,5,5,5
2024년 3월 4일,"윙 15조각/1(윙선택(양념 윙 15조각)),다리 6조각/1(다리선택(양념 다리 6조각))",너무 맛있어요 배달도 빠르고 좋아요,5,5,5
2024년 3월 4일,후라이드/1,맛있어요!!!!!!!,5,5,5
2024년 3월 2일,"윙 15조각/1(윙선택(양념 윙 15조각)),다리 6조각/1(다리선택(양념 다리 6조각))",치킨 너무 맛있어요 ㅎㅎ 매일 먹고 싶어요,5,5,5
2024년 3월 2일,"다리 6조각/1(다리선택(후라이드 다리6조각)),코카-콜라500ml/2",항상 맛있어요. 잘 먹었어요,5,5,5
2024년 3월 1일,"윙 15조각/1(윙선택(양념 윙 15조각)),다리 6조각/1(다리선택(양념 다리 6조각))",치킨이 너무 맛있어요 배달도 빠르고 좋아요,5,5,5
2024년 2월 28일,"윙 15조각/1(윙선택(양념 윙 15조각)),다리 6조각/1(다리선택(양념 다리 6조각))",너무 맛있어요 배달도 빠르고 좋아요 ㅎㅎ,5,5,5
2024년 2월 26일,"윙 15조각/1(윙선택(양념 윙 15조각)),다리 6조각/1(다리선택(양념 다리 6조각))",너무 맛있어요 배달도 빠르고 좋아요 ㅎㅎ,5,5,5
2024년 2월 25일,간지치킨/1,배달도 빠르고 너무너무 맛있게 잘 먹었어요 간장이랑 누룽지 맛이 동시에 나는 게 오묘하고 맛나요 살코기도 부드럽게 야식으로 딱이에요,5,5,5
2024년 2월 21일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),미니쫀득볼（10개）/1",맛있어요!!!!!!!,5,5,5
2024년 2월 18일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),닭이 너무맛있어요 배달도 빠르고 잘 먹었네요,5,5,5
2024년 2월 11일,크크크치킨/1,"크크크치킨 크래커처럼 완전 바삭해요
캔콜라랑 소스가 3가지가 왔는데 넘 맛있어요",5,5,5
2024년 2월 7일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),팝콘만두/2",배달도 빠르고 아주 맛있게 축구4강전 보면서 먹고있습니다.,5,5,5
2024년 1월 29일,"크크크치킨/1,간지치킨/1",맛있게 먹었어요^^,5,5,5
2024년 1월 27일,더매운고추치킨/1,"배달 예정시간보다 늦게 도착 하였지만 괜찮아요 맛있으니까!
사실 조금 더 따끈하게 먹고싶긴하네요~",5,5,4
2024년 1월 23일,순살고추 치킨/1,맛있어요!!!!!!!!!!!,5,5,5
2024년 1월 22일,간지치킨/1,"먹을때마다 만족합니다 
잘 먹었습니다",5,5,5
2024년 1월 22일,윙봉24세트/1(윙봉선택(간지 윙봉)),"늦어져서 여기저기 전화하고 난리
매장은 요기요로 하라하고
배달기사는 다식은 치킨을  현관문앞에 먼저두고 
어찌 1층 공동현관벨을 나중에 누르죠?",5,5,3
2024년 1월 15일,순살간지 치킨/1,맛있어요!!!!!!!!!,5,5,5
2024년 1월 13일,"순살 하하핫치킨/1,호랑이웨지감자/1","매콤해서 밥이랑 잘어울림,, 빠작해서 굿",5,5,5
2024년 1월 2일,후라이드 반＋반마리선택/1(반마리선택(new장스치킨 반)),"맛있어요 살짝매콤혀서 좋았구요 배달도빠르구요
애들도잘먹어서 좋아요",5,5,5
2024년 1월 1일,"콤보（윙,봉,다리）/1(콤보선택(양념 콤보)),호랑이웨지감자/1",양념치킨은 60계가 👍,5,5,5
2023년 12월 25일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),치킨은 여기서만 시켜요,5,5,5
2023년 12월 24일,"간지치킨/1,윙 15조각/1(윙선택(양념 윙 15조각))",역시 간지나게 맛나요,5,5,5
2023년 12월 22일,크크크치킨/1,"넘 맛나게 먹었어요
감사해요",5,5,5
2023년 12월 16일,"고추치킨/1,호랑이웨지감자/1",포테이토도 꼭 같이 시켜요 감자튀김 별로 안 좋아하는데 이건 맛있어용ㅋ,5,5,5
2023년 12월 16일,순살 크크크치킨/1,맛있네요. 깨끗한 60계,5,5,5
2023년 12월 13일,후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),잘먹었습니다 맛있어요,5,5,5
