dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 4월 15일,"뼈 선택반+선택반/1(반반맛선택 1(고추치킨 반),반반맛선택 2(양념치킨 반))","치킨은 여기가 제일 맛있는거 같아요
콜라 서비스도 감사합니다",5,5,0
2024년 4월 14일,"쫀득치즈볼（5개）/1,포테이토 치즈스틱（3개）/1,윙봉24세트/1(윙봉선택(간지 윙봉)),콜라 1.25L/1",맛있게 잘 먹었습니다,5,5,0
2024년 4월 10일,간지치킨/1,배달은 예상시간보다 더 걸려서 치킨이 좀 식었어요. 그래도 맛있네요. 단짠단짠하고 중간중간 있는 웻지감자도 맛있어요.,5,5,0
2024년 4월 4일,순살 호랑이치킨/1,맛있어 보여서 시켰는데 완전 라면스프맛이에요ㅜㅜ 몇개 먹더니 다들 안먹네요ㅜㅜ~  다 남았어요 향도 넘 강하고 별로에요  취향탈듯~ 하하핫치킨이 더 낫네요,1,5,0
2024년 3월 29일,크크크치킨/1,크크크 강추 드립니다!!!,5,5,5
2024년 3월 27일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),반반시켰는데 맛있게 먹었습니다,5,5,5
2024년 3월 23일,하하핫치킨/1,"아이가 광고보고 먹고 싶다고 해서 사줬는데
너무 매워서 반도 못 먹었네요.",3,4,5
2024년 3월 23일,"윙봉24세트/1(윙봉선택(고추 윙봉)),윙 15조각/1(윙선택(간지 윙 15조각))",맛있게 잘 먹었습니다~~~,5,5,5
2024년 3월 23일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),너무 맛있어요^^ 양념도 짜지않고 딱 맛있어요,5,5,5
2024년 3월 23일,순살 크크크치킨/1,처음 먹어보는데 맛있어요.,5,4,4
2024년 3월 23일,윙봉24세트/1(윙봉선택(크크크 윙봉)),배달도 빠르고 음식도 만족합니다.,5,5,5
2024년 3월 22일,간지치킨/1,기사님도 친절하시고 간지치킨 맛있네요!,5,5,5
2024년 3월 21일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살양념 반),순살반＋반선택2(순살6초 반))",매운치킨 먹고싶어서 여러군데 시켜봤는데 뭔가 아쉬움이 있었는데 제대로 맵네요 ㅋㅋ 맛있게 맵습니다 ㅋ간만에 눈물흘리면서 먹었어요. 아쉬운점은 퍽살이라는 점 🥲,5,5,5
2024년 3월 21일,"순살 크크크치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),웨지감자/1",웨지감자 안왔어요 전화도 안받으시네요,1,1,1
2024년 3월 19일,크크크치킨/1,배달 빠르고 좋습니다.,5,5,5
2024년 3월 11일,호랑이치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),바삭바삭 최고에요 ㅎㅎ,5,5,5
2024년 3월 9일,순살 크크크치킨/1,사진 받자마자 찍엇는데 일단 양에 실망했고 먹다보니 순살은 퍽살베이스에 맛도 그닥이고요. 재주문은 안할듯,1,1,4
2024년 3월 8일,후라이드/1,여전히 맛있는데 오늘은 양이 적게 느껴지는것은 기분탓일까요~~~??,5,4,5
2024년 3월 8일,크크크치킨/1,"주문할 때 출발전에 문자 보내달라고, 문 앞에 두고 문자 달라고 했는데 연락이 없어서 요기요 확인하니 배달 완료라고 떠서 문앞에 확인하니 30분 전에 배달완료되서 다 식은 치킨을 먹었네요. 조금 실망입니다",5,4,1
2024년 3월 5일,"윙 15조각/1(윙선택(간지 윙 15조각)),라이스치즈스틱（5개）/1",치킨은.. 역시 60계죠 사이드도 맛있네요,5,5,5
2024년 3월 3일,후라이드/1,"아이들이 엄청좋아하네요!!  깨끗하게 튀겨진 깔끔한맛 !
믿고 먹었습니다~~!!",5,5,5
2024년 3월 3일,"순살 크크크치킨/1,크크크소스/1,콘마요소스/2",바삭하고 맛있어요 또시킬게요,4,4,4
2024년 3월 2일,"반마리＋반마리 선택/1(뼈반＋반선택1(간지 반),뼈반＋반선택2(고추 반))","고추간지가 알싸한 맛으로 먹는건데
하나도 매운맛이 안나더라구요
반반으로 시킨 간지랑 맛이 똑같았어요",4,5,5
