dates,order_items,reviews,taste_score,quantity_score,delivery_score
어제,"크크크치킨/1,호랑이웨지감자/1",기본도 맛있고 소스도 맛있고 크크크 최고입니다,5,5,0
2일 전,크크크치킨/1,크크크치킨 처음 시켜봤는데 깔끔하고 부드럽고 자극적이지 않이서 너무 밋있어용! 그리고 서비스로 주신 치즈볼 너무 감사히 먹었어용♡,5,5,0
2일 전,순살 더매운고추치킨/1(사이드메뉴 추가(호랑이웨지감자)),매콤하고 잇있어요 바삭함은 포기해야할듯,5,5,0
2일 전,크크크치킨/1,콤보 보다는 덜하지만 ㅋㅋ치킨이라 좋아요,5,4,0
3일 전,"크랑이치킨/1,크크크치킨/1","맛있어요
역시 ㅋㅋㅋ",5,5,0
4일 전,순살 후라이드반+선택반/1(반마리선택(호랑이 반)),배달빠르고 맛있어요,5,4,0
4일 전,"콤보 선택반+선택반/1(세트반마리선택1(양념치킨 반),세트반마리선택2(간지치킨 반))",양은 작았지만 너무 맛있고 빨리 왔어용 짱짱,5,3,0
5일 전,순살 크랑이치킨/1,맛있게 잘먹었습니다,5,5,0
5일 전,"콜라 245ml/1,봉 15조각/1(부분육단품 맛변경(맛 변경 간지치킨))",너무 맛있네요 굳이요,5,5,0
6일 전,"크크크치킨/1,멘보샤(10조각)/1",우리 아들들의 최애 치킨입니다.,5,5,0
일주일 전,"뼈 후라이드반+선택반/1(반마리선택(양념치킨 반),음료추가(콜라 1.25L))","뼈  후라이드반 양념반  시켰었구요  배송도  빠르고  따끈따끈했어요 
 그런데  양은 좀  적은듯해요",3,3,0
일주일 전,간지치킨/1,비오는날 배달시켜 죄송합니다. 치킨이 너~~무먹고싶다고 애들이 졸라서 어쩔수없었어요 맛은 최고였어요,5,5,0
2024년 4월 15일,크크크치킨/1,크크크 치킨 너무 맛있습니다 강추~~ 치즈스틱도 너무 맛있었어요!!,5,5,0
2024년 4월 14일,크크크치킨/1,바삭바삭하고 맛있어용,5,5,0
2024년 4월 14일,"반마리＋반마리 선택/1(뼈반＋반선택1(양념 반),뼈반＋반선택2(하하핫 반))",맛잇게 먹엇습니당 ㅎㅎ,5,5,0
2024년 4월 14일,크크크치킨/1,바삭하니 맛있었습니다,5,5,0
2024년 4월 13일,"순살고추 치킨/1,코카-콜라1.25L/1",배달도 빠르고 맛있어오^^,5,5,0
2024년 4월 13일,"순살 고추치킨/1,순살 후라이드치킨/1",순식간에 먹어버렸어요.배송도 빠르고 바삭하고 넘 맛있어요^^,5,5,0
2024년 4월 12일,크크크치킨/1,배달도 빠르고 맛있어요~ 순삭이네요 ㅎㅎ 잘 먹었습니다,5,5,0
2024년 4월 10일,간지치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),잘먹었습니다 ~~~~~,5,5,0
2024년 4월 9일,순살 크크크치킨/1,튀김이 바삭해서 맛나요,5,5,0
2024년 4월 8일,고추치킨/1,맛있게 잘먹었습니다.,5,5,0
2024년 4월 7일,간지치킨/1,맛있게 잘 먹었어요,5,5,0
2024년 4월 7일,고추치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),"맛나게 잘먹었습니다
리뷰이벤트 치즈볼도 감사합니다",5,5,0
2024년 4월 6일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),청양마요소스/1",깨긋한 기름을 사용해서 그런지 튀김색도 좋고 맛있네요,5,5,0
2024년 4월 1일,"봉 15조각/1(봉선택(크크크 봉 15조각)),윙 15조각/1(윙선택(더매운고추 윙 15조각)),웨지감자/1","정신없이 맛있게먹느라 사진도 안찍었네요 ㅎㅎ
감사히 잘 먹었습니다 ^^~~~",5,5,5
2024년 4월 1일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),봉 15조각/1(봉선택(양념 봉 15조각)),스프라이트1.5L/1,치킨 무/2",항상 빠르고 맛잇습니다👍👍,5,5,5
2024년 3월 31일,"크크크치킨/1,양념치킨/1,떡볶이/1","애들이 크크크치킨 먹어보고싶어서 시켜봤어요~
바삭하니 괜찮네요 :)",5,5,5
2024년 3월 31일,"크크크치킨/1,쫀득치즈볼（5개）/1",바삭바삭 하고 치킨이랑 치즈볼도 맛있어요!!~,5,5,4
2024년 3월 30일,"윙 15조각/1(윙선택(후라이드 윙15조각)),웨지감자/1","윙만 따로 주문할 수 있어서 좋네요
웨지감자도 양도 푸짐하니 한마리는 못먹을거같아 이렇게 시켰는데 맛있게 잘먹었습니다~",5,5,0
