dates,order_items,reviews,taste_score,quantity_score,delivery_score
3일 전,"뼈 후라이드반+선택반/1(반마리선택(양념치킨 반)),라이스치즈스틱(5조각)/1,콜라 1.25L/1",맛있게 잘 먹었습니다,5,5,0
일주일 전,봉 15조각/1(부분육단품 맛변경(맛 변경 고추치킨)),진짜 너무맛난 60계 최고시다..고추치킨 맥주안주로 최고에요. 저렴한 봉세트 1마리는 많을때 야식으로 딱입니다!! 사장님도 매번 너무 친절하세용,5,5,0
2024년 4월 11일,"간지치킨/1(사이드메뉴 추가(쫀득치즈볼(5조각)),음료업그레이드(제로콜라 1.25L 사이즈 업))",누룽지치킨 맛있어요~~ 안에 웨지감자도 있더라구요?!,5,5,0
2024년 3월 29일,"윙 15조각/1(윙선택(6초 윙 15조각)),윙 15조각/1(윙선택(간지 윙 15조각)),봉 15조각/1(봉선택(크크크 봉 15조각))","넘맛있어요 간지랑 크크크

6초는 제겐 너무맵네요ㅜ 혀따가워요ㅎㅎ",5,5,5
2024년 3월 29일,순살 크크크치킨/1,잘받았습니다 감사합니다,5,5,5
2024년 3월 24일,"순살 크크크치킨/1,순살간지 치킨/1","60계 치킨 처음 시켜봤는데
크크크치킨 맛있었어요! 배달도 빨랐고 잘 먹었습니다:)",5,5,5
2024년 3월 22일,봉 15조각/1(봉선택(고추 봉 15조각)),"진짜너무맛나요 존맛탱 60계가 치킨중 최고에여 살짝매콤하게요청드렸더니딱좋아요!!
리뷰 치즈볼은안왓어요 ㅠ",5,5,0
2024년 3월 15일,크크크치킨/1,바삭바삭 정말 맛있어요~!,5,5,5
2024년 3월 12일,고추치킨/1,기름을 너무 빼지않아느끼해서 3분에1도못먹었어요 너무 늦은 시간이라. 그랫나 싶어요 다른지역에서. 먹을땐 참맛있게 먹었는데요바삭한 맛이 하나도 없이어요,3,4,4
2024년 3월 3일,크크크치킨/1,"오늘은 ~~~ 
정말 짱!!
맛있었어요
치킨 한마리가 못 먹는 집인데
처음으로 모자라서 ㅎㅎ
저 시키고 싶었던 맛 !!
역쉬 크크크 60계 치킨은 
맛있어요",5,5,5
2024년 3월 3일,후라이드/1,60계 후라이드 소문대로 맛있네요^^,5,5,5
2024년 3월 2일,"윙 15조각/1(윙선택(간지 윙 15조각)),봉 15조각/1(봉선택(간지 봉 15조각)),쫀득치즈볼（5개）/1,코카-콜라 제로1.25L/1","배달도빠르고  항상 굿입니다..
누룽지 가루도 많이 뿌려주시고 감사합니다..",5,5,5
2024년 2월 17일,"미니쫀득볼（10개）/1,코카-콜라1.25L/1,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반))",맛있게 잘 먹었습니다,5,5,5
2024년 2월 10일,다리 6조각/1(다리선택(크크크 다리 6조각)),매버뉴고추치킨만 먹다가 크크크가 주문1위길래 첨먹어봒는데 신세계네요! 너무맛있어요 닭자체도 깨끗하고 튀김옷아 바삭하면서도 1도 느끼함 없고 짜지도 않고 너무고소해요 매콤한 멕시칸 느낌의 빨간소스가 원픽이고 마늘섞인 개운한 소스랑 달콤한 콘소스까지 소스가 3가지라 각각 다른맛으로 즐길수있어서 넘 좋았어요!! 또먹겠습니다ㅎㅎ,5,5,0
2024년 2월 7일,"크크크치킨/1,떡볶이/1,콘마요소스/1,콜라 1.25L/1",배달이 빨리와서 축구 시작하기전에 왔어요👀👍🏻👍🏻👍🏻 잘 먹겠습니다,5,5,5
2024년 1월 27일,고추치킨/1,"배달 받았는데, 뜨거울 정도로 정말 총알배송이었습니다~^^ 맛은 뭐 말할것도 없죠 ㅎㅎ
사진은 오자마자 먹느라 정신없어서 못찍었어요 ㅠㅠ 
그런데 제가 출장이 많아서 여러지역을 다니며 
60계를 자주 시켜먹운데, 위례 찡!! 입니다^^",5,5,5
2024년 1월 26일,크크크치킨/1,"빠른 배달로 따뜻하고 바삭바삭한 크크크 치킨을 먹을수 있었어요^^
센스쟁이 기사님
차가운 바닥이 아닌
웨건에ㅡ놔주시니~~ 100점
아이들이 먼저 집어 먹고 찍었지만
엄지 척",5,5,5
2024년 1월 17일,"윙 15조각/1(윙선택(간지 윙 15조각)),봉 15조각/1(봉선택(간지 봉 15조각)),떡볶이/1,청양마요소스/1,쫀득치즈볼（5개）/1","배달도빠르고  맛있어요
윙봉은 최고..
떡볶이도 매콤하고 맛있어요..",5,5,5
2024년 1월 16일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보)),웨지감자/1",아이들도 잘 먹어요~~,5,5,5
2024년 1월 14일,크크크치킨/1,바삭바삭하니 너무맛나고 아들이 지금까지먹었던 치킨중에 젤 맛있었데요,5,5,5
2024년 1월 7일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",맛있게 잘먹었습니다,5,5,5
2024년 1월 5일,"순살 크크크치킨/1,똥집튀김/1",잘 먹었습니다~^^,5,5,5
2023년 12월 27일,고추치킨/1,맛있어요 친절하시고 👍,5,5,5
2023년 12월 26일,후라이드 반＋반마리선택/1(반마리선택(고추치킨 반)),맛있습니다.  이 조합도 나쁘지않네요. 잘 먹었습니다.,5,5,5
2023년 12월 20일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),미니쫀득볼（10개）/1",맛있게 잘 먹었습니다,5,5,5
2023년 12월 17일,후라이드 반＋반마리선택/1(반마리선택(호랑이 반)),맛있게 잘 먹었어요.,5,5,5
2023년 12월 16일,순살 크크크치킨/1,바삭바삭하고 맛있어요 배달도 빠르고 좋네요,5,5,5
2023년 12월 11일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),오늘도 맛있게 먹었습니다. 비가 많이 내리는데도 불구하고 식지않은 따뜻한 음식을 먹었네요. 감사합니다.,5,5,5
2023년 12월 4일,"순살 크크크치킨/1,크크크소스/1,핫크크크소스/1",맛있어서 또 시켜먹었어요👍🏻,5,5,5
2023년 11월 30일,"순살 크크크치킨/1,다리 6조각/1(다리선택(양념 다리 6조각)),크크크소스/1",친귀 추천으로 먹어보았는데 정말 맛있어요 바삭바삭,5,5,5
2023년 11월 27일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),"훌륭한 조리, 알맞은 익힘, 깨끗한 기름. 항상 시키면 후회하지않네요.
순살을 먹을까 고민하다 뼈를 선택하여 주문하였는데 뼈 역시 맛있었습니다. 그리고 깨끗한 기름을 사용해주셔서 타 브랜드는 먹고나면 속이 불편했는데 이 곳 치킨은 속이편하네요.
감사합니다.",5,5,5
2023년 11월 21일,크크크치킨/1,"맛있어요 배달도 빠르고 좋아요
마니파세요",5,5,5
2023년 11월 18일,순살 호랑이치킨/1,잘먹었습니다 ㅎㅎㅎ,5,5,5
2023년 11월 13일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살고추 반),순살반＋반선택2(순살양념 반))","양념 최곱니다.정말 맛있습니다.
고추맛과의 궁합도 잘 맞네요.
바삭함이 적어서 1% 아쉬웠습니다.
그래도 고기가 부드러워서 먹는내내 좋았습니다.",5,5,5
2023년 11월 7일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살호랑이 반),순살반＋반선택2(순살간지 반))",넘나 맛있게 잘먹었습니다리,5,5,5
2023년 10월 30일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살고추 반),순살반＋반선택2(순살간지 반))","저번의 너무 맛있게 먹어서 또 주문하였습니다.
저번보다 양이 조금 줄은 듯한 느낌이 듭니다.
그래도 맛있었습니다..",5,5,5
2023년 10월 28일,"반마리＋반마리 선택/1(뼈반＋반선택1(간지 반),뼈반＋반선택2(양념 반))",소맥컵도 귀엽고 맛도 너무맛있어요,5,5,5
2023년 10월 26일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살고추 반),순살반＋반선택2(순살간지 반),음료선택(사이다 500ml 사이즈 업))","최고의 선택, 최고의 맛, 최고의 조합, 최고의 조리",5,5,5
2023년 10월 9일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(간지순살 반)),맛잇어요 ㅎㅎ 바삭합니다,5,5,5
2023년 10월 2일,"순살 크크크치킨/1,미니쫀득볼（10개）/1",잘먹었습니다 ㅎㅎㅎㅎ,5,5,5
2023년 9월 28일,"봉 15조각/1(봉선택(간지 봉 15조각)),윙 15조각/1(윙선택(간지 윙 15조각)),청양마요소스/1","항상 맛있는 60계
잘 먹겠습니다. 
명절 잘 보내세요",5,5,5
2023년 9월 27일,윙봉24세트/1(윙봉선택(고추 윙봉)),"치즈볼 서비스 감사합니다
추석 전  기분 좋게 먹었습니다
번창하세요!!",5,5,5
2023년 9월 21일,"순살양념 치킨/1,콜라 1.25L/1",맛있게 잘먹었습니다,5,5,5
