dates,order_items,reviews,taste_score,quantity_score,delivery_score
어제,순살 크랑이치킨/1,세상 맛나요 대박이에요ㅠ 맛있게 잘 먹었습니다 번창하세요!!,5,5,0
2일 전,순살 양념치킨/1,아이들 치밥해서 잘 먹었어요 감자도 맛있대요!!!,5,5,0
4일 전,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 크크크치킨))","빠른 배송 감사합니다.
자주 애용하겠습니다.",5,5,0
일주일 전,"양념치킨/1(음료업그레이드(콜라 1.25L 사이즈 업)),순살 크랑이치킨/1,생맥주 1,000cc/2",60계 치킨  이맛이구나,5,5,0
일주일 전,순살 크크크치킨/1,맛있게 잘 먹었습니다 번창하세요!,5,5,0
2024년 4월 14일,순살 크크크치킨/1(사이드메뉴 추가(떡볶이)),맛도좋고 빠른배달도 좋아요.크크크는 울애들이젤좋아해요~,5,5,0
2024년 4월 14일,양념치킨/1,늘 그렇듯 아이들이 좋아하는 최애치킨입니당 맛있게 잘 먹었습니다 번창하세요 ♥,5,5,0
2024년 4월 13일,후라이드치킨/1,"웨지감자 양이 살짝 줄은듯요

근데 치킨 넘 맛나게 튀겨졌습니당",5,4,0
2024년 4월 9일,간지치킨/1,"빠른배송 감사해요!
맛도 좋아요",5,5,0
2024년 4월 4일,순살 크크크치킨/1,늘 맛있게 잘 먹었습니다 감사합니다 번창하세요!,5,5,0
2024년 3월 27일,봉 15조각/1(봉선택(후라이드 봉15조각)),맛있게 잘 먹었습니다.,5,5,0
2024년 3월 24일,"윙 15조각/1(윙선택(후라이드 윙15조각)),양념소스/1",맛있게 잘 먹었습니다.,5,5,0
2024년 3월 20일,크크크치킨/1,너무 맛없다요 이영자에게 사기당했다,1,1,0
2024년 3월 16일,"윙 15조각/1(윙선택(양념 윙 15조각)),다리 6조각/1(다리선택(후라이드 다리6조각)),마요네즈소스/1","60계 항상 맛있게 먹고있어요~~
깨끗하게 튀겨줘서 정말 맛있어요~~~
자주 먹을께요~~~",5,5,5
2024년 3월 14일,봉 15조각/1(봉선택(후라이드 봉15조각)),맛있게 잘 먹었습니다.,5,5,0
2024년 3월 11일,"순살 호랑이치킨/1,스프라이트500ml/1",어제도 오늘도 이곳이네요ㅡ역시나 최애치킨집답게 맛있어요ㅡ,5,4,5
2024년 3월 11일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살호랑이 반),순살반＋반선택2(순살양념 반))",호랑이치킨은 레전드에요ㅡ웻지감자 맛나요!,5,3,5
2024년 2월 20일,"반마리＋반마리 선택/1(뼈반＋반선택1(양념 반),뼈반＋반선택2(간지 반))","배달해주시는분도 친절하신 곳! 간지치킨 맛있네요!
맛있게 잘 먹었습니다 감사합니다 번창하세요!",5,5,5
2024년 2월 16일,후라이드/1,"오늘 치킨은 바삭거림도 별로구오ㅡ
옷입힌것도 별로라서 맛이 없어 마니 남겼어요",2,3,5
2024년 2월 15일,"반마리＋반마리 선택/1(뼈반＋반선택1(하하핫 반),뼈반＋반선택2(양념 반))",최애치킨이라 출석체크했네요ㅡㅎㅎ웨지감자 넘 맛나용,5,5,5
2024년 2월 12일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살호랑이 반),순살반＋반선택2(순살양념 반))","최애치킨점입니다 역시 맛있어요 잘 먹었습니다
번창하세요 !",5,5,5
2024년 2월 11일,"순살더매운고추 치킨/1,순살 호랑이치킨/1,코카-콜라1.25L/1",잘먹었습니다 맛있어요,5,5,5
2024년 2월 4일,"다리 6조각/1(다리선택(양념 다리 6조각)),골뱅이무침/1",믿고 먹는 치킨 또 주문했어요 올만에 골뱅이무침 새로웠어용ㅎㅎ 잘 받았습니다 맛있게 잘 먹었습니다 번창하세요 ♥,5,5,5
2024년 2월 4일,봉 15조각/1(봉선택(간지 봉 15조각)),맛있게 잘 먹었습니다~,5,5,0
2024년 2월 3일,"다리 6조각/1(다리선택(양념 다리 6조각)),호랑이웨지감자/1",항상 친절하고 늘 맛있는 최애가게입니다 맛있게 잘 먹었습니다 번창하세요 ♥,5,5,5
2024년 1월 27일,순살 크크크치킨/1,매장해서 먹고  따로 포장해서 집에 가져왔을땐  양도 많고 크기도 커서 넘 맛있었는데 요기요로 주문했는데 양이랑 크기가 왠지 작은 느낌이 나네요...ㅠ,4,3,5
2024년 1월 26일,간지치킨/1,잘먹었어요 너무맛있게 한마리가 금방 없어지네요,5,5,0
2024년 1월 23일,윙봉24세트/1(윙봉선택(후라이드 윙봉)),맛있게 잘먹었습니다,5,5,5
2024년 1월 22일,"순살간지 치킨/2,순살후라이드/2",모임에서 아주 맛있게 잘 먹었습니다,5,5,5
2024년 1월 20일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살양념 반))",오늘은 어인일로 기분탓인지 가슴살이 많이 분포되어있었네요 ㅋㅋ 순살보다는 뼈가 더 맛있는 느낌이네요,4,4,5
2024년 1월 2일,"순살 호랑이치킨/1,순살더매운고추 치킨/1",잘먹었습니다 양이많아서좋아요,5,5,5
2023년 12월 30일,"코카-콜라1.25L/1,윙봉24세트/1(윙봉선택(크크크 윙봉)),떡볶이/1,콜라 1.25L/1","맛있어요
재구매했어요",5,5,5
2023년 12월 25일,후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(양념콤보 반)),"배달료는 받으면서 서비스 개선은 안되고...ㅉ
다 식어빠진 치킨 보내면서 저렇게 더럽운 포장은 첨 봤네요
1키로 되는 가게에서 배달 떠났다는 통화후 15~16분 후에 다 식어빠진 치킨 받았어요. 배달원 당당하게 여기만 오는 거 아니잖아요. 그럼 배달료는 왜 받나요? 요기요는 챗봇으로만 응대하고 가관일세.
이 가게가 평점이 높은 가게라는게 더 가관.@@",1,1,1
2023년 12월 12일,하하핫치킨/1,"신메뉴라 주문해봤어요~다 먹고 사진을 찍었네요ㅋ
가격은 좀쎄지만 매콤하고 맛있어요~~",5,5,5
2023년 12월 10일,"순살 크크크치킨/1,콜라 1.25L/1,웨지감자/1",배달도 빠르고 맛있어요~~~사진은 먹다가 찍었어요^^,5,5,5
2023년 11월 13일,크크크치킨/1,"양이 너무 적어서 깜짝 놀랐어요
2마리 시켰는데 둘 다 넘 적어서
찾아가려다 말았어요
자주 먹는 치킨인데 너무하네요",5,2,0
2023년 11월 13일,크크크치킨/1,양이 너무 적어서 깜짝 놀랐어요,4,2,0
2023년 10월 31일,"다리 6조각/1(다리선택(양념 다리 6조각)),순살 호랑이치킨/1",아이들 최애치킨이에요ㅡ맛있게 잘 먹었습니다 번창하세요!,5,5,5
2023년 10월 29일,크크크치킨/1,치킨은 다식어오고 콜라는 따뜻하네요 두번다신 먹고싶지 않은 최악의 치킨입니다.,1,1,1
2023년 10월 3일,"후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),양념소스/1",맛있게 먹었어요. 니여헺 래히냘극,5,5,5
2023년 9월 17일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),치즈스틱（5개）/1,콘마요소스/1","치킨을
조금만 더
튀겨달라고 했는데 날씨 때문인지 바삭한 맛이 없어
아쉬웠어여",5,5,5
2023년 8월 30일,호랑이치킨/1,배송빠르고 만족합니다,5,5,0
2023년 8월 30일,봉 15조각/1(봉선택(후라이드 봉15조각)),배송빠르고 만족합니다,5,5,0
2023년 8월 29일,"윙봉24세트/1(윙봉선택(크크크 윙봉)),포테이토 치즈스틱（3개）/1",크크크 맛있습니다!! 포테이토 치즈스틱도 대존맛,5,5,5
2023년 8월 16일,후라이드/2,양이 엄청 많았고 맛있었습니다.,5,5,0
2023년 8월 3일,"고추치킨/1,코카-콜라1.25L/1,크크크소스/1",언제 먹어도 맛있어요!,5,5,5
2023년 7월 23일,"윙봉24세트/1(윙봉선택(크크크 윙봉)),콤보（윙,봉,다리）/1(콤보선택(고추 콤보))",맛있네요~~~~~~,5,5,5
2023년 7월 15일,크크크치킨/1,"처음 먹었는데
맛있어요^^",5,5,5
2023년 7월 14일,순살 크크크치킨/1,맛있어요! 소스가 많아 먹는 재미가 있네요,5,4,5
2023년 7월 13일,"크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),크크크소스/1",맛있게 잘먹었습니다,5,5,5
2023년 7월 9일,크크크치킨/1,너무 박삭해서 입천장 다 까졌어요 ㅜㅜ,5,5,0
