dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 4월 14일,"순살 크크크치킨/1(사이드메뉴 추가(멘보샤(10조각)),사이드메뉴 추가(튀김만두))",맛이 있어요 배달이 조금 빨라요,5,5,0
2024년 3월 31일,"반마리＋반마리 선택/1(뼈반＋반선택1(간지 반),뼈반＋반선택2(고추 반),음료선택(코카콜라1.25L))",늘먹던대로맛있습니다.,5,5,5
2024년 3월 14일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),4일만에 또 시켜먹었어요!! 배달 빠르고 맛나요,5,5,5
2024년 3월 14일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),늘 맛있어요!!! 잘먹었숩니다,5,5,5
2024년 3월 12일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),"너무맛나요 애들이순삭했어요
너무맛있다고 딸래미가치킨을잘안먹는데
이건잘먹어서 신기했어요^^
담에또주문해야겠어용
친정엄마시켜줬어요맛나서",5,5,5
2024년 2월 29일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))","넘 맛있었어요ㅡ
여러 브랜드치킨중 으뜸이였어요ㅡ",5,5,5
2024년 2월 27일,순살 크크크치킨/1,기사님께서 저희 집 반대쪽까지 가셔서 픽업하시고 배달하고 오셔서 거의 식어서 왔어요..ㅠ 미지근...덜 바삭했지만 맛은 진짜.. 최고에요~! 맛있게 잘 먹었습니다!,5,5,1
2024년 2월 26일,순살 크크크치킨/1,"주위에서 ㅋㅋㅋ치킨 맛있다고 난리라
먹어봤는데 완전 바삭하고 맛있네요 따봉",5,5,5
2024년 2월 26일,후라이드 윙봉 반＋윙봉 반 선택/1(윙봉반 선택1(고추윙봉 반)),맛있게 잘 먹었습니다~,4,4,4
2024년 2월 24일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))","조카들이 너무 맛있게 잘 먹었어요
크크크 너무 좋아하네요",5,5,5
2024년 2월 9일,고추치킨/1,맛있어요 ㅎㅎㅎ 굿,5,5,5
