dates,order_items,reviews,taste_score,quantity_score,delivery_score
2일 전,"크랑이치킨/1,순살 하하핫치킨/1","크크크랑 호랑이 치킨 둘 다 좋아하는데 크랑이 치킨이 나와서 시켜봤어요
이것도 맛있네요
하하핫은 순살로 밥 비벼서 먹으면 맛있어요
잘 먹었습니다",5,5,0
2일 전,"미니쫀득볼(10조각)/1,뼈 후라이드반+선택반/1(반마리선택(양념치킨 반))",맛있게 잘 먹었습니다,5,5,0
2일 전,순살 크크크치킨/1,"크크크 치킨 너무 맛있어요~~
잘 먹었어요 자꾸 생각나는맛이요",5,5,0
3일 전,크크크치킨/1,바삭하니 너무 맛나요,5,5,0
3일 전,순살 후라이드치킨/1,"양도 작다는 느낌!
간은 좀 짭잘.",3,3,0
3일 전,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 크크크치킨),사이드메뉴 추가(웨지감자),소스,추가메뉴(치킨 무),세트메뉴 음료업그레이드(콜라 1.25L 사이즈 업)),다리 6조각/1(부분육단품 맛변경(맛 변경 고추치킨))","바삭바삭 맛있어요..
배달도 빠르고..맛도 있어요..",5,5,0
3일 전,간지치킨/1,간지치킨 너무 맛있어요~~ 🍗,5,5,0
4일 전,후라이드치킨/1,오랜만에 후라이드 먹었는데 바삭바삭 맛있었어요~!,5,5,0
4일 전,"크크크치킨/1(소스,추가메뉴(치킨 무),소스,추가메뉴(양념소스),소스,추가메뉴(맛소금))",별5개씩하고싶었는데....리뷰이벤트 다른거보내주신거는 이벤트니까 그럴수있다 했는데 맛소금 주문했는데 안보내주셨네요..신랑은 치킨 소금있어야먹는 사람인데..돈주고 주문한것도 안보내주시면 어떻게 합니까ㅠ,1,1,0
5일 전,크랑이치킨/1,빠르게 배달오고 정말맛있습니다,5,5,0
일주일 전,봉 15조각/1(부분육단품 맛변경(후라이드)),언제 먹어도 맛있어요!  혼자 먹는데 최소 주문 금액 낮아서 얼마나 감사한지ㅠ 다음엔 더 크게 시킬게여ㅋㅋ 잘 먹었습니다~,5,5,0
2024년 4월 14일,"봉 15조각/1(부분육단품 맛변경(맛 변경 크랑이치킨)),쫀도그(3조각)/1",항상 맛있게 잘 먹고있습니다,5,5,0
2024년 4월 14일,크크크치킨/1,"양도 많고 맛있네요~
정말 바삭합니다~",5,5,0
2024년 4월 13일,고추치킨/1,치킨이 달달하이 잘먹고 있어요~,5,5,0
2024년 4월 12일,크크크치킨/1,"완전 맛있는 크크크 치킨 ㅎㅎ 
뜨끈뜨끈하게 도착햤어요~~ 완전 맛있게 먹겠습니다",5,5,0
2024년 4월 11일,크크크치킨/1,"요기요 처음써봐서 바로배송되는지몰랐어요..후 .. 배달음식안시켜먹는데  처음으로 시켜먹었는데 시간좀지나고먹으니까 많이딱딱해서 속상해요 ㅠㅠ 따뜻할때먹음 나쁘지않을거같아요. 에어프라이어가없다보니 ㅠ 
치킨은 나쁘지않은거같은데 배달시간을 제가잘몰라서 제탓이지만 좀 아쉽긴하네요 
사장님께서 미리연락주셔서 감사합니다.",3,4,0
2024년 4월 11일,간지치킨/1,적당히 달고 적당히 짜고 맛있습니다.,5,5,0
2024년 4월 9일,"순살 크크크치킨/1(소스,추가메뉴(콘마요소스))",아이들이 크크크를 제일 좋아해요,5,5,0
2024년 4월 7일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),종종 시켜먹는데 맛있어요,5,5,0
2024년 4월 7일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),양념이 넘많아서 맛이없어요 너무너무 달아요,3,4,0
2024년 4월 7일,"봉 15조각/1(봉선택(크크크 봉 15조각)),쫀도그/1",맛있게 잘 먹었습니다,5,5,0
2024년 4월 6일,"콤보（윙,봉,다리）/2(콤보선택(후라이드 콤보)),코카-콜라500ml/1",맛있게 잘 먹었습니다~,5,5,0
2024년 4월 6일,순살 크크크치킨/1,"크크크 치킨 시켜서 잘 먹었네요~
기름지고 맛있어요~",5,5,0
2024년 4월 4일,크크크치킨/1,"역시 크크크예요.
맛있게 잘 먹었습니다~^^",5,5,0
2024년 3월 24일,호랑이치킨/1,말로만 듣던 호랑이 치킨 드디어 먹어봤는데 진짜 너무 맛있네요..! 시즈닝도 듬뿍주셔서 좋았어요,5,5,4
2024년 3월 24일,"봉 15조각/1(봉선택(크크크 봉 15조각)),쫀도그/1",오랜만에 맛있게 잘 먹었습니다,5,5,5
2024년 3월 23일,"양념치킨/1,쫀도그/1,웨지감자/1","쿠폰 7장 모았어요 ㅋ
항상 주문해 먹는 양념치킨과 오늘 처음 시켜 본 쫀도그 인기 짱!!",5,5,5
2024년 3월 21일,크크크치킨/1,맛있게 먹었어요 가격 비싼거 빼고는 대만족,5,5,5
2024년 3월 21일,"콤보（윙,봉,다리）/1(콤보선택(고추 콤보))",잘받았습니다 -------,5,5,5
2024년 3월 20일,순살 크크크치킨/1,엄청 바삭하거 양도많고 대만족입니다,5,5,5
2024년 3월 20일,후라이드 반＋반마리선택/1(반마리선택(더매운고추  반)),바삭하고 너무 맛나요,5,5,5
2024년 3월 19일,"순살후라이드/1,웨지감자/1","늘 맛있습니다!
치킨먹자 = 60계치킨 우장산점.",5,5,5
2024년 3월 18일,봉 15조각/1(봉선택(양념 봉 15조각)),"딱 제가 좋아하는 맛이요~~^^
맛있게 먹을께요
서비스도 굿~♡",5,5,5
2024년 3월 18일,크크크치킨/1,잘먹었습니다 소스가 맛있어요,5,5,5
2024년 3월 18일,"후라이드/1,크크크소스/1","힝~
60계는 늘 바삭 따뜻했는데..
어제 주문한 치킨은 다 식어서 좀 아쉬웠어요.
그래도 맛은 굿이랍니다!!!",5,5,4
2024년 3월 17일,"순살고추 치킨/1,쫀득치즈볼（5개）/1",넘 맛있어서 먹고나서 찍은 사진뿐...👍🏻👍🏻👍🏻최고예요,5,5,5
2024년 3월 17일,호랑이치킨/1(음료선택(콜라 1.25L 사이즈 업)),"입짧은 아들이 먹고싶데서 시켰는데 허겁지겁 맛나게 잘먹네요 앉은 자리에서 버거세트 두개를 먹는데 넉넉하게 잘먹네요^^
우리는 크크크 시키겠는데 꼭 호랑이치킨 시켜 달라고ㅇ그러네요^^
잘먹었습니다!",5,5,5
2024년 3월 17일,호랑이치킨/1,ㅋㅋㅋ  맛있게 잘 먹었어요,5,5,5
2024년 3월 16일,고추치킨/1,"치킨이 살아있네여~^^

잘먹겠습니다",5,5,5
2024년 3월 16일,순살 크크크치킨/1,아이들이 너무좋아해요~~,5,5,5
2024년 3월 16일,크크크치킨/1,"광고만 보고 먹고 싶어서 주문했어요 
와.. 진짜 바삭하고 맛있네요 ㅎㅎ
소스도 3가지인데 개인취향이지만 동그란통에 들어있는 
투명소스가 너무 맛있네요 ~",5,5,5
2024년 3월 15일,"크크크치킨/1,떡볶이/1",맛있었읍니다 잘먹었습니다,5,5,5
2024년 3월 15일,호랑이치킨/1,"배송 빠르네요 잘도착 했습니다 
맛있게 잘먹었습니다 
수고하세요 ^^",5,5,5
2024년 3월 14일,크크크치킨/1,너무 맛있어요!!!!,5,5,5
2024년 3월 12일,순살 크크크치킨/1,"최애 치킨이 오늘부터 바꼈습니다
맥주 도둑 입니다",5,5,5
2024년 3월 11일,순살더매운고추 치킨/1,장먹엇습니다 또시킬게요,5,5,5
2024년 3월 10일,순살 크크크치킨/1(음료선택(코카콜라1.25L)),치킨이 먹고 싶어서 시켰어요 크크크 치킨을 가족이좋아해서~~웨지감자도 너무 맛있어요♡,5,5,5
2024년 3월 10일,"크크크치킨/2,호랑이웨지감자/2",콤보인줄 알았는데 ㅜㅜ,3,5,5
2024년 3월 9일,순살간지 치킨/1,짱 맛있어요 다음에도 시켜먹을게용!!!,5,5,5
2024년 3월 9일,"순살더매운고추 치킨/1,호랑이치즈볼（5개）/1",맛있게 잘 먹었습니다~~,5,5,5
2024년 3월 9일,순살new장스 치킨/1,너무 맛있게 잘 먹었습니다,5,5,5
2024년 3월 7일,다리 6조각/1(다리선택(고추 다리 6조각)),"갠적으로는 먹다보면 좀 달아서 물리네요
아이들은 엄청 좋아할거 같아요
근데 치킨무는 원래 안주나요??",4,5,3
2024년 3월 5일,멘보샤 엔 순살/1(순살선택(크크크 순살)),맛있게 먹었어요..,5,5,5
2024년 3월 2일,크크크치킨/1,맛있어요! 다음에 또 주문해야지~,5,5,5
