dates,order_items,reviews,taste_score,quantity_score,delivery_score
어제,순살 크크크치킨/1,치킨도 맛있고 서비스로 받은 치즈스틱이 완전 제스타일,5,5,0
3일 전,양념치킨/1,양념 치킨 맛있게 먹었습니다,5,5,0
5일 전,윙봉24세트/1(세트메뉴 맛변경(맛 변경 고추치킨)),"맛도있고. 요즘 고추치킨에 ~~  엄치척 
매번 요것만 픽~~",5,5,0
2024년 4월 14일,크크크치킨/1,바삭바삭 넘 맛있어요~아이들도 너무 좋아합니다^^,5,5,0
2024년 4월 13일,후라이드치킨/1(음료업그레이드(코카콜라 500ml 사이즈 업)),"바삭하니 굿입니다^^
맛있어요",5,5,0
2024년 4월 11일,크크크치킨/1,맛있게 잘 먹었습니다.,5,5,0
2024년 4월 7일,후라이드/1,정말 뜨끈뜨끈하니 바삭하고  맛있어요^^,5,5,0
2024년 4월 4일,"크크크치킨/1,코카-콜라245ml/1","처음 먹어보는데,  맛있네요.",5,5,0
2024년 4월 1일,간지치킨/1,"늘 맛있어서 오목교역점 애용하고 있습니다.
한결같은 맛 늘 감사드립니다~^^",5,5,4
2024년 3월 31일,"후라이드/1,콜라 1.25L/1","정말 맛있네요^^
축구보면서 먹으니 더 맛있네요^^",5,5,5
2024년 3월 29일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),바삭한 식감이 좋았어요 잘 먹었습니다,5,5,5
2024년 3월 28일,크크크치킨/1,항상 맛있게 잘먹어요. 요즘 크크크 치킨이 젤 맛있어요,5,5,5
2024년 3월 24일,크크크치킨/1,빠른 배송으로 아이와 잘 먹었습니다.,4,5,5
2024년 3월 23일,크크크치킨/1,맛있게 먹겠습니다 감사합니다,5,5,0
2024년 3월 23일,순살 크크크치킨/1,아이들이  잘 먹었어요,5,5,5
2024년 3월 22일,간지치킨/1,늘 60계 간지는 옳아요~^^,5,5,5
2024년 3월 21일,순살 크크크치킨/1,맛있게 잘먹었어요! 다음에 또 시킬께요!,5,5,5
2024년 3월 20일,순살 크크크치킨/1,저번에 맛있어서 또 시켜요~,5,5,5
2024년 3월 19일,크크크치킨/1,60계치킨은 처음먹어보는데 너무맛있게먹었네용,5,5,5
2024년 3월 16일,순살간지 치킨/1,간지치킨 짱이요~배달기사님도 교통상황으로 늦어진다고 중간중간 문자 넣어 주시고 감사했어요. 양도 맛도 맘에 쏙 들어 이달에만 2번째 주문입니다. 맛있게 잘 먹었습니다. ^^,5,5,5
2024년 3월 16일,"순살간지 치킨/1,떡볶이 엔 순살（코카콜라）/1(순살선택(후라이드 순살))","깔끔한맛
간지치킨 최고
오늘은 후라이드가 더 맛나네요 ㅎ",5,5,5
2024년 3월 16일,윙봉24세트/1(윙봉선택(크크크 윙봉)),"ㅋㅋㅋ치킨 맛있어요
따뜻하니 더 맛있네요",4,4,5
2024년 3월 14일,크크크치킨/1,처음먹어보는데 진짜 맛있어요 마늘소스같은데 그거랑 먹으면 다먹을거같아요,5,5,5
2024년 3월 13일,"크크크치킨/1,콜라 1.25L/1",너무 맛있어요. 질리지 않는 맛이에요.,5,5,5
2024년 3월 12일,크크크치킨/1,지인집에서 먹어보고  맛있어서 주문했는데.. 정말 완전 말라비틀고  ㅋㅋㅋ 바삭함..여러가지 실망이여 ㅜㅜ 조금 먹고 버렸네요  체인점마다 다르다는걸 실감,1,3,4
2024년 3월 8일,순살 크크크치킨/1,양도많고 맛있어요!,5,5,0
2024년 3월 7일,간지치킨/1,또 먹을꺼예요~맛있어요~~,5,5,5
2024년 3월 7일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),깨끗하고 깔끔한 맛 좋아요 잘먹었어요,5,5,5
2024년 3월 3일,간지치킨/1,존맛탱탱구리ㅣㅣ에요,5,5,5
