dates,order_items,reviews,taste_score,quantity_score,delivery_score
2일 전,순살 크크크치킨/1,배달시간도 안지켜지고... 거의 1시간만에 받았는데 다식어왔네요 매우 느끼하네요 요새는 몇번째 튀기는거 안써오나요?,3,5,0
2일 전,순살 크크크치킨/1,진짜 바삭바삭하고 맛있어요,5,5,0
4일 전,"봉 15조각/1(부분육단품 맛변경(후라이드),사이드메뉴 추가(튀김만두))",맛있고 양도 많아서 계속 주문하게 되네요,4,5,0
2024년 4월 14일,"윙봉 후라이드반+선택반/1(세트반마리선택(양념치킨 반),사이드메뉴 추가(떡볶이),소스,추가메뉴(치킨 무)),다리 6조각/1(부분육단품 맛변경(후라이드))","맛있습니다
추천함돠~~~",5,5,0
2024년 4월 13일,"봉 15조각/1(부분육단품 맛변경(후라이드),사이드메뉴 추가(웨지감자))",맛도 좋고 양도 많아요,4,5,0
2024년 4월 6일,후라이드/1,맛있게 먹었습니다 감사합니다,5,5,0
2024년 3월 30일,"크크크치킨/2,양념치킨/2","잘도착했어요.
(콜라를 캔으로~~~;; 살짝 아쉬웠지만...)
모임으로 선택으로 ^^",5,5,5
2024년 3월 20일,크크크치킨/1,엄마도 맛있게 잘 먹었다고 극찬하셨습니다!,5,5,5
2024년 3월 20일,간지치킨/1,맛있게 먹었습니다 번창하세요,5,5,5
2024년 3월 19일,후라이드/1,맛있게 먹었습니다 감사합니다,5,5,0
2024년 3월 19일,"호랑이치킨/1,치킨 무/1","너무 맛있게 먹었습니다
추천함돠",5,5,5
2024년 3월 15일,크크크치킨/1,튀김옷이 두꺼워서 양 많아요 ㅎㅎㅎ,5,5,5
2024년 3월 8일,봉 15조각/1(봉선택(후라이드 봉15조각)),혼자 먹기에는 양이 많네요. 맛은 보통? 제 입맛에 닭봉은 구이가 맞는것 같아서...,3,5,0
2024년 3월 6일,"콤보（윙,봉,다리）/1(콤보선택(간지 콤보)),콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",너무너무 맛있게 잘 먹었습니다.,5,5,5
2024년 2월 27일,간지치킨/1,"다음엔 더 맛있게 만들어주세요
이번엔 덜 맛있었어요",4,4,0
2024년 2월 18일,"콤보（윙,봉,다리）/1(콤보선택(간지 콤보)),봉 15조각/1(봉선택(후라이드 봉15조각)),코카-콜라1.25L/1",너무너무 항상 맛있게 잘먹고 있습니다.,5,5,5
2024년 2월 11일,후라이드/1,60계치킨 맛있게 잘 먹었습니다!,5,5,5
2024년 2월 10일,"크크크치킨/1,쫀도그/1,코카-콜라1.25L/1,미니쫀득볼（10개）/1",잘 먹었습니다 감사 합니다,3,3,3
2024년 2월 9일,"크크크치킨/1,코카-콜라1.25L/1","걍 치킨이 넘 바삭하긴하고
맛있는지 잘 모르겠네요
걍 후라이드치킨보다는 바삭하다는점",3,5,5
2024년 1월 27일,크크크치킨/1,"동봉된 두가지 소스가 특히 맛있었습니다.
양도 많은 편이라 좀 남았네요^^",5,5,4
2024년 1월 27일,크크크치킨/1,크크크 처음먹는데 진짜 맛있음 ㅠㅠㅠ,5,5,5
2024년 1월 25일,"순살 크크크치킨/1,웨지감자/1",맛있게 질먹었습다 사진을 못찍었네요,4,5,5
2024년 1월 13일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 제로 1.25L)),너무너무 맛있어요ㅠㅠ 순삭!!,5,5,5
2023년 12월 25일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),배달은 쫘금 걸린거 같은데 암튼 맛닜엇어요. 60계 첨먹어봤는데 괜춘하네여,4,4,4
2023년 12월 19일,순살양념 치킨/1,맛은 있는데 가격에 비해 치킨 양이 작은거 같아요...ㅠㅠ,5,3,5
2023년 12월 15일,"후라이드 윙봉 반＋윙봉 반 선택/1(윙봉반 선택1(양념윙봉 반)),포테이토 치즈스틱（3개）/1,마늘똥집튀김/1,똥집튀김/1,생맥주 1,000cc/1",맛도 배달도 항상 최고입니다!!!!!!,5,5,5
2023년 12월 10일,순살 호랑이치킨/1,맛있음 호랑이짱입니다,5,5,5
2023년 12월 10일,하하핫치킨/1,"맵긴 하네요
그래도 맛있어요",5,5,5
2023년 12월 4일,크크크치킨/1,역시 맛있어요 크크크 짱,5,5,5
2023년 12월 3일,"미니쫀득볼（10개）/1,떡볶이 엔 순살/1(순살선택(더매운고추 순살)),웨지감자/1,아매워똥집튀김/1","호텔에서 시켜서 먹으려는데
포크젓가락 달라고 채크했는데 없어서 기다리다 다 식어서 먹고 내가 달라고 채크 안했을까봐 전화번호랑 다물어봐서 확인다하고나서야 보내준다고함
그러고 죄송합니다 끝..
11층이라 배달왔다해서 내려갔다가 다시올라왔다가 젓가락땜에 내려가서 기다려서 다시받고 오니 다식음 ㅎ",1,1,1
2023년 11월 27일,순살 크크크치킨/1,바삭하고 맛있게 잘먹었습니다,5,5,5
2023년 11월 23일,크크크치킨/1,바삭바삭하고 맛있게 잘 먹었습니다,5,5,5
2023년 11월 19일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))","배달시간 완료 후 조금 뒤 도착했습니다
저녁 바쁜시간이건 알겠는데 집가까운곳에서 배달시켯는데
치킨이 다 식어서 윙봉다리 부분이라 다소 질기게 느껴졌습니다
처음 주문이였는데 좀 아쉽네요",3,3,3
