dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 4월 12일,크크크치킨/1,크크 바삭하니 땡기는맛,5,5,0
2024년 4월 9일,크크크치킨/1,좋아하는 치킨입니다,5,3,0
2024년 4월 8일,순살 크크크치킨/1,배달 빨리 오고 맛있었어요!! 최고 ㅎㅎ,5,5,0
2024년 4월 8일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))","요청사항에 벨누르지 말라고 강조해서 적었는데, 벨누르고 집안식구들 다깨워서 부모님한테 혼나고 먹지도 못하고 다버림. 앱으로 배달상황도 확인 안되고, 배달 후 문자 요청했는데 문자도 안왔음. 다시는 요기요로 주문 안할꺼임. 60계치킨 문래점에서도 주문 안할꺼고.",1,1,0
2024년 4월 7일,크크크치킨/1,"평소 좋아하는 60계 치킨인데 오늘 너무 저를 혼란스럽게 하셨어요~~ 아이들 생일파티 음식중 하나였는데 실제도착 한시간 전에 도착완료 잘못된 공지가 오고, 예상도착 시간보다 정확히 40분 늦게 도착하였습니다. 일부러 시간 계산해서 주문한 거였는데 잘못된 공지만 아니어도 그냥 기다렸을 텐데 어디 다른곳에 배송했나 싶어 연락돌리느라 시간낭비했네요~~그래도 또 주문할거지만 이런 혼선은 없 었으면 합니다. 엄한데서 힘을 뺐습니다.",5,5,0
2024년 4월 6일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",추천합니다 감사합니다,5,5,0
2024년 4월 5일,"반마리＋반마리 선택/1(뼈반＋반선택1(양념 반),뼈반＋반선택2(호랑이 반))",맛있어요! 배달도 빨라요,5,5,0
2024년 3월 24일,윙봉24세트/1(윙봉선택(간지 윙봉)),"종종 포장해서 먹던 곳이라 맛은 익히 알고 있었는데, 요기요 배달은 최악입니다. 
배송도 안됐는데 배송완료처리, 여기까진 실수라 그럴 수 있다쳐도, 고객센터 연락방법 찾는데도 한참 걸리고 통화대기도 오래 걸립니다. 
결국 배송완료 시간보다 30분 더 걸려 받았습니다. 다 식어서 올거 같은데 어떡하면 되냐 물으니 그럼 다시 연락달라길래 그냥 포기했습니다. 보상을 바란건 아니지만 업체 실수는 고객이 감당해야 할 몫인가 봅니다.
이제 요기요로는 안 시키려고요.",5,5,1
2024년 3월 23일,"크크크치킨/1,떡볶이/1",크크크 치킨 처음 먹어보는데 진짜 맛있어요 왜 유명한지 알겠는..,5,5,5
2024년 3월 22일,"크크크치킨/1,제로콜라 1.25L/1,호랑이웨지감자/1",오랜만에 먹으니 맛있네요!,5,5,5
2024년 3월 20일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보)),호랑이치즈볼（5개）/1",추천합니다 감사합니다,5,5,5
2024년 3월 20일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보)),떡볶이/1",너무 맛있어요 추천합니다,5,5,5
2024년 3월 11일,"순살 크크크치킨/1,호랑이쫀도그（3개）/1","아이가 맛있다고 하며 먹네요!!
크런키한게 다음에도 주문해야겠네요",5,5,5
2024년 3월 10일,순살 크크크치킨/1,광고보고 크크크치킨먹어봤는데 소스맛도 다양하고 맛있어요,5,5,0
2024년 3월 7일,크크크치킨/1,크크크차킨 맛있어요,5,5,0
2024년 3월 2일,크크크치킨/1,크크크하게 크런치 하지 ㅋㅋㅋ크크크크크크킄,5,5,5
2024년 3월 2일,후라이드 반＋반마리선택/1(반마리선택(고추치킨 반)),"잘받았어여 
잘먹겠습니다",5,5,5
2024년 2월 28일,윙봉24세트/4(윙봉선택(크크크 윙봉)),너무 식어서 바삭함은 읍네요 배달도 지연돼고  실망 스럽네요,3,2,1
2024년 2월 28일,순살 호랑이치킨/1,최애맛집이요 ㅠㅠ 튀김옷 깨끗하고 맛있고 사장님 친절하시고 다 좋아요!!!!!!!,5,5,0
2024년 2월 27일,크크크치킨/1,"이런 바삭함은 처음이다~
치킨의 신세계네요~
소스에 찍어 먹으니 계속 먹을 수 있어요",5,5,5
2024년 2월 23일,"봉 15조각/1(봉선택(크크크 봉 15조각)),양념소스/1","아파트 길 건너편이라 좋아요
봉 15개중 1개가 퍽퍽살로 잘못 들어있었어용",5,5,0
2024년 2월 21일,순살 크크크치킨/1,광고보고 시켜봤는데 바삭한 후라이드에 소스가 넘 맛있네요,5,5,0
2024년 2월 11일,떡볶이 엔 순살（코카콜라）/1(순살선택(크크크 순살)),배달도 빠르고 바삭바삭하니 식어도 맛있어요😊,5,5,5
2024년 2월 11일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(하하핫순살 반)),깨끗한기름으로 튀긴 느낌,4,5,5
2024년 2월 9일,크크크치킨/1,"먹다 급하게 찍었네요..ㅋㅋ
넘나 맛있어용❤️
잘먹었습니당~👍",5,5,0
2024년 2월 4일,크크크치킨/1,맛있게 잘 먹었습니다!,5,5,5
2024년 2월 2일,봉 15조각/1(봉선택(크크크 봉 15조각)),"포장해서 맛있게 먹었어요
아파트 건너편이라 좋아요",5,5,0
2024년 1월 31일,"크크크치킨/1,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반))",맛있게 잘 먹었어요,5,5,5
2024년 1월 29일,"후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),치킨 무/1","완료 시간 늘어나면서 계속 조리중
매장 전화연결안됨
요기요고객센터 1차 
라이더 2키로안 픽업하러이동중 안내
계속 조리중 
9시에도 못받을것 같아
요기요고객센터 2차 통화 위와동일 안내
9시 다되서 문열어보니
식어빠진 치킨
더이상 실갱이 싫어서 그냥 먹습니다
요기요 배달시스템 잘못이라는데
요기요를 통해서는 더는 시키지 못하겠어요
치킨은 온기 1도 없어 렌지 데워서 먹을께요
다음엔 다른 업체 통해
한 번 더 주문해보겠습니다
좋은 별점 못드린점은 양해부탁드려요
19시32주문 9시경 도착...",3,5,1
2024년 1월 25일,순살 호랑이치킨/1,진심 매일 시켜먹고 싶어요 다른 동네보다 문래점이 특별히 더 맛있는 거 같아요!!!,5,5,0
2024년 1월 22일,"봉 15조각/1(봉선택(호랑이 봉 15조각)),코카-콜라1.25L/1,쫀득치즈볼（5개）/1",언제 먹어도 질리지 않아요~~~,5,5,0
2024년 1월 20일,순살 크크크치킨/1,맛도 좋고 배송도 빨라요😊,5,5,5
2024년 1월 19일,"봉 15조각/1(봉선택(호랑이 봉 15조각)),코카-콜라1.25L/1",언제 주문해도 맛있어요~,5,5,0
2024년 1월 11일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살양념 반))","자주 가던 곳인데 순살은 별로네요.. 
감자가 반이고 양념도 별로고ㅠㅠ",2,2,0
2024년 1월 1일,호랑이콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 제로 1.25L)),간만에 기켜먹는데 너무 맛있어요~ 강추합니다!!,5,5,5
2023년 12월 29일,치킨 무/1,야식으로 잘 먹었습니다.,5,5,0
2023년 12월 29일,"콤보 반＋콤보 반 선택/1(콤보반＋반 선택1(하하핫콤보 반),콤보반＋반 선택2(호랑이콤보 반)),코카-콜라1.25L/1",배달 빠르고 맛있습니다.,5,5,5
2023년 12월 28일,봉 15조각/1(봉선택(고추 봉 15조각)),맛있게 잘 먹었습니다 :),5,5,0
2023년 12월 22일,순살 하하핫치킨/1,주문한지 1시간이 넘고 음식은 다 식어서와네요,1,1,5
2023년 12월 21일,하하핫치킨/1,변함없이 맛있게 잘 먹었습니다^^,5,5,5
2023년 12월 15일,"콤보（윙,봉,다리）（코카콜라）/1(콤보선택(고추 콤보))","치킨은 금욜에 먹으면 더 맛있는듯요~
맛있는 금욜밤 해주셔서 고맙습ㄴ다",5,5,5
2023년 12월 14일,"봉 15조각/1(봉선택(크크크 봉 15조각)),쫀득치즈볼（5개）/1","아파트 건너편인데 귀찮아서 배달로요
아이가 먹고싶대서 주문요",5,5,5
