dates,order_items,reviews,taste_score,quantity_score,delivery_score
6일 전,간지치킨/1(사이드메뉴 추가(웨지감자)),배달빠르고 맛있어요!!,5,5,0
2024년 4월 15일,순살 고추치킨/1,맛있게 잘 먹었습니다 배달은 예상시간보다 20분 늦었네요,5,5,0
2024년 4월 13일,"순살 하하핫치킨/1,순살 후라이드치킨/1(사이드메뉴 추가(호랑이치즈볼(5조각)),사이드메뉴 추가(포테이토치즈스틱(3조각)))",아이들이 좋아하네요,5,5,0
2024년 3월 29일,"크크크치킨/1,호랑이치즈볼（5개）/1,치킨 무/2,크크크소스/1,콘마요소스/1,핫크크크소스/1","크크크 치킨 처음 시켜봤는데
맛있어요 ㅎㅎㅎ",5,5,5
2024년 2월 5일,후라이드/1,"눈이 왔는 대로 정시에 오셨고 맛이 정말좋았습니다 
 헐 다이너트는 물건너 간 듯",5,5,5
2024년 1월 5일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),간지치킨/1",치킨은 괜찮지만 배달 느리고 묶어서 보내네요,5,5,1
2023년 11월 28일,크크크치킨/1,"어떤건 바삭 고소하고 어떤건 그렇지 않았지만
그래도 전체적으로 맛났습니당^^",4,4,4
2023년 10월 7일,크크크치킨/1,"집가면서 주문했는데 번개같이 배달왔어요~
여의도점은 치킨이 너무 촉촉해요 원래 퍽살은 좋아하지 않는데 여의도점에서 튀긴 치킨은 진짜 퍽살도 촉촉해서 맛있어요 양도 많고 좋아요 😁👍",5,5,5
2023년 10월 4일,순살 크크크치킨/1,처음먹었는데 짱맛있네요오,5,5,5
2023년 9월 24일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),웨지감자/1",잘 먹었습니다...,5,5,4
2023년 8월 13일,크크크치킨/1,너무 맛있어욬ㅋㅋㅋㅋㅋㅋㅋ,5,5,5
2023년 8월 4일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살고추 반))",추천합니다!! 맛있습니다,5,5,5
2023년 8월 2일,크크크치킨/1,추천받아 먹어봤는데 맛있습니다.,5,5,5
2023년 7월 25일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",아주 맛있어요○○•,5,5,5
2023년 7월 16일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보)),떡볶이/1",크크크 너무 맛있음,5,5,5
2023년 7월 5일,순살 크크크치킨/1,개바삭 배달도 개빠룸 의외로 콘마요가 마ㅛ있얶어ㅛ,5,5,5
2023년 7월 2일,호랑이치킨/1,짭짤하이 맛있네요,5,5,5
2023년 6월 28일,크크크치킨/1,맛있게 잘 먹었습니다~~^^,5,5,5
2023년 6월 18일,"콤보（윙,봉,다리）/1(콤보선택(고추 콤보))",맛있게 잘 먹었어요~,5,5,5
2023년 6월 16일,크크크치킨/1,크크크 광고 보고 궁금해서 시켰어요. 바삭하긴 한데 kfc 바삭한 느낌이랑은 좀 달라요. 그리고 담백한 맛이라 그런지 소스 같이 먹는게 더 맛있어요. 짜거나 자극적인 맛 치킨 싫어하는 분들이 좋아할 것 같아요 ~,5,5,5
2023년 6월 13일,순살 크크크치킨/1,배달기사님이 너무 친절하셔서 덕분에 한강에서 맛있게 잘 먹었어요🩷크크크치킨 바삭하고 넘 맛있네요!,5,5,5
2023년 6월 10일,크크크치킨/1,되게 바삭하고 맛있네요,5,5,5
2023년 6월 6일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),말모말모 너무 맛있어요 ㅎㅎㅎㅎ,5,5,5
2023년 5월 25일,크크크치킨/1,"여의도점에서 크크크치킨(뼈) 처음 시켜 먹어보았어요. 크게 기대하지 않았는데, 정말 정말 입맛에 딱 맞는 최애치킨 또 하나 찾은 것 같아 기분이 좋네요. 물리지 않는 튀김치킨이랄까요..? 소스도 3개나 주어져서 질리지 않게 먹을 수 있어요. 양도 무척 많아서 기분 좋게 먹었습니다! 재주문의사 있어요~ 다음에 또 시켜먹겠습니다! 사업 번창하세요~~♧",5,5,5
2023년 5월 17일,"윙봉24세트/1(윙봉선택(크크크 윙봉)),크크크소스/2",바삭바삭 간도 적당하고 너무너무 맛있었어요,5,5,5
2023년 4월 23일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살new장스 반),순살반＋반선택2(순살간지 반)),코카-콜라 제로355ml/2",치킨이 맛이 없을 수야 없지만 이집은 맛있는 60계 집은 아니에요.,3,3,5
2023년 3월 21일,크크크치킨/1,잘 먹었습니당💕 진심으로 고마워요ㅛㅛ,5,5,5
2023년 3월 20일,"봉 15조각/1(봉선택(고추 봉 15조각)),다리 6조각/1(다리선택(간지 다리 6조각))",다양한 맛 먹어보고 싶어서 이렇게 시켰어요~ 제 입맛엔 간지 치킨이 더 맛있네요! 그리고 호랑이가 젤 맛있어요,5,5,5
2023년 3월 20일,"순살 호랑이치킨/1,콜라 1.25L/1,치킨 무/1",맛있어요 ㅋㅋㅋㅋㅋ,5,5,5
2023년 3월 20일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살양념 반)),콜라 1.25L/1","맛있게 잘 먹고 있다가 털이 나와 다 버렸어요.
행사라 아마 이런일이 생긴거 같아 전화는
안했어요.",3,5,5
2023년 2월 15일,"후라이드/1,양념치킨/1,테라 생맥주 1,000cc/1",양념치킨 맛있어요.,5,5,4
2023년 2월 14일,크크크치킨/1,"주소를 잘못 적었어서 배달원분께서 계속 전화주셨는데, 사장님도 배달기사님도 친절하고 빠르게 대처해주셨습니다. 치킨 맛있어요!! 번창하세요 ㅎㅎ",5,5,5
2023년 1월 31일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살양념 반)),떡볶이/1",감사합니다 잘먹었습니다,5,5,5
2023년 1월 25일,크크크치킨/1,내돈 내산 너무 아까워요,1,3,1
2023년 1월 8일,윙봉24세트/1(윙봉선택(호랑이 윙봉)),호랑이치킨 언제 먹어도 맛있어요~사진은 모르고 못찍었네요,5,5,5
2023년 1월 5일,호랑이치킨/1,맛있게 잘먹었습니다,5,5,5
2022년 12월 25일,"후라이드/1,웨지감자/1,양념소스/1","첨 시켜 봤어요 .반반시키려다가 후라이드가 땡겨서 후라이드에 양념 추가했고요. 양념, 소금,치킨무, 코카콜라캔 같이 왔어요.
조각이 작게 나눠져 있어 먹기 편했어요.
튀김 옷 두껍지 않고 바삭바삭하고 맛있었어요.
웨지감자 좋아해서 따로 시켰는데, 후라이드에 좀 들어있어서,
웨지감자는 담날 먹었어요. 
웨지감자는 간이 안되어있어, 간만 조금 되면 완벽할 것 같아요.
많이 파세요.",5,5,5
2022년 11월 25일,크크크치킨/1,처음 먹어보는데 바삭하니 맛있고 소스 두 개 다 맛있네요!,5,5,5
2022년 11월 10일,"순살고추 치킨/1,마요네즈소스/1",약간 눅눅했어요 ㅠㅠ,4,5,4
2022년 10월 22일,간지치킨/1,맛있게 잘 먹었습니다,5,5,5
2022년 10월 12일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",튀김이 제 스타일이 아니네요,3,5,5
2022년 9월 28일,"호랑이치킨/1,간지치킨/1",간지 치킨 맛있어요 ㅎㅎ,5,5,5
2022년 9월 24일,윙 15조각/2(윙선택(고추 윙 15조각)),맛있게 잘먹었습니다,5,5,5
2022년 9월 20일,"다리 6조각/2(다리선택(후라이드 다리6조각)),테라 생맥주 1,000cc/1",맛나게잘먹었어용!!!,5,5,5
2022년 9월 1일,순살 호랑이치킨/1,네가맛본치킨중에최고다,5,5,5
2022년 8월 14일,"후라이드/1,양념소스/1",광고만 보다가 처음 시켰는데...너무 눅눅하고 짜요 ㅠ 튀김은 바삭거려야 하는거 아닌가요 ㅠ,2,2,2
2022년 8월 12일,후라이드 반＋반마리선택/1(반마리선택(고추치킨 반)),다음에 또 시킬게요,5,5,5
