dates,order_items,reviews,taste_score,quantity_score,delivery_score
어제,후라이드치킨/1,바삭바삭 후라이드 짱이에요^^ 맛있게 잘 먹었습니다~!,5,5,0
3일 전,순살 크랑이치킨/1,맛있어요  배달도 빨리오고 좋네요,5,5,0
2024년 3월 23일,크크크치킨/1,"동네 근처라 시켜봤는데...
맛있네요.
전화주문이 안된다고 하여 
요기요에서 주문했습니다.
속살은 부드럽고, 겉은 바삭하고...
굿입니다.",5,5,5
2024년 3월 15일,크크크치킨/1,항상 맛있게 먹고있어요~ 감사합니다!,5,5,5
2024년 3월 7일,크크크치킨/1,맛있었어요!!!! 근데 배달 온지도 모르게 아무런 연락이 없어 식은 치킨을 먹었습니다..🥲,4,1,1
2024년 2월 29일,"후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(양념콤보 반)),콜라 1.25L/1",60계는 후라이드가 정말 맛있네요ㅎㅎ,5,5,5
2024년 2월 16일,"다리 6조각/1(다리선택(후라이드 다리6조각)),다리 6조각/1(다리선택(크크크 다리 6조각))",크크크 맛있어요 빠른 배달 감사합니다,5,5,5
2024년 2월 13일,6초치킨/1,먹다 찍었네요.. 맛있네요,5,5,5
2024년 2월 13일,크크크치킨/1,맛도좋고 양도 많아요 적극적으로 추천합니다,5,5,5
2024년 1월 27일,크크크치킨/1,항상 맛있게 먹고있어요~ 감사합니다!,5,5,5
2024년 1월 27일,"순살후라이드/1,스프라이트500ml/1",배달이 문제인건지는 모르겠지만 다 식어서왔네요,1,4,1
2024년 1월 25일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),꼬소하이 처죽여줍니다~~맛이 죽여줘요 😙,5,5,5
2024년 1월 11일,크크크치킨/1,7시9분배달예정이엿는데 7시40분넘어왔네요 배고파서기다리다 실망,2,5,1
2024년 1월 1일,순살 크크크치킨/1,"돈 더내고 순살시켰는데 뼈가 나오네요
순살이라 생각하고 물었다가 이 나갈뻔.
이건 아니지 않나요",1,1,1
2024년 1월 1일,"크크크치킨/1,콜라 1.25L/1",넘 맛나서 다 먹고 찍네요~ ㅋㅋㅋ  완전 추천 합니다♡♡♡,5,5,5
2023년 12월 17일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),그냥 뭐 60계닭 궁금해서 처음 시켜봤는데 그냥 그랬어요,3,3,5
2023년 12월 16일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))","치킨이 바삭하지도 않고 
식어서 왔네요ᆢ급 실망",2,4,4
2023년 11월 28일,크크크치킨/1,우리 둘째아들 최애 치킨. ㅋㅋㅋ 치킨!!,5,5,5
2023년 11월 28일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 제로 1.25L)),"배달분의 시커먼 손을 본순간
고생하시는건 알겠지만 식욕이
없어지네요 바뻐서 늦는건 이해하지만 위생에--",5,5,1
2023년 11월 7일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살고추 반)),콜라 1.25L/1",잘먹었습니다~,5,5,4
2023년 11월 1일,순살 크크크치킨/1,"맛있게 잘먹었습니다
튀김도 바삭하고 좋아요",5,5,5
2023년 10월 15일,크크크치킨/1,"튀김이 딱딱해서 먹기도, 소화 시키기도 너무 힘들었네요...
ㅋㅋㅋ 소스도 양이적구요. 다신 안먹을듯합니다.",2,5,5
2023년 8월 7일,"반마리＋반마리 선택/1(뼈반＋반선택1(고추 반),뼈반＋반선택2(간지 반)),떡볶이/1",너무 맛있어욬ㅋㅋㅋㅋㅋㅋㅋㅋ,5,5,5
2023년 6월 16일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),오리지날맛이라서 좋았어요~,5,5,0
2023년 4월 18일,후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(양념콤보 반)),음식은 따뜻하게 도착했고 매우 맛있었습니다.,5,3,3
2023년 2월 18일,순살 크크크치킨/1,처음으로 크크크 치킨을 애기랑 같이 먹었는데 맛있쪄요~,5,5,0
2020년 9월 15일,반마리＋반마리 선택/1(반＋반선택(간지 반＋고추 반)),배달 빠르고 고추치킨  너무 맛있어요.  ㅠㅠ,5,5,5
2020년 8월 25일,순살고추 치킨/1,"정말 맛나요

최근에 다시 오픈해서

반갑고

맛나요",5,5,5
2020년 8월 21일,순살고추 치킨/1,"ㅎㅎ 

다시 오픈한 60계 정말 맛나요",5,5,5
2020년 8월 6일,순살고추 치킨/1,"치킨 배달이 너무 늦네요
1시간이 넘네요 사장님",1,1,1
2017년 10월 23일,（인기）장스치킨/1,"너무 잘먹었습니다!!
매콤한거 먹고싶은데 나눠먹어야해서 소스 부탁드렸는데
너무 감사하게도 손 쪽지도 주시고 감동했습니다!
그리고 치킨 양도 많고 맛있어요.
양 많아서 남자.여자 둘이서 반정도밖에 못먹었어요.
앞으로 자주이용하겠습니다. 번창하세요!
그리고 반죽만튀긴 조각이있었는데..역시 맛있었어요.",5,5,5
2017년 10월 10일,（인기）간지윙봉세트20조각/1,"또 시켜먹습니다!
양도 많고 맛있습니다!
많이 파세요!",4,4,4
2017년 10월 1일,칠리양념치킨-순살/1,"완전 맛잇어요 왠만한 프랜차이즈보다 훨맛남
ㅋㅋㅋㅋ 별완전 다섯개",5,5,5
