dates,order_items,reviews,taste_score,quantity_score,delivery_score
어제,"간지치킨/1,호랑이웨지감자/1",굿,5,5,0
3일 전,"순살 호랑이치킨/1(음료추가(코카콜라 1.25L)),다리 6조각/1(부분육단품 맛변경(후라이드))","비오는 날엔 역시 치킨! 그것도 60계 치킨
배달기사님에게는 죄송하지만 맛있게 먹었어요~",4,5,0
3일 전,"순살 양념치킨/1(음료업그레이드(코카콜라 제로 1.25L 사이즈 업)),라이스치즈스틱(5조각)/1",감사합니다. 잘 먹었습니다.,5,5,0
6일 전,크크크치킨/1,오늘도 역시 대조점ㅎㅎ아주 잘먹었어요,5,5,0
2024년 4월 15일,순살 양념치킨/1,맛있게 잘 먹었어요 감사합니다,5,5,0
2024년 4월 14일,크크크치킨/1,진짜 맛있어요.. ㅠㅠ 큰일입니다,5,5,0
2024년 4월 13일,크크크치킨/1,"양도많고 정말 맛있네요
강추합니다",5,5,0
2024년 4월 11일,"크크크치킨/1(소스,추가메뉴(청양마요소스))","크크크치킨 바삭하니 아주 맛도리 입니다
잘먹었슴돠!!^^",5,5,0
2024년 4월 10일,후라이드치킨/1,와 후라이즈 최고…,5,5,0
2024년 4월 8일,"후라이드 반＋반마리선택/1(반마리선택(고추치킨 반),음료선택(사이다 1.5L 사이즈 업))",맛잇읍니다요 시켜들드셈,5,5,0
2024년 4월 7일,크크크치킨/1,"바삭하고 맛있네요^^
먹다가 사진 찍었네요 ㅎ",5,5,0
2024년 4월 6일,크크크치킨/1(음료선택(코카콜라1.25L)),"바삭바삭합니다 . 누룽지처럼 새로운맛입니다
일반 닭튀김 껍질 생각하시면,오산",5,5,0
2024년 4월 4일,크크크치킨/1,바삭바삭해서 소리로한번먹고 맛으로 한번먹고 배불띠~,5,5,0
2024년 4월 3일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",맛있게 잘먹었습니닷,5,5,0
2024년 4월 1일,간지치킨/1,다른 지점에 비해 맛이 없는것도 아니고 배달도 빨랐는데 이상하게 요기요 별점이 낮길래 5점 리뷰 남깁니다,5,5,5
2024년 3월 31일,"떡볶이 엔 순살/1(순살선택(후라이드 순살)),쫀도그/1",60계치킨 좋아하는데 갈현동에 있던게 사라져서 아쉬웠는데 다시 먹을수있어서 좋네요~~  잘먹었습니다^-^*,5,5,5
2024년 3월 30일,"봉 15조각/1(봉선택(간지 봉 15조각)),윙 15조각/1(윙선택(호랑이 윙 15조각)),치킨 무/1","처음 시켜봤는데 입에 딱맞내요...
잘 먹었습니다.",5,5,5
2024년 3월 29일,후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),진짜 짱짱 맛잇어요… 또 시킬게오!!,5,5,5
2024년 3월 24일,"후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(양념콤보 반)),웨지감자/1",신속한 배달 덕분으로 따뜻한 음식 잘받았습니다. 다만 한가지 아쉬웠던건 양념 치킨 소스가 너무 달아서 아쉬웠답니다.,3,3,5
2024년 3월 23일,"크크크치킨/1,양념치킨/1",맛있어요.자주시켜  먹을께요~,4,4,4
2024년 3월 20일,순살 크크크치킨/1(음료변경(제로콜라 1.25L  사이즈 업)),우리동네에 60계치킨이 생긴다고 해서 오픈날만 기다렸다가 바로 포장해서 먹었습니다! 너무너무너무 맛있어요! 먹어본 60계 치킨 중에 최고입니다! 사장님과 직원분들도 너무너무  친절하셨어요~ 대박 나시길 바랍니다ㅏㅏㅏㅏㅏㅏㅏㅏ❤️,5,5,0
