dates,order_items,reviews,taste_score,quantity_score,delivery_score
3일 전,"윙봉24세트/1(세트메뉴 맛변경(후라이드),소스,추가메뉴(양념소스))",뎡말 맛있어요~~,5,5,0
5일 전,"윙 15조각/1(부분육단품 맛변경(맛 변경 크크크치킨),소스,추가메뉴(치킨 무)),웨지감자/1,청양마요소스/1",맛있었고 소스 많아 좋아요,5,5,0
2024년 4월 10일,"순살 고추치킨/1,봉 15조각/1(부분육단품 맛변경(맛 변경 양념치킨))","처음 시켜 봤는데 맛있게 먹었네요.
감자와 치킨이 맛있어요.",5,5,0
2024년 4월 10일,순살 크크크치킨/1,맛있게 잘 먹었어요,5,5,0
2024년 4월 3일,"봉 15조각/1(봉선택(후라이드 봉15조각)),순살 하하핫치킨/1",맛있게 잘 먹었습니다! 메뉴에서 장스치킨이 없어졌던데 너무 아쉽...ㅠㅠ,5,5,0
2024년 3월 22일,"떡볶이/1,윙 15조각/1(윙선택(고추 윙 15조각))",떡볶이.치킨.너무맛있어요?,5,5,5
2024년 3월 8일,"크크크치킨/1,치킨 무/1,코카-콜라1.25L/1",광고 나와서 먹어보고 싶어서 시켰는데 바삭바삭 맛있었어요 특히 콘소스인가? 그 소스 미쳤네요,5,5,5
2024년 3월 7일,"윙 15조각/1(윙선택(간지 윙 15조각)),다리 6조각/1(다리선택(간지 다리 6조각))",간지 짱 맛있어요~ 자주 먹고있어요~,5,5,5
2024년 3월 1일,고추치킨/1,너무.맛있어요?배달도.빨리왔어요?,5,5,5
2024년 2월 21일,"크크크치킨/1,코카-콜라245ml/1",잘 먹었습니다 아이들도 부모님도 잘 드셨어요,5,5,5
2024년 2월 21일,고추치킨/1,사장님이 친절하세요 :),5,5,5
2024년 2월 20일,크크크치킨/1,배달도 빠르고 맛나게 잘먹었습니다,5,5,5
2024년 2월 19일,순살new장스 치킨/1,너무 맛있어요!!!,5,5,5
2024년 2월 19일,크크크치킨/1,처음 주문했는데 바싹하니 맛있어요,5,5,5
2024년 2월 18일,후라이드 반＋반마리선택/1(반마리선택(6초치킨 반)),먹다가 찍었어요 ㅋㅋㅋㅠ 배달이 빠르고 맛있습니다~,5,5,5
2024년 2월 14일,순살 크크크치킨/1,얇은 튀김옷이 바삭바삭 맛있어요!,5,5,5
2024년 2월 13일,윙봉24세트/1(윙봉선택(크크크 윙봉)),크크크 윙봉 너무 맛있어요~^^ 강추합니다.,5,5,4
2024년 2월 8일,고추치킨/1,맛있었어요~~~~~,4,4,4
