dates,order_items,reviews,taste_score,quantity_score,delivery_score
2일 전,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 크크크치킨))",맛있게 잘 먹었습니다. 오늘 많이 바삭하고 좋네요^^,5,5,0
2024년 4월 10일,크크크치킨/1,소스도 3가지 종류라 골라먹는맛 도 있고 바삭하니 맛있어요,5,5,0
2024년 3월 23일,순살 크크크치킨/1,맛있게 먹었어요~소스선택이 안되어 아쉬워요,5,5,5
2024년 3월 22일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보)),윙봉24세트/1(윙봉선택(호랑이 윙봉))","60계치킨은 닭다리가 반으로 잘라져서 오는게 특이하네요
닭다리 들고 뜯는 재미가 있는건데...
호랑이 치킨에는 동그란 떡이랑 감자도 들어있어요. 맛있게 잘 먹었습니다",5,5,5
2024년 3월 21일,크크크치킨/1,오~ 크크크 맛있네요 재주문 의사 있어요,5,5,5
2024년 3월 18일,크크크치킨/1,맛잇게 잘먹엇습니다,5,5,5
2024년 3월 16일,"순살 크크크치킨/1,쫀도그/1",맛있게 잘 먹었습니다~,5,5,5
2024년 3월 16일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(양념순살 반)),"이돈 주고  먹느니  내가 해서 먹어야지
후라이드  기본 바삭함이 전혀  없어요ㅡ빨리  왔는데",1,2,3
2024년 3월 13일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",잘 먹어 습니다 약간 식어서 독착했네요,4,5,5
2024년 3월 11일,크크크치킨/1,"소스가 다양해요. 그래서 치킨 가격이 좀 비싼가요??
그래도 맛있게 잘 먹었습니다. 아이가 잘 먹네요. 치킨이 좀 식어서 온 건 좀 아쉽네요.",4,4,3
2024년 3월 10일,"순살 크크크치킨/1,웨지감자/1","평소보다 더 바삭바삭했어요
맛있게 잘 먹었어요",5,5,5
2024년 2월 21일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),크크크소스/1,양념소스/1",맛있게 잘 먹었습니다~,5,5,5
2024년 2월 16일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),야식 치킨 잘 먹어 습니다,4,4,4
2024년 2월 15일,크크크치킨/1,"크크크치킨 건강한맛이예요
조미료없는 치킨?
좀 간이 없는것같긴한데 애기들 먹기 좋읏것같아요",4,5,5
2024년 1월 18일,크크크치킨/1,바삭하고 맛있습니다 추천합니다,5,5,5
2024년 1월 4일,크크크치킨/1,"일단 생각보다 배달이 늦게 잡혀서 치킨이 식었고
치킨이 바삭은 한데 밍밍했어요
소스 없이 먹으면 염지 안된 치킨 같을 정도
후기가 좋아서 시도해봤고 60계치킨 첨 먹어보는데 많이 실망했습니다
배달이 늦게 잡히는 거 감안해서 조리해야하지 않나 싶고
소스는 맛있는데 소스맛으로 먹을거면 다른치킨 먹지 굳이 크크크 먹을까싶네요
비추입니다
양은 많아요 바삭도 하구요",2,5,3
2023년 12월 23일,"순살 호랑이치킨/1,호랑이쫀도그（3개）/1,생맥주 1,000cc/2",추운날 멀리까지 배달해 주셔서 맛있게 감사히 먹었습니다,5,5,5
2023년 12월 11일,"순살 크크크치킨/1,크크크소스/1",맛있었어요. 리뷰 남겨요,5,5,5
2023년 12월 9일,크크크치킨/1,마지막 조각까지 바삭하고 맛있어요..바달도 생각보다 빨리 왔어요,5,5,5
2023년 11월 27일,"크크크치킨/1,웨지감자/1",딸이 좋아하는 크크크 치킨이에요 오늘도 먹고싶다하여 시켯어요 아이들이 먹기도 안맵고 맛있어요 굿굿,5,5,5
2023년 11월 24일,크크크치킨/1,"맛있게먹었숩니다
ㅎㅎ",5,5,5
2023년 11월 22일,"순살 크크크치킨/1,웨지감자/1,미니쫀득볼（10개）/1","다른 곳보다 훨씬 바삭하네요
웨지감자도 포슬하니 맛있어요",5,5,5
2023년 11월 20일,"크크크치킨/1,미니쫀득볼（10개）/1","포장주문만 하다가 배달은 처음 시켜보는데 역쉬,, 넘 맛나네요
조만간 또 주문할게여 치킨집은 여기로 정착했습니다 히히",5,5,5
2023년 11월 20일,"후라이드 반＋반마리선택/1(반마리선택(하하핫 반)),코카-콜라1.25L/1",맛있어요. 애들이 눈물 줄줄 흘리면서도 맛있어서 양념을 다 긁어먹었네요. 성인이 먹기엔 전혀 맵지 않습니다. 후라이드도 만족합니다.,5,5,5
