dates,order_items,reviews,taste_score,quantity_score,delivery_score
일주일 전,크크크치킨/1,다른지역에서도 무리없이 아이와 함께 먹었어요. 감사해요.,5,5,0
2024년 3월 8일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",잘먹었어요 또 주문할께요,4,4,4
2024년 3월 2일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보)),떡볶이/1,양념소스/2","크크크 말해 뭐합니까
너무 맛있었어용~~",5,5,5
2024년 2월 29일,"간지치킨/1,윙봉24세트/1(윙봉선택(후라이드 윙봉)),치킨 무/2",잘먹었어요 또 주문할께요,5,5,5
2024년 2월 16일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살고추 반))",너무 맛있게 잘 먹었어요 :),5,5,5
2024년 2월 16일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",역시 크크크 존맛탱구리!,5,5,5
2024년 1월 31일,"간지치킨/1,콜라 1.25L/1",잘 먹었어요 또 주문할께요,4,4,4
2024년 1월 17일,크크크치킨/1,"양도 많고 바삭해요
특히 함께주는 소스가 맛있네요",5,5,5
2023년 12월 30일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",맛있었어요 역시60계,5,5,5
2023년 12월 27일,"순살 크크크치킨/1,쫀득치즈볼（5개）/1,콜라 1.25L/1",치킨도 소스도 맛있어요.  꼭 시켜드세요,5,5,5
2023년 12월 26일,"순살 크크크치킨/1,양념소스/2",너무 맛있게 잘 먹었습니다!,5,5,5
2023년 12월 21일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보)),크크크소스/1,청양마요소스/1",늘 즐겨먹는 크크크크크크,5,5,5
2023년 12월 7일,"순살 크크크치킨/1,웨지감자/1","파삭파삭한 단백해요 식감이 

아이가 늘 찾는 치킨입니다",5,5,5
2023년 11월 5일,크크크치킨/1,그냥 먹어보면 아는 그 맛입니다 먹어보ㅓ요,5,5,5
2023년 9월 26일,"크크크치킨/1,아~매워!소스/1",크크크크크크크크크크ㅡ,5,5,5
2023년 8월 25일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보)),크크크소스/1,청양마요소스/1,핫크크크소스/1",크크크 맛있어요!!,5,5,5
2023년 8월 16일,크크크치킨/1,비싼데 존맛탱임ㅜㅜ,5,5,5
2023년 8월 3일,순살 크크크치킨/1,"sns에 크크크 맛있다길래 시켜봤는데 바삭하고 괜찮네요
기름도 깨끗한거같아요! 구운치킨 먹다가 튀긴거 먹으니 살찌는 기분^.^",5,5,5
2023년 8월 2일,크크크치킨/1,바삭바삭 맛있습니다 양도 많아요,5,5,5
2023년 7월 1일,"윙 15조각/1(윙선택(크크크 윙 15조각)),웨지감자/1",엄청 따뜻하게 배달되어서 기분 좋게 받았습니다. 배달 예상 시간보다 훨씬 빠르게 왔어요. 따뜻하게 온 만큼 바삭했고 요청사항도 확인해 주셔서 좋았습니다!,5,5,5
2023년 5월 20일,순살더매운고추 치킨/1,배달도  빠르게 잘 해주셨고 음식도 너무 맛있어요 ㅎ,5,5,5
2023년 3월 20일,"크크크치킨/1,콜라 1.25L/1",맛있습니당ㅎㅎㅎㅎㅎ,5,5,5
