dates,order_items,reviews,taste_score,quantity_score,delivery_score
2일 전,크크크치킨/1,맛있어요~~^^ 좋아요,5,5,0
3일 전,크크크치킨/1(사이드메뉴 추가(떡볶이)),떡볶이가 더 맛나유,4,5,0
4일 전,"크크크치킨/1(소스,추가메뉴(크크크소스))","크크크 바싹하고 맛있어요~~~!!
빠르게 배달해주셔서 잘 먹었습니다~~~!!",5,5,0
6일 전,순살 크크크치킨/1(사이드메뉴 추가(떡볶이)),에고 사진을 못찍었어요ㅠ 바삭하고 떡볶이가 너무 맛있어요!!!,5,5,0
2024년 4월 11일,순살 크크크치킨/1(사이드메뉴 추가(떡볶이)),"뜨끈뜨끈할때 배달해주셔서 너무 맛있게먹었습니다!!
완전 바삭하네요!",5,5,0
2024년 4월 9일,크크크치킨/1,이렇게 빨리 배달 안해주셔도 되는데...잘 먹겠습니다~,5,5,0
2024년 4월 9일,후라이드치킨/1,바삭하고 고소하고 맛있어요,5,5,0
2024년 4월 7일,순살 크크크치킨/1,배달도 빠르고 맛있었어요!,5,5,0
2024년 4월 7일,크크크치킨/1,맛있어요~~~바삭바삭  또 시킬께요,5,5,0
2024년 4월 6일,"순살 하하핫치킨/1,호랑이치즈볼（5개）/1","맛있게 잘 먹었습니다, 양이 조금 적은거 빼고는 👍 빨리 보내주셔서 감사합니다",5,4,0
2024년 4월 6일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))","닭이 완전 식어서 눅눅하게 도착했습니다.
전자레인지에 3분정도 돌려 드셔야 합니다!
바삭함은 하나도 없습니다. 전화해도 기다리라고하시고 연락없어용 ㅠ",1,1,0
2024년 3월 31일,"봉 15조각/1(봉선택(후라이드 봉15조각)),떡볶이/1",맛나게 먹겠습니다~,5,5,5
2024년 3월 25일,"봉 15조각/1(봉선택(간지 봉 15조각)),윙 15조각/1(윙선택(new장스 윙 15조각))",맛잇어요. 좋아요.,5,5,5
2024년 3월 25일,크크크치킨/1,맛있게 잘먹습니다 배달하시는분도 친절하시네여 사업번창하세여,5,5,5
2024년 3월 24일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),처음 먹어봤는데 맛있게 잘 먹었습니다.,5,5,5
2024년 3월 21일,순살 크크크치킨/1,"치킨만 시켰는데 감자튀김도 하나 들어와있네요!!
탄수화물도 같이 챙겨서 기분이 넘 좋네요
잘먹었습니다!",5,5,5
2024년 3월 21일,크크크치킨/1,"배달은 한시간 삼십분 걸렸고요
치킨 다 식어서 왔습니다
처음에 오십분 걸린다 해서 기다렸건만 다 식은 치킨이라니",1,1,1
2024년 3월 17일,"크크크치킨/1,고추치킨/1",진짜 바삭하고 너무 맛있어요~ 다음에도 시켜 먹을께요,5,5,5
2024년 3월 7일,"순살 크크크치킨/1,떡볶이/1",잘먹었습니다 감사합니다,5,5,5
2024년 3월 2일,"크크크치킨/1,크크크소스/1",아이들이 좋아해요~~바삭한식감도좋고. 소스랑 잘어울려요~ 맛있게. 잘먹었습니다~~,5,5,5
2024년 2월 26일,"봉 15조각/1(봉선택(후라이드 봉15조각)),아~매워!소스/1,콜라 500ml/1","따뜻하게 배달되었고
바삭하고 맛있게 먹었습니다~",5,5,5
2024년 2월 17일,"크크크치킨/1,콘마요소스/1","콘마요소스 추가해서 
순식간에 다먹음 ㅋㅋㅋ",5,5,5
2024년 2월 15일,"순살 크크크치킨/1,봉 15조각/1(봉선택(후라이드 봉15조각))",맛있게잘먹었습니다.,5,5,5
2024년 2월 13일,"윙 15조각/1(윙선택(양념 윙 15조각)),윙 15조각/1(윙선택(간지 윙 15조각))",맛있게 잘먹었습니다,5,5,5
2024년 2월 11일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),다른말 필요 없습니다!!  굿! 최고!!,5,5,5
2024년 2월 10일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살양념 반))",맛있습니다. 간장 개꿀맛 감자 너무 맛잇음,5,5,5
2024년 2월 9일,"콤보（윙,봉,다리）/1(콤보선택(간지 콤보))",맛있어용!,5,5,5
2024년 2월 9일,"크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),크크크치킨/1","사진 찍는걸 깜빡했네요, 맛있게 잘 먹었습니다, 서비스 감사합니다",5,5,5
2024년 2월 9일,간지치킨/1,역시나 너무 맛있게 잘먹었습니다.,5,5,5
2024년 2월 3일,크크크치킨/1,아주맛있었습니다 자주시켜먹어요,5,5,5
