dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 3월 29일,"봉 15조각/1(봉선택(더매운고추 봉 15조각)),봉 15조각/1(봉선택(간지 봉 15조각))",오늘도 맛있게 잘 먹었습니다.,5,5,5
2024년 3월 28일,"순살 크크크치킨/1,포테이토 치즈스틱（3개）/1,떡볶이/1,치킨 무/1","솔직히 배달도빠르고
맛은 더할나위없이 맛나요~~
요즘최애 크크크치킨",5,5,5
2024년 3월 16일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),먹다보니 급생각나서 사진찍어 리뷰 남겨요.넘 맛있게 잘먹었어요.질리지 않아서 자꾸 시켜 먹게 되네요.,5,5,5
2024년 3월 9일,다리 6조각/2(다리선택(후라이드 다리6조각)),"후라이드 다리만 6조각 주문했더니

시장통닭 12조각이 왔네요.
원래 이렇다고 전화로 확인했네요.

다리 시키는 이유가 
통통한 다리살을 먹기위함인데
이건 살이없이 그냥 껍질튀김 ㅠㅠ

누가 다리살 중량대신
감자로 달라했습니까.

메이커 프랜차이저에서 
이러시는건 곤란하죠,

메뉴를 빼버리시던지하지...",2,2,4
2024년 3월 9일,윙봉24세트/1(윙봉선택(더매운고추 윙봉)),항상 맛있게 잘 먹고있어요. 역시 저희 식구들은 더매운고추가 입맛에 더 맞다네요. 전 ㅋㅋㅋ 맛있던데...,5,5,5
2024년 2월 20일,"호랑이치즈볼（5개）/1,반마리＋반마리 선택/1(뼈반＋반선택1(호랑이 반),뼈반＋반선택2(양념 반))","엄청 맛있게 잘 먹었어요
양은 약간 부족한듯?
하지만 좋았어요^^",5,3,4
2024년 2월 19일,크크크치킨/1,정신줄을 놓고 먹었습니다.너무 맛있어서...바싹하니  치킨만 먹었을때는 담백했는데 소스에 찍어먹으니 더 맛있었어요.,5,5,5
2024년 2월 14일,"크크크치킨/1,코카-콜라1.25L/1",잘먹었습니다. 맛있데요 애들이,5,5,5
2024년 2월 13일,"윙봉24세트/1(윙봉선택(더매운고추 윙봉)),미니쫀득볼（10개）/1",항상 애정하는 60계 망우점 번창하세요~~오늘도 맛나게 잘먹었어요.,5,5,5
2024년 2월 6일,"봉 15조각/2(봉선택(고추 봉 15조각)),코카-콜라1.25L/1","항상 고추윙 시켜 먹는데 오늘은 실수로 고추봉을 시켜 버렸네요 ㅠㅠ
그래도 맛있게 잘 먹었어요~",5,5,5
2024년 2월 4일,"윙봉24세트/1(윙봉선택(더매운고추 윙봉)),미니쫀득볼（10개）/1",60계는 망우점이 원픽입니다. 다같은 60계라고 저희 가족 입맛에 다 똑같이 맞는건 아니더라고요. 항상 잘먹고있습니다.,5,5,5
2024년 1월 28일,윙봉24세트/1(윙봉선택(더매운고추 윙봉)),항상 맛있게 잘 먹고 있어요~~,5,5,5
2024년 1월 11일,"윙 15조각/2(윙선택(고추 윙 15조각)),코카-콜라1.25L/1","오늘도 역시 맛있는 고추윙!
덕분에 잘 먹었습니당~
배달도 빨리 왔어요!!",5,5,5
2023년 12월 27일,윙봉24세트/1(윙봉선택(더매운고추 윙봉)),일주일에 1회 이상 먹어야되는 메뉴예요. 망우점 더매운고추! 강추합니다.,5,5,5
2023년 12월 20일,"순살 하하핫치킨/1,코카-콜라1.25L/1","신메뉴라 후기가 좋아 주문했는데 맛있네요~
배달이 늦어 아쉬웠어요~",5,5,3
2023년 12월 18일,"콤보（윙,봉,다리）（코카콜라）/1(콤보선택(더매운고추 콤보)),미니쫀득볼（10개）/1",일주일에 한번 이상은 꼭 먹는  메뉴예요. 안먹고 지나가면 몬 가 빼먹은것처럼 허전해요,5,5,5
2023년 12월 14일,"콤보（윙,봉,다리）（코카콜라）/1(콤보선택(더매운고추 콤보))",저희집은 치킨 생각나면 무조건 60계 망우점입니다.,5,5,5
2023년 12월 12일,"콤보（윙,봉,다리）（코카콜라）/1(콤보선택(크크크 콤보))","바삭바삭하네요
배송도 빠른편
매장전화 친절해요",5,3,5
2023년 12월 5일,"콤보（윙,봉,다리）（코카콜라）/1(콤보선택(더매운고추 콤보))","닭 생각나면 꼭 60계 망우점을 이용해요.다른 60계는 튀김옷이 두껍고 느끼한데, 망우점은 바삭하면서 옷이 두껍지 않아 느끼하지 않아요.",5,5,5
2023년 12월 2일,크크크치킨/1,"예상과 다른 맛
맛은 잇어",4,4,5
