dates,order_items,reviews,taste_score,quantity_score,delivery_score
3시간 전,순살 크크크치킨/1,"오늘도 역시 맛있었어요
크크크 최고!!
이 바삭함은 정말 최고예요",5,5,0
4시간 전,크랑이치킨/1,와우 푸짐하네요!! 맛있게먹는중입니다 근데..소스가없는게맞나요....??,5,5,0
6시간 전,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 간지치킨))",배달도 빠르고 맛있어요,5,5,0
21시간 전,"크크크반+ 크랑이반/1(계육선택(뼈한마리),사이드메뉴 추가(웨지감자),사이드메뉴 추가(포테이토치즈스틱(3조각)))",바삭바삭 너무 맛있어요!,5,5,0
어제,크크크치킨/1,맛있게 잘 먹었습니다 대박나세요,5,5,0
2일 전,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 크크크치킨))","따끈따근~~~너무너무 맛있게 잘먹었어요~~
치킨은 늘 면목점에서만 시킨다요~~
오늘도 역시 크~~~~역시면목점!!",5,5,5
3일 전,"윙봉 선택반+선택반/1(세트반마리선택1(고추치킨 반),세트반마리선택2(푸하핫 반))","배달 진짜... 정말 다 식어서 왔어요..온기 자체가 없음..
60계는 실망시키지 않는곳인데 배달이 참..너무 지연됨
쫀득볼은 왜 없는건가요..!!!!근데!!!!
..",5,5,0
3일 전,"순살 후라이드반+선택반/1(반마리선택(양념치킨 반),음료업그레이드(스프라이트 1.5L 사이즈 업))",배송예상 시간보다 한참 늦었고 치킨도 다 식어서 한참전에 만들어 놓은거 보낸것처럼 맛도 없고 너무 심각합니다.. 한입먹으니  짜증이 나네요,1,1,0
3일 전,순살 크랑이치킨/1(음료업그레이드(제로콜라 1.25L 사이즈 업)),"처음시켜봣는데
겉이 과자처럼 바삭바삭하니 좋네요",5,5,0
3일 전,"윙 15조각/1(부분육단품 맛변경(맛 변경 간지치킨)),콜라 1.25L/1","실속배달이라 좀늦긴햇지만
치킨은 너무맛잇엇어요ㅎㅎ",5,5,0
3일 전,"크랑이치킨/1,봉 15조각/1(부분육단품 맛변경(맛 변경 간지치킨)),윙 15조각/1(부분육단품 맛변경(맛 변경 호랑이치킨))",맛있어서 나중에 또 시킬 의향있어요,5,5,0
5일 전,간지치킨/1,60계치킨 첨 먹어봤는데 맛있어요!!,5,5,0
6일 전,"크크크치킨/1(소스,추가메뉴(양념소스))",진짜 바삭한 치킨을 원한다면 바로 뼈있는 크크크치킨~! 리뷰 감자웨지도 잘먹었습니다~!!,5,5,0
6일 전,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 크크크치킨),소스,추가메뉴(아~매워!소스))",맛있었어요 맛있었어요,5,5,0
일주일 전,크크크반+ 크랑이반/1(계육선택(뼈한마리)),진짜맛있네요 감사합니다.,5,5,0
일주일 전,순살 크크크치킨/1,후기보고 시켰는뎅 제스타일은 아니였어요ㅠㅠ,3,5,0
2024년 4월 14일,"윙 15조각/1(부분육단품 맛변경(맛 변경 크랑이치킨)),윙 15조각/1(부분육단품 맛변경(맛 변경 하하핫치킨))",최애맛인 장스가 안보여서 다른데 먹을까하다가 신메뉴 먹었는데 무난했습니다~ 장스맛이 돌아왔으면 좋겠어요,5,5,0
2024년 4월 13일,"뼈 후라이드반+선택반/1(반마리선택(양념치킨 반),사이드메뉴 추가(떡볶이))",오늘도 맛있게 잘 먹었어요,5,5,0
2024년 4월 13일,윙봉24세트/1(세트메뉴 맛변경(맛 변경 간지치킨)),배달도 빠르고 맛있어요,5,5,0
2024년 4월 12일,크크크치킨/1(사이드메뉴 추가(호랑이웨지감자)),바삭바삭 맛있어요 소스 다양하게 많네여,5,4,0
2024년 4월 11일,크크크반+ 크랑이반/1(계육선택(순살한마리)),"양이 정말 많아요  무엇보다 기름쩐내가 안나서 기분좋게 맛있게먹었어요
덤으로 주신 치즈스틱도 맛있구요
강추합니다~!",5,5,0
2024년 4월 10일,크랑이치킨/1,"크크크치킨이랑 호랑이치킨 합쳐지면 맛있겠다!
라고 생각했는데 오늘보니 신상품으로 나왔대서 바로 먹었어요 생각한대로 너무 맛있었어요!! 잘 먹었습니당",5,5,0
2024년 4월 10일,윙봉24세트/1(윙봉선택(하하핫 윙봉)),너무 맵지안코 맛나게맵고좋아요!,5,5,0
2024년 4월 10일,윙봉24세트/1(세트메뉴 맛변경(맛 변경 크크크치킨)),배달빠르고 맛잇게먹엇어요,5,5,0
2024년 4월 8일,후라이드/1,맛있게 잘먹었습니다,5,5,0
