dates,order_items,reviews,taste_score,quantity_score,delivery_score
2일 전,크크크치킨/1,처음 주문해보았는데 맛있네요~ 따뜻하게 와서 잘 먹었습니다~,5,5,0
2일 전,크크크치킨/1,맛있게먹었습니다. 감사합니다.,5,5,0
3일 전,순살 크크크치킨/1,맛있게 먹었습니다,5,4,0
2024년 4월 7일,후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),맛있어요 간장치킨 넘 맛있어요~ㅎㅎ,5,5,0
2024년 3월 18일,"반마리＋반마리 선택/1(뼈반＋반선택1(호랑이 반),뼈반＋반선택2(간지 반))",정신없이 먹느라 사진은 못 찍었네요 저도 리뷰를 통해 반반치킨 시켜봤는데 너무 맛있고 행복했어요 배달도 20분 빠르고 매장에서만 먹다 처음 배달시켰는데 좋네요,5,4,5
2024년 3월 17일,"순살고추 치킨/1,쫀득치즈볼（5개）/1",자주시켜먹는치킨...맛집...인정~,5,5,5
2024년 3월 16일,"고추치킨/1,간지치킨/1",리뷰를 몰아써서...요즘은 한주에  2번 이상 먹는듯 하네요. 제가 2번 . 아이들이 또  시켜 먹고^^  믿고 먹는 맛집이에요^^,5,5,5
2024년 3월 16일,"순살간지 치킨/1,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반))",맛나게 아주 잘 먹었어요~울 동네 맛집^^,5,4,5
2024년 3월 9일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),매운걸 못먹는 아이와 양념치킨 좋아하는 아빠때문에 반반 주문했어요. 아빠는 혼자 양념치킨 다 먹었어요^^처음 주문해 봤는데 배달도 빨리오고 맛도 괜찮았어요.,4,5,5
2024년 2월 21일,"크크크치킨/1,웨지감자/1,사이다 1.25L/1",온가족이 삼삼오오 모여앉아 웃음꽃을 피우며 먹었습니다〰️ 배송도 바삭바삭한 상태로 빨리 와서 좋았습니다. 추천!!🏅,5,5,5
2024년 2월 20일,후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),치킨 넘 맛있어요 간장치킨더 맛있어요,5,5,5
2024년 2월 16일,간지치킨/1,맛있게 잘 먹었어요~~,5,5,5
2024년 2월 12일,후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),배달도 빠르고 맛있게 먹었습니다😄,5,5,5
2024년 2월 1일,후라이드/1,"오늘 치킨이 너무 바짝 튀겨져 육즙이 다 빠져서 뻣뻣했어요ㅠ
감자가 왜 한개밖에 안들있는지 무척 무척 아쉬웠어요 ㅠ",2,3,5
2024년 1월 25일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",너무 맛있어요! 또 주문할게요!,5,5,5
2024년 1월 19일,순살 크크크치킨/1,양도 많고 배달도 빠르고 무엇보다 기름쩐내가 안나서 먹으면서도 기분좋게 먹었어요 덤으로 주신 치즈볼도 역시 맛있게 먹었구요  많이 파세요~,5,5,5
2024년 1월 15일,"호랑이치킨/1,후라이드/1",바삭하고 맛있어서 자주 시켜먹네요 ㅎㅎ 치즈볼이 아닌 치즈스틱을 받았지만 이것도 괜찮았어요 ㅎㅎ,5,5,5
2024년 1월 12일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(간지순살 반)),항상 맛있게 먹고 있습니다😀,5,5,5
2024년 1월 11일,고추치킨/1,잘 먹었어요^^ 다음에도 시킬께요,5,5,5
2024년 1월 8일,"크크크치킨/1,콘마요소스/1,청양마요소스/1",매장애서 포장만시켜먹었는데 배달도빠르고 맛잇고 따듯하고 바삭하고 다하내요 ㅠㅠㅠㅠㅠㅠ좋다,5,5,5
2024년 1월 4일,"반마리＋반마리 선택/1(뼈반＋반선택1(간지 반),뼈반＋반선택2(더매운고추  반))","따끈따끈하고 매콤하니 맛있어요~간지치킨은 달콤하고
반반시키길 잘했네요~",5,5,5
2024년 1월 2일,"순살 하하핫치킨/1,순살후라이드/1,생맥주 1,000cc/2",맛있게 잘 먹었습니다,5,5,5
2023년 12월 31일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))","여기서 주문할때면 항상 먹는 크크크~
오늘도 잘 먹었습니다 ~",5,5,5
2023년 12월 28일,간지치킨/1,언제나 맛있어요^^오늘도 감사히 맛밌게 뚝딱!,5,5,5
2023년 12월 10일,하하핫치킨/1,잘먹었어요 쪼끔 짠거빼고용,4,5,5
