dates,order_items,reviews,taste_score,quantity_score,delivery_score
3일 전,"순살 후라이드반+선택반/1(반마리선택(고추치킨 반)),호랑이웨지감자/1",정릉점이랑 양차이....,5,2,0
2024년 4월 8일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(간지윙봉 반),윙봉반＋반 선택2(고추윙봉 반))",부모님께서 60계치킨 간지반.고추반으로 윙봉으로 드시는걸 좋아하시네요.맛있게 잘 드셨다 하십니다.,5,5,0
2024년 4월 4일,고추치킨/1,크크치킨주문 할려고 했는데 잘 주문 고추간장맛 너무 짜요,5,5,0
2024년 3월 26일,"순살후라이드/1(음료변경(코카콜라 제로1.25L 사이즈 업)),순살고추 치킨/1",양도 많고 맛있어요,3,3,4
2024년 3월 24일,크크크치킨/1,맛있어요. 또 주문 할게요,5,5,5
2024년 3월 22일,"순살간지 치킨/1,크크크치킨/1","사진은 찍지 않았습니다.
도착시간보다 30분이나 늦었고 지점에 연락하니 배차가 늦었다고. .  비가오는 날이라 이해는 하나 너무 늦었고 치킨은 다 식었습니다.
항상 주문하는 곳이라 믿고 먹지만 
너무 늦은 부분은 수정이 되야 하지 않을까요?
비가 오는날이 아니였음 치킨 클레임 각입니다.",4,4,1
2024년 3월 17일,크크크치킨/1,맛있게잘먹었습니다.,5,5,5
2024년 3월 11일,"후라이드/1,호랑이치킨/1,코카-콜라1.25L/1",맛있게 잘먹었습니다,4,4,5
2024년 3월 8일,"반마리＋반마리 선택/1(뼈반＋반선택1(new장스 반),뼈반＋반선택2(6초 반)),치킨 무/1",매우면서 맛있어요~,5,5,5
2024년 3월 7일,더매운고추치킨/1,더매운고추치킨 첨 시켜봤는데 맛있습니당,4,4,3
2024년 3월 1일,"반마리＋반마리 선택/1(뼈반＋반선택1(하하핫 반),뼈반＋반선택2(6초 반))",양념이 맛있어요^^,5,5,5
2024년 2월 11일,후라이드/1,Good~~~~~~~~~,5,3,5
2024년 2월 10일,"반마리＋반마리 선택/1(뼈반＋반선택1(호랑이 반),뼈반＋반선택2(new장스 반))",맛있게 잘 먹었는데 오늘은 양념이 별로 없어서 아쉬웠어요...ㅠㅠ,3,5,5
2024년 2월 8일,크크크치킨/1(음료선택(코카콜라1.25L)),"아이가 좋아해서 종봉 주문해서 먹는데 오늘은 특히 맛있네요 정말 바삭해요 와삭와삭 소리가 asmr 처럼 나서 먹방이 찍는것같아요 ㅎㅎ 

먹는데 정신팔려 거의 다 먹어갈때 사진 찍었어요
배달도 따끈할때 받아서 맛있게 먹었습니다~",5,5,5
2024년 2월 2일,"반마리＋반마리 선택/1(뼈반＋반선택1(호랑이 반),뼈반＋반선택2(new장스 반))",배달도 빠르고 맛있어요 ^^,5,5,5
2024년 1월 31일,크크크치킨/1,친절하고 맛있어요,5,5,5
2024년 1월 29일,"반마리＋반마리 선택/1(뼈반＋반선택1(호랑이 반),뼈반＋반선택2(간지 반))",크크크 +간지 치킨 시킨다고 했는데 버튼이 잘못됐는지 호랑이가 왔어요 ㅠㅠ 맛은 진심 60계가 맛나는데 애들이 호랑이를 매워서 못먹네요 ㅠㅠㅠㅠ 맛있게 매운 호랑이 네요,5,5,5
2024년 1월 29일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살호랑이 반),순살반＋반선택2(순살양념 반))",진짜 맛있어요~~~~~~~~,5,5,5
2024년 1월 27일,크크크치킨/1,"맛잇게 만들어주셔서 잘먹엇어요
감사합니다",5,5,5
2024년 1월 23일,윙봉24세트/1(윙봉선택(간지 윙봉)),"오늘따라 유난히 소스의 양과 맛이 딱!
평소에도 치킨은 간지죠!",5,5,5
2024년 1월 21일,간지콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),맛있어요 항상 ㄱㅅ합니다 ^^,5,5,5
2024년 1월 15일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),윙 15조각/1(윙선택(간지 윙 15조각)),쫀득치즈볼（5개）/1",😀😀😀😀😀😀😀😀😀😀,5,5,5
2024년 1월 15일,"윙 15조각/1(윙선택(후라이드 윙15조각)),봉 15조각/1(봉선택(후라이드 봉15조각))",너무너무   맛있어용,5,4,5
2024년 1월 13일,"간지치킨/1(음료선택(콜라 1.25L 사이즈 업)),웨지감자/1,쫀득치즈볼（5개）/1",간지치킨 진짜 맛있어요!,5,5,5
2024년 1월 13일,"크크크치킨/1,아~매워!소스/1",크크크치킨 양념 소스도 넘 맛있고 완전 바삭바삭하게 튀겨주셨네요 잘 먹었습니다!,5,5,5
