No,region,store,dates,order_items,순살여부,,전처리,전처리_결과_1,전처리_결과_2,전처리_결과_3,전처리_결과_4,전처리_결과_5,전처리_결과_6
1099,BBQ치킨,남가좌점,5일 전,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,（요기요콤보)를 공백처리,황금올리브치킨,,,,,
1100,BBQ치킨,남가좌점,2024년 04월 14일,"BBQ 양념치킨/1(한마리 부분육 선택(순살 변경 （다리살 30%,가슴살 70%）))",순살,,/'로 구분및 수량 삭제,양념치킨,,,,,
1101,BBQ치킨,남가좌점,2024년 04월 10일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,tm 은 공백,황금올리브치킨,,,,,
1102,BBQ치킨,남가좌점,2024년 03월 31일,황금올리브치킨™（콤보）/1,순살아님,,"1, 1, 삭제",황금올리브치킨（콤보）,,,,,
1103,BBQ치킨,남가좌점,2024년 03월 22일,"황금올리브치킨™/1(황올 부분육 선택(한마리)),BBQ 감자튀김/1",순살아님,,"음식 뒤에 ml, g 수치 모두 삭제",황금올리브치킨,감자튀김,,,,
1104,BBQ치킨,남가좌점,2024년 03월 22일,황올 반＋매운양념 반/1(반반 부분육 선택（1）(한마리)),순살아님,,(소떡 맛 선택(매운양념맛)) 삭제,황올 반＋매운양념 반 ( 콤보 ),,,,,
1105,BBQ치킨,남가좌점,2024년 03월 20일,"황올 반＋BBQ양념 반/1(황올 부분육 선택(한마리)),콜라 1.25L/1",순살아님,,(소떡 맛 선택(양념맛)) 삭제,황올 반＋양념 반 ( 콤보 ),콜라,,,,
1106,BBQ치킨,남가좌점,2024년 03월 19일,"BBQ 양념치킨/1(한마리 부분육 선택(콤보 변경（닭다리4&윙5,봉5）))",순살아님,,(소떡 맛 선택(왕갈비맛)) 삭제 ,양념치킨,,,,,
1107,BBQ치킨,남가좌점,2024년 03월 19일,"황올 반＋매운양념 반/1(반반 부분육 선택（1）(순살 변경（다리살 30%, 가슴살 70%）))",순살,,BBQ양념치킨소스 삭제 ,황올 반＋매운양념 반( 콤보 ),,,,,
1108,BBQ치킨,남가좌점,2024년 03월 18일,자메이카 통다리구이/1,순살아님,,시크릿 양념소스（25g） 삭제,자메이카 통다리구이,,,,,
1109,BBQ치킨,남가좌점,2024년 03월 18일,"황금올리브치킨™/1(황올 부분육 선택(한마리),추가메뉴(BBQ양념치킨소스（25g）))",순살아님,,자메이카 소떡만나 소스（25g） 삭제,황금올리브치킨,,,,,
1110,BBQ치킨,남가좌점,2024년 03월 18일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,"(한마리 부분육 선택(순살 변경 （다리살 30%,가슴살 70%）)) 삭제 ",황금올리브치킨,,,,,
1111,BBQ치킨,남가좌점,2024년 03월 18일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,( ) 삭제,황금올리브치킨,,,,,
1112,BBQ치킨,남가좌점,2024년 03월 18일,"황금올리브치킨™레드착착 반마리/1,BBQ 소떡/1(소떡 맛 선택(양념맛)),BBQ 감자튀김/1",순살아님,,", 삭제",황금올리브치킨레드착착 , 소떡, 감자튀김,,,
1113,BBQ치킨,남가좌점,2024년 03월 18일,"황올 반＋블랙페퍼 반/1(반반 부분육 선택（1）(한마리),추가메뉴(BBQ양념치킨소스（25g）),추가메뉴(치킨무 추가))",순살아님,,추가메뉴,황올 반＋블랙페퍼 반( 콤보 ),,,,,
1114,BBQ치킨,남가좌점,2024년 03월 17일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,코카-콜라  -> 콜라,황금올리브치킨,,,,,
1115,BBQ치킨,남가좌점,2024년 03월 17일,"황금올리브치킨™（닭다리） 반마리/1,오징어튀김（3개）/1,생맥주 500cc/1",순살아님,,SET 삭제,황금올리브치킨닭다리 ,오징어튀김,생맥주 ,,,
1116,BBQ치킨,남가좌점,2024년 03월 16일,황올 반＋BBQ양념 반（콤보）/1,순살아님,,bbq 삭제,황올 반＋양념 반 ( 콤보 ),,,,,
1117,BBQ치킨,남가좌점,2024년 03월 16일,황올 반＋매운양념 반/1(반반 부분육 선택（1）(한마리)),순살아님,,양념소스 추가 삭제,황올 반＋매운양념 반,,,,,
1118,BBQ치킨,남가좌점,2024년 03월 16일,황올 반＋BBQ양념 반/1(황올 부분육 선택(한마리)),순살아님,,순살크래커 소스 삭제,황올 반＋양념 반 ( 콤보 ),,,,,
1119,BBQ치킨,남가좌점,2024년 03월 12일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,치즈맛 시즈닝 삭제,황금올리브치킨,,,,,
1120,BBQ치킨,남가좌점,2024년 03월 09일,황올 반＋BBQ양념 반/1(황올 부분육 선택(한마리)),순살아님,,극한왕갈비맛 삭제,황올 반＋양념 반 ( 콤보 ),,,,,
1121,BBQ치킨,남가좌점,2024년 03월 07일,황올 반＋BBQ양념 반/1(황올 부분육 선택(한마리)),순살아님,,롱치즈스틱 n개 -> 롱치즈스틱,황올 반＋양념 반 ( 콤보 ),,,,,
1122,BBQ치킨,남가좌점,2024년 03월 06일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,치킨무 추가 삭제,황금올리브치킨,,,,,
1123,BBQ치킨,남가좌점,2024년 02월 29일,자메이카 통다리구이/1,순살아님,,레드착착 시즈닝 삭제,자메이카 통다리구이,,,,,
1124,BBQ치킨,남가좌점,2024년 02월 26일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,비비소스 삭제,황금올리브치킨,,,,,
1125,BBQ치킨,남가좌점,2024년 02월 24일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,볼케이노핫소스 삭제,황금올리브치킨,,,,,
1126,BBQ치킨,남가좌점,2024년 02월 24일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,볼케이노핫소스_한팩 삭제,황금올리브치킨,,,,,
1127,BBQ치킨,남가좌점,2024년 02월 23일,황올 반＋BBQ양념 반（콤보）/1,순살아님,,매운양념 삭제,황올 반＋양념 반 ( 콤보),,,,,
1128,BBQ치킨,남가좌점,2024년 02월 11일,크런치 순살크래커/1,순살,,블랙페퍼 시즈닝 삭제,크런치 크래커,,,,,
1129,BBQ치킨,남가좌점,2024년 02월 09일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,새우스틱 n개->새우스틱,황금올리브치킨,,,,,
1130,BBQ치킨,남가좌점,2024년 02월 09일,"황금올리브치킨™（콤보）/1,스파클링 레몬보이 500ml/4",순살아님,,쉐킷시즈닝추가치즈맛 삭제,황금올리브치킨（콤보）,스파클링,,,,
1131,BBQ치킨,남가좌점,2024년 02월 05일,황올 반＋BBQ양념 반/1(황올 부분육 선택(한마리)),순살아님,,스파클링 레몬보이 -> 스파클링,황올 반＋양념 반 ( 콤보 ),,,,,
1132,BBQ치킨,남가좌점,2024년 02월 05일,황올 반＋BBQ양념 반/1(황올 부분육 선택(한마리)),순살아님,,,황올 반＋양념 반 ( 콤보 ),,,,,
1133,BBQ치킨,남가좌점,2024년 01월 31일,"크런치 순살크래커 반반/1,BBQ 소떡/1(소떡 맛 선택(양념맛))",순살,,,크런치 크래커 반반, 소떡,,,,
1134,BBQ치킨,남가좌점,2024년 01월 29일,황금올리브치킨™（닭다리）/1,순살아님,,,황금올리브치킨,,,,,
1135,BBQ치킨,남가좌점,2024년 01월 28일,황올 반＋BBQ양념 반/1(황올 부분육 선택(윙&봉 변경)),순살아님,,,황올 반＋양념 반 ( 콤보 ),,,,,
1136,BBQ치킨,남가좌점,2024년 01월 28일,"황금올리브치킨™/1(황올 부분육 선택(한마리),추가메뉴(BBQ양념치킨소스（25g）))",순살아님,,,황금올리브치킨,,,,,
1137,BBQ치킨,남가좌점,2024년 01월 27일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,,황금올리브치킨,,,,,
1138,BBQ치킨,남가좌점,2024년 01월 22일,황올 반＋BBQ양념 반（콤보）/1,순살아님,,,황올 반＋양념 반 ( 콤보 ),,,,,
1139,BBQ치킨,남가좌점,2024년 01월 20일,"BBQ 양념치킨/1(한마리 부분육 선택(순살 변경 （다리살 30%,가슴살 70%）)),스모크치킨 반마리/1",순살,,,양념치킨,스모크치킨 ,,,,
1140,BBQ치킨,남가좌점,2024년 01월 17일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,,황금올리브치킨,,,,,
1141,BBQ치킨,남가좌점,2024년 01월 12일,황금올리브치킨™블랙페퍼/1(한마리 부분육 선택(한마리)),순살아님,,,황금올리브치킨블랙페퍼,,,,,
1142,BBQ치킨,남가좌점,2024년 01월 11일,황올 반＋BBQ양념 반/1(황올 부분육 선택(한마리)),순살아님,,,황올 반＋양념 반 ( 콤보 ),,,,,
1143,BBQ치킨,남가좌점,2023년 12월 28일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,,황금올리브치킨,,,,,
1144,BBQ치킨,남가좌점,2023년 12월 10일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,,황금올리브치킨,,,,,
1145,BBQ치킨,남가좌점,2023년 12월 01일,황올 반＋BBQ양념 반/1(황올 부분육 선택(한마리)),순살아님,,,황올 반＋양념 반 ( 콤보 ),,,,,
1146,BBQ치킨,남가좌점,2023년 11월 27일,자메이카 소떡만나치킨（콤보）/1,순살아님,,,자메이카 소떡만나치킨（콤보）,,,,,
1147,BBQ치킨,남가좌점,2023년 11월 24일,"황올 반＋BBQ양념 반/1(황올 부분육 선택(한마리),추가메뉴(콜라 1.25L))",순살아님,,,황올 반＋양념 반 ( 콤보 ),콜라,,,,
1148,BBQ치킨,남가좌점,2023년 11월 23일,황올 반＋BBQ양념 반/1(황올 부분육 선택(한마리)),순살아님,,,황올 반＋양념 반 ( 콤보 ),,,,,
1149,BBQ치킨,남가좌점,2023년 11월 21일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,,황금올리브치킨,,,,,
1150,BBQ치킨,남가좌점,2023년 11월 21일,"BBQ 양념치킨/1(한마리 부분육 선택(콤보 변경（닭다리4&윙5,봉5）))",순살아님,,,양념치킨,,,,,
1151,BBQ치킨,남가좌점,2023년 11월 08일,자메이카 통다리구이/2,순살아님,,,자메이카 통다리구이,,,,,
1152,BBQ치킨,남가좌점,2023년 11월 03일,황올 반＋BBQ양념 반（닭다리）/1,순살아님,,,황올 반＋양념 반 ( 콤보 ),,,,,
1153,BBQ치킨,남가좌점,2023년 09월 24일,황금올리브치킨™/1,순살아님,,,황금올리브치킨,,,,,
1154,BBQ치킨,남가좌점,2023년 09월 19일,황금올리브치킨™（콤보）/1,순살아님,,,황금올리브치킨（콤보）,,,,,
