No,region,store,dates,order_items,reviews,taste_score,quantity_score,delivery_score,,order_세분화1,order_세분화2,order_세분화3,order_세분화4,order_세분화5,order_세분화6,order_세분화7,order_세분화8,,순살 여부
32066,교촌치킨,독립문점,2024년 04월 13일,허니콤보/1,너무 맛있습니다,5,5,0,,허니콤보,,,,,,,,,X
32067,교촌치킨,독립문점,2024년 04월 12일,허니콤보/2,바삭하고 달달하고 맛나요,5,5,0,,허니콤보,,,,,,,,,X
32068,교촌치킨,독립문점,2024년 04월 12일,[기간한정] 반반점보윙(교촌/레드)+웨지감자 세트/1,감사합니다 맛있게 잘먹었습니다,5,5,0,,반반점보윙, 사이드,,,,,,,,X
32069,교촌치킨,독립문점,2024년 04월 11일,레블반반콤보/1,블랙시크릿콤보 먹고 싶어서 시켰어요! 생각보다 안 짜서 손이 계속 가더라구요. 개인적으로는 블랙시크릿이랑 허니콤보 반반도 있으면 좋을 것 같아요!!!,5,5,0,,레블반반콤보, 반반콤보,,,,,,,,X
32070,교촌치킨,독립문점,2024년 04월 07일,반반오리지날（한마리）/1,"맛있게 잘먹었습니다 
양념맛이 살짝바뀐거 같은데 맞나요??",5,5,0,,반반오리지날,,,,,,,,,X
32071,교촌치킨,독립문점,2024년 04월 06일,반반콤보/1,조금 덜 짜면 입맛에 맞을 것 같아요.,5,5,0,,반반콤보,,,,,,,,,X
32072,교촌치킨,독립문점,2024년 04월 02일,허니콤보/1,맛있게 잘 먹었습니다 감사합니다,5,5,5,,허니콤보,,,,,,,,,X
32073,교촌치킨,독립문점,2024년 03월 26일,[기간한정] 반반점보윙(교촌/레드)+웨지감자 세트/1,감사합니다 맛있게 잘먹었습니다!,5,5,5,,반반점보윙, 사이드,,,,,,,,X
32074,교촌치킨,독립문점,2024년 03월 22일,허니오리지날（한마리）/1(사이드메뉴(웨지감자)),역시 치킨은 교촌이죠ㅎㅎ,5,5,5,,허니오리지날, 사이드,,,,,,,,X
32075,교촌치킨,독립문점,2024년 03월 15일,허니오리지날（한마리）/1,"역시 교촌이 최고입니다♡
계속 생각나는맛 독립문점 감사합니다",5,5,5,,허니오리지날,,,,,,,,,X
32076,교촌치킨,독립문점,2024년 03월 10일,허니콤보/1,맛있게 잘 먹었습니다 감사합니다,5,5,5,,허니콤보,,,,,,,,,X
