단어,불용어,dff
맛있게,,맛있다
잘,y,
너무,,너무
맛있어요,,맛있다
치킨,,치킨
배달도,,배달
먹었습니다,,먹다
또,,
좀,y,
진짜,,
정말,,
처음,,처음
더,y,
항상,,
60계,,60계치킨
빠르고,,빠른
양도,,양
잘먹었습니다,,먹다
배달,,배달
넘,y,
맛있네요,,맛있다
역시,,역시
먹었습니다.,,먹다
바삭하고,,바삭
다,y,
많이,,많은
치킨은,,치킨
먹었어요,,먹다
배달이,,배달
ㅎㅎ,,Good
맛있어요.,,맛있다
맛있고,,맛있다
맛도,,맛있다
맛은,,맛있다
감사합니다,,감사
맛이,,맛있다
크크크,,크크크치킨
먹고,,먹다
좋아요,,Good
엄청,,
조금,,
맛있어서,,맛있다
많고,,많은
양이,,양
시켰는데,,주문
고추치킨,,고추치킨
치킨이,,치킨
맛있었어요,,맛있다
맛나게,,맛있다
간지치킨,,간지치킨
먹어봤는데,,먹다
늘,,
맛있어요!,,맛있다
맛,,맛있다
후라이드,,후라이드치킨
근데,y,
다음에,,다음에
완전,,
맛나요,,맛있다
자주,,
60계치킨,,60계치킨
다른,y,
아주,,
그래도,y,
생각보다,,
맛있습니다,,맛있다
그냥,y,
아이들이,,아이
먹었는데,,먹다
호랑이,,호랑이치킨
맛있어요~,,맛있다
같이,y,
빨리,,빠른
시켜,,주문
맛있는,,맛있다
양념이,,양념
배달은,,배달
오랜만에,,
것,y,
호랑이치킨,,호랑이치킨
치즈볼도,,치즈볼
바삭바삭,,바삭
ㅠㅠ,,Bad
먹었습니다~,,먹다
치킨도,,치킨
^^,,Good
시켜봤는데,,주문
같아요,y,
잘먹었습니다.,,먹다
먹는,,먹다
소스가,,소스
맛있어요!!,,맛있다
아이가,,아이
잘먹었어요,,먹다
맛있네요.,,맛있다
제일,,제일
주문했는데,,주문
안,y,
있어서,y,
오늘은,,오늘
살짝,y,
소스도,,소스
오늘,,오늘
않고,y,
ㅋㅋㅋ,y,
오늘도,,오늘
첨,,처음
약간,,
딱,,
먹다가,,먹다
먹어도,,먹다
간지,,간지치킨
크크크치킨,,크크크치킨
와서,y,
먹었습니다!,,먹다
계속,,
ㅎ,,Good
너무너무,,너무
언제나,,
맛있습니다.,,맛있다
제,y,
후라이드는,,후라이드치킨
사진을,,사진
그리고,y,
좋았어요,,Good
양,,양
치킨을,,치킨
먹었어요.,,먹다
맛있다고,,맛있다
식어서,,
감자도,,감자
믿고,,
특히,,
해서,y,
소스,,소스
60계는,,60계치킨
고추치킨은,,고추치킨
좋아하는,,Good
요즘,,
감사합니다.,,감사
예상시간보다,,시간
양념,,양념
꼭,y,
바삭하니,,바삭
다시,,
못,y,
그런지,y,
따뜻하게,,따뜻
맛있는데,,맛있다
닭이,,닭
했는데,y,
많아서,,많은
ㅋㅋ,y,
감자가,,감자
수,y,
다음엔,,다음에
먹어보는데,,먹다
:),,Good
고추,,고추치킨
ㅠ,,Bad
원래,y,
제가,y,
양은,,양
사진은,,사진
주문,,주문
좋고,,Good
치즈볼,,치즈볼
매번,,
순살,,순살치킨
다음에도,,다음에
애들이,,아이
양념도,,양념
먹기,,먹다
배송도,,배달
기름이,,기름
맛있었어요.,,맛있다
ㅋ,y,
먹었어요~,,먹다
저는,y,
왜,y,
먹을,,먹다
깔끔하고,,깔끔
좋네요,,Good
덜,,
굿,,Good
고추치킨이,,고추치킨
리뷰,,리뷰
빠르게,,빠른
있어요,y,
바삭한,,바삭
먹는데,,먹다
주셔서,y,
좋아해서,,Good
사장님,y,
빠른,,빠른
맛있어요~~,,맛있다
~,y,
최고,,Good
튀김옷이,,튀김
맛있었어요!,,맛있다
앞으로,,
거,y,
반반,,반반치킨
후라이드가,,후라이드치킨
배달빠르고,,배달
이,y,
맛있었습니다,,맛있다
담에,,다음에
맛있네요~,,맛있다
모두,y,
먹었네요,,먹다
1시간,,시간
적당히,y,
먹으니,,먹다
ㅜㅜ,y,
서비스로,,서비스
서비스,,서비스
매운,,매콤
다음에는,,다음에
이렇게,y,
맛잇게,,맛있다
후라이드도,,후라이드치킨
짱,,Good
사진,,사진
거의,y,
하지만,y,
ㅎㅎㅎ,,Good
좋아요.,,Good
왔어요,y,
맛있어용,,맛있다
먹어요,,먹다
먹느라,,먹다
빨라서,,빠른
간지치킨은,,간지치킨
맛있네요!,,맛있다
참,y,
있는,y,
바삭,,바삭
한,y,
같아요.,y,
주신,y,
굿굿,,Good
바로,y,
맛있어요^^,,맛있다
여기,y,
주문해서,,주문
역시나,,역시
!,y,
먹은,,먹다
먹어서,,먹다
그런데,y,
먹으면,,먹다
이제,,
별로,,
치킨에,,치킨
맛잇어요,,맛있다
좋아해요,,Good
맛나네요,,맛있다
젤,,제일
바삭바삭하고,,바삭
다만,y,
맛있음,,맛있다
하고,y,
감자,,감자
.,y,
없어서,y,
??,,Good
번창하세요,,
깨끗한,,깔끔
바삭해서,,바삭
웨지감자도,,감자
그,y,
맛있었습니다.,,맛있다
전,y,
담엔,,다음에
오래,,
이번엔,,이번에
매콤하고,,매콤
먹어보고,,먹다
맛있어요!!!,,맛있다
잘먹었습니다~,,먹다
빨리와서,,빠른
!!,y,
있는데,y,
60계치킨은,,60계치킨
있습니다,y,
시켜먹었는데,,주문
그래서,y,
한번,,
닭,,닭
시켜서,,주문
여기서,y,
웨지감자,,감자
간이,y,
맛있었어요~,,맛있다
언제,y,
양도많고,,푸짐
매운거,,매콤
와,y,
따로,y,
좋았습니다,,Good
않아서,y,
보고,y,
~~,y,
한시간,,시간
늦게,,
이건,y,
만족합니다,,Good
서비스도,,서비스
마요네즈,,
양념은,,양념
먹었습니다^^,,먹다
넘넘,,너무
기름,,기름
매콤하니,,매콤
먹었습니다~~,,먹다
고소하고,,
바삭하게,,바삭
둘다,,
먹었습니다!!,,먹다
시켜먹는데,,주문
훨씬,y,
잘먹었습니다!,,먹다
없이,y,
함께,y,
아쉽네요,,Bad
오고,y,
있고,y,
부드럽고,,
비해,y,
고추가,,고추치킨
깨끗하고,,깔끔
먹어본,,먹다
