"동별(1)","항목",2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","항목",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"합계","계",9655918,220964,310468,361253,390134,607352,843252,801275,674439,754830,706800,814559,714371,730420,606658,417635,318066,228182,108880,36421,8417,1542,9638799,218060,306295,359209,388426,601307,838877,802933,671858,755258,698227,812501,722599,719553,615216,419397,322211,229238,110645,36922,8583,1484
"합계","한국인",9407540,216208,304631,356903,382203,563540,804892,776485,652087,736722,691790,795906,693973,716791,600380,415201,317262,227772,108614,36306,8369,1505,9386034,213014,300548,355014,378197,555058,800753,777975,649430,737027,683046,793687,701870,706835,609103,417048,321421,228831,110383,36809,8537,1448
"합계","등록외국인",248378,4756,5837,4350,7931,43812,38360,24790,22352,18108,15010,18653,20398,13629,6278,2434,804,410,266,115,48,37,252765,5046,5747,4195,10229,46249,38124,24958,22428,18231,15181,18814,20729,12718,6113,2349,790,407,262,113,46,36
"종로구","계",151127,2556,3880,4783,5803,12793,14590,11692,9274,10415,10152,12974,11837,11768,9375,6277,5300,4373,2286,760,200,39,150453,2543,3791,4734,5790,12649,14520,11751,9166,10461,9899,12892,11891,11602,9511,6277,5309,4342,2324,764,202,35
"종로구","한국인",139945,2370,3658,4569,5314,9259,12394,10793,8531,9711,9636,12467,11441,11476,9209,6213,5274,4359,2277,756,199,39,139417,2342,3577,4540,5199,9113,12383,10882,8440,9783,9411,12414,11501,11332,9357,6218,5285,4328,2316,760,201,35
"종로구","등록외국인",11182,186,222,214,489,3534,2196,899,743,704,516,507,396,292,166,64,26,14,9,4,1,0,11036,201,214,194,591,3536,2137,869,726,678,488,478,390,270,154,59,24,14,8,4,1,-
"중구","계",131825,2934,3312,3151,3692,8674,12609,12563,10195,9807,8455,10463,9942,10291,8655,5875,4724,3699,1879,695,182,28,131793,2924,3219,3144,3711,8736,12677,12622,10231,9828,8302,10365,9962,10152,8781,5874,4754,3693,1908,709,172,29
"중구","한국인",121405,2711,3023,2880,3348,6839,10735,11471,9252,9072,7789,9802,9309,9865,8425,5755,4696,3672,1863,690,182,26,121312,2687,2943,2898,3258,6727,10810,11558,9306,9104,7665,9725,9343,9763,8570,5766,4725,3669,1892,704,172,27
"중구","등록외국인",10420,223,289,271,344,1835,1874,1092,943,735,666,661,633,426,230,120,28,27,16,5,0,2,10481,237,276,246,453,2009,1867,1064,925,724,637,640,619,389,211,108,29,24,16,5,-,2
"용산구","계",230692,5670,6920,7219,7880,12884,20227,22656,18790,18630,16196,19635,17051,16962,13513,8876,7075,5760,3272,1154,260,62,227106,5605,6736,7034,7757,12618,19875,22423,18502,18391,15748,19218,16882,16570,13488,8782,7042,5672,3284,1152,267,60
"용산구","한국인",216152,5176,6174,6511,7336,11920,18812,20933,16921,16931,14860,18533,16220,16418,13233,8729,6998,5721,3259,1151,258,58,213151,5068,6021,6394,7226,11634,18469,20723,16687,16789,14499,18203,16114,16085,13241,8650,6972,5633,3272,1150,265,56
"용산구","등록외국인",14540,494,746,708,544,964,1415,1723,1869,1699,1336,1102,831,544,280,147,77,39,13,3,2,4,13955,537,715,640,531,984,1406,1700,1815,1602,1249,1015,768,485,247,132,70,39,12,2,2,4
"성동구","계",285543,8139,9252,8522,10022,19128,25596,24544,22240,22615,19386,23635,21545,21931,17122,11318,9005,6899,3361,1013,220,50,284766,7972,9135,8410,9906,19102,25407,24660,22239,22558,19071,23558,21719,21567,17347,11410,9073,6899,3429,1038,217,49
"성동구","한국인",278366,8022,9156,8453,9697,17268,24109,23826,21721,22219,19076,23249,21102,21687,17007,11259,8990,6892,3357,1011,220,45,277361,7856,9037,8340,9511,17016,23963,23946,21718,22162,18764,23174,21275,21339,17239,11350,9057,6892,3425,1036,217,44
"성동구","등록외국인",7177,117,96,69,325,1860,1487,718,519,396,310,386,443,244,115,59,15,7,4,2,0,5,7405,116,98,70,395,2086,1444,714,521,396,307,384,444,228,108,60,16,7,4,2,-,5
