dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 04월 20일,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(후라이드)),미니쫀득볼(10조각)/1",항상 맛있게 잘먹고 있습니다!,5,5,0
2024년 04월 20일,"순살 양념치킨/1,순살 간지치킨/1",늘 너무 맛나게 먹고 있습니다.,5,5,0
2024년 04월 19일,후라이드치킨/1,맛있어요 추천해요 또살께요 최고예요 푸짐해요,5,5,0
2024년 04월 17일,순살 크크크치킨/1(사이드메뉴 추가(호랑이치즈볼(5조각))),"양이 많아요. 정말 바삭하네요
매운거 못먹는 초등 아이가 좋아해요
치즈볼3개도 팔았으면 좋겠어요.
둘이 치킨에 치즈볼 5개는 너무많네요
치즈볼이 뿌*클 양념같네요",5,5,0
2024년 04월 14일,크크크치킨/1,바삭바삭하고 맛있네요!,5,5,0
2024년 04월 10일,순살후라이드/1,"깨끗한 기름에 튀긴거같아 늘 여기서 시켜요. 
아이들의 사랑 순살후라이드",5,5,0
2024년 04월 05일,후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),완전 신선하고 맛있어요.,5,5,0
2024년 04월 05일,순살간지 치킨/1,너므 맛있어서 폭풍흡입하다가 겨우 사진 찍었습니다. 튀긴 정도가 최상이네요. 너무 좋아요,5,5,0
2024년 04월 04일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),"너무 맛있어요 
양도 딱 좋고 배달 속도 짱이에요",5,5,0
2024년 03월 31일,new장스치킨/1,"생전 치킨이 이 속도에 도착한건 처음임
근데 어떻게 이렇개 맛있는거죠 ㄷㄷㄷㄷ 
바삭촉촉 작살나는 퀄리티ㅇㅈ",5,5,5
2024년 03월 29일,"후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),호랑이치즈볼（5개）/1",아들이 시험 잘 봤다고 치킨 사 달라고 해서 맛있게 잘 먹었습니다.,5,5,5
2024년 03월 29일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",단골입니다. 코카콜라 500ml도 오고 치즈볼도 서비스로 와서 좋습니다!,5,5,5
2024년 03월 27일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",맛있었지만 감자가 좀 줄었네요ㅠ,5,5,5
2024년 03월 24일,크크크치킨/1,배달도 빠르고   밋있네요,5,5,5
2024년 03월 22일,크크크치킨/1,"크크크 치킨은 치킨이 끝까지 바삭하고 소스가 세개라 너무 맛있습니다. 맨날 간지치킨만 먹었는데 완전 반했어요.
강추합니다.",5,5,5
2024년 03월 09일,크크크치킨/1,60계치킨은 늘 짱입니다 👍 잘먹었습니다,5,5,5
2024년 03월 09일,간지치킨/1,"간지치킨 맛있게 잘 먹었습니다 
치즈볼도 맛있습니다",5,5,5
2024년 03월 07일,크크크치킨/1,신메뉴 맛이 궁금해서 주문해봤는데 바삭바삭함이 살아있네요! 소스도 3가지나 되서 골라먹는 재미가 있어요~ 리뷰이벤트로 주신 치즈볼도 맛있게 먹었습니다^^,5,5,5
2024년 03월 06일,순살 크크크치킨/1,배달도 빠르고 치즈볼 2개도 서비스로 주셨어요.  맛있게 먹었습니다.,5,5,5
