dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 04월 20일,윙봉 후라이드반+선택반/1(세트반마리선택(더매운고추 반)),오늘도 맛있게 잘 먹었습니다.,5,5,0
2024년 04월 18일,뼈 후라이드반+선택반/1(반마리선택(호랑이 반)),"어흥! 60계 네 이뇨속! 감히 이 산군님에게 뭘 먹인것이야?!

이 맛의 비결은 무엇이고 다른 먹잇감보다 이것만 떠올리게 만들었는지

그 술수에 대해서 들려주지 않는다면 내 너를 내 굴로 데려가서 100일동안 마늘과 쑥만 먹일것이야!",5,5,0
2024년 04월 16일,"간지치킨/1(사이드메뉴 추가(웨지감자)),생맥주 1,000cc/1",배달이 좀 늦었지만 맛있게 잘 먹었어요,5,5,0
2024년 04월 14일,"크크크치킨/1(소스,추가메뉴(핫크크크소스))",맛있어요. 아이들이 너무 좋아합니다,5,5,5
2024년 03월 31일,"윙 15조각/1(윙선택(후라이드 윙15조각)),윙 15조각/1(윙선택(더매운고추 윙 15조각))",오늘도 바삭하고 맛있네요. 잘 먹었습니다. 믿고 먹고싶을 때는 항상 60계 주문해서 먹어요.,5,5,5
2024년 03월 30일,크크크치킨/1,"ㅋㅋㅋ은 첨시켜봤는데 진짜 장난아니게 맛있네요 빠삭하고
소스에 궁합이 장난 아니네요
애랑 정신없이 시합하듯 먹었네요
또 올께요",5,5,5
2024년 03월 27일,크크크치킨/1,"아이가 크크크에 푹 빠졌어요 엄청 바삭하고
정신없이 먹다보니 다 먹은 사진이네요 민망 ㅎㅎ
리뷰이벤트로 온 치즈스틱도 주욱 늘어나니까 너무 좋아했어요
그만큼 배달도 빨랐어요 따뜻하고 맛있는 치킨 먹게 해 주셔서 감사합니다",5,5,5
2024년 03월 25일,"크크크치킨/1,떡볶이/1,쫀득치즈볼（5개）/1","맛있게 잘 먹었어요 
역시 크크크~^^
또 주문 할께요",5,5,5
2024년 03월 24일,크크크치킨/1(음료선택(코카콜라500ml)),정말맛있었어요  닭냄새도안 나고  냄새땜에잘못먹는데  너무맛있게 잘먹었 습니다  번창하세요,5,5,5
2024년 03월 18일,크크크치킨/1,언제 먹어도 맛있는 크크크 ^^,5,5,5
2024년 03월 18일,"순살 호랑이치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),웨지감자/1",맛있게 잘먹었습니다,5,5,5
2024년 03월 17일,"순살 호랑이치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),환타 355ml/1,호랑이치즈볼（5개）/1",너무맛있고 좋았어요,5,5,5
2024년 03월 17일,순살 크크크치킨/1,ㅁ ㅏ싯어요 ㅎ ㅎ ㅎ ㅎ,5,5,5
