dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 04월 22일,"고추치킨/1,크랑이치킨/1",너무 맛있어요~~!,5,5,0
2024년 04월 15일,"순살 크크크치킨/1,순살 간지치킨/1,호랑이웨지감자/1","리뷰이벤트 한다고 했는대 안줬어요.ㅠㅅㅠ
그래도 맛있었어서 5점이요",5,5,0
2024년 03월 23일,"콤보 반＋콤보 반 선택/1(콤보반＋반 선택1(호랑이콤보 반),콤보반＋반 선택2(양념콤보 반))",잘먹었습니다. 자주자주 주문 하겠습니다.,5,5,5
2024년 03월 22일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(고추윙봉 반),윙봉반＋반 선택2(간지윙봉 반))","최애 고추치킨만 시키다가 간지치킨도 함께 주문해봤어요!! 
둘 다 맛있게 잘 먹었습니다!!",5,5,5
2024년 03월 21일,"콤보 반＋콤보 반 선택/1(콤보반＋반 선택1(간지콤보 반),콤보반＋반 선택2(고추콤보 반))",맛있어요~~~~~~~~~~~콤보는 좀 비싸긴함,5,5,0
2024년 03월 21일,크크크치킨/1,60계가 제 입맛에는 제일 맛있어요. 오늘 치킨 땡기는 날이라 포장주문 해 왔어요. 찬바람 뚫고 치킨 냄새 품기며 길거리를 걸었네요. 크크크치킨 바삭하고 맛나요,5,5,0
2024년 02월 22일,윙봉24세트/1(윙봉선택(고추 윙봉)),"저의 원픽 고추치킨!!!!
항상 맛있게 먹고 있어요~~",5,5,3
2024년 02월 16일,크크크치킨/1,바삭한 상태로 배달이 왔고 특히 마늘소스 최고에요😁,5,5,5
2024년 02월 13일,"후라이드/1,쫀득치즈볼（5개）/1",항상 맛있게 먹고 있습니다,5,5,0
2024년 02월 03일,크크크치킨/1,맛있습니다! 바삭바삭하고 눅눅한 부분이 없어서 좋아요. 기름진 느낌?이 싫어서 치킨 잘 안 먹는데 여기는 그런거 없고 소스도 맛있어요!,5,5,0
2024년 01월 19일,"크크크치킨/1,봉 15조각/1(봉선택(후라이드 봉15조각))",크크크 치킨 맛나네요. 재주문각,4,4,4
2024년 01월 15일,떡볶이 엔 순살/1(순살선택(후라이드 순살)),항상 잘 먹고 있어요♡ 최애 조합 떡볶이랑 순살후라이드!,5,5,5
2024년 01월 14일,크크크치킨/1,"조리도 빠르고 맛나게 먹었어요
다음에 또 시켜볼게요 ㅎㅎ",5,5,0
2024년 01월 07일,"순살 크크크치킨/1,떡볶이/1",맛있게 잘 먹었습니다~,5,5,0
2024년 01월 04일,떡볶이 엔 순살/1(순살선택(후라이드 순살)),요 조합 가장 사랑합니다 근데 배달이 늦어서 넘 배고팠어요,5,5,2
2023년 12월 30일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반),음료변경(코카콜라 제로1.25L 사이즈 업))",양이 좀 작은 듲 하지만 후라이드는 고소하고 맛있어요,5,5,5
2023년 12월 26일,"후라이드 순살 반＋순살 반 선택/1(순살반마리선택(간지순살 반)),떡볶이/1","7시넘어 시키니 배달이 좀 늦어지긴했지만 
여전히 맛있어요 떡볶이홀릭입니다!",5,5,4
2023년 12월 20일,"떡볶이 엔 순살/1(순살선택(후라이드 순살)),웨지감자/1",떡볶이랑 치킨 조합 넘나 중독적입니다😍,5,5,5
2023년 12월 17일,"순살 크크크치킨/1,떡볶이/1",우리동네 60계생겨서 넘 좋아요♡ 잘먹을께요!!,5,5,5
2023년 12월 16일,"순살 크크크치킨/1,라이스치즈스틱（5개）/1","역시 60계치킨이네요
너무 맛있어요",5,5,0
2023년 12월 09일,"후라이드 반＋반마리선택/1(반마리선택(고추치킨 반),음료변경(코카콜라 제로1.25L 사이즈 업))",늘 먹던거지만 오늘도 맛있네요^^,5,5,0
2023년 12월 06일,"후라이드/1,콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),다리 6조각/1(다리선택(후라이드 다리6조각)),크크크소스/1,치킨 무/1,양념소스/2",상품이 조금 아쉬워요.,2,4,4
2023년 11월 24일,"크크크치킨/1,크크크소스/1","우리 아이들의 최애 치킨이에요!
치킨도 맛있거, 소스도 맛있어요^^",5,5,5
