dates,order_items,reviews,taste_score,quantity_score,delivery_score
어제,순살 크크크치킨/1,배달도 빠르고 바삭바삭 맛있게 잘 먹었습니다,5,5,0
어제,크랑이치킨/1,"크랑이 치킨 궁금해서 주문해봤어요
기름기 없이 깔끔하고 완전 바삭해요
달콤 짭짤하니 맛있네요",5,5,0
어제,크크크치킨/1,"너무 맛있어요.
ㅋㅋㅋ 치킨은 진짜 최고!
배달도빠르고  따끈하고 
즐거운 저녁식사 했어요!",5,5,0
어제,순살 후라이드반+선택반/1(반마리선택(호랑이 반)),맛있게 잘먹었습니다! 바삭하고 좋아요,5,5,0
어제,순살 크크크치킨/1,"따뜻
바삭
맛나요~~",5,5,0
2일 전,"크랑이치킨/1(소스,추가메뉴(치킨 무),소스,추가메뉴(크크크소스))",양 많고 맛 좋고~ 너무 맛나게 잘 먹었습니다.,5,5,0
4일 전,고추치킨/1(음료업그레이드(스프라이트 500ml 사이즈 업)),무료 배송 감사합니다. 맛있어요!,5,5,0
4일 전,크크크치킨/1,"제가 요즘 ㅋㅋㅋ 치킨에 빠져있어서
맛있게 먹었어요
바삭바삭 해서 딱 제 취향이예요",5,5,0
2024년 4월 12일,후라이드치킨/1,맛나오ㅡ~~~잘먹을께요^;^,5,5,0
2024년 4월 11일,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(후라이드))",아이들니 항상 맛있게 먹고 있습니다.,5,5,0
2024년 4월 10일,"고추치킨/1,웨지감자/1","항상 믿고 먹는 고추치킨!!!넘 맛있게 잘 먹었습니다~
치즈볼도 잘 먹었습니다!!",5,5,0
2024년 4월 10일,고추치킨/1,맛있어요 따뜻하게와서 아주 만족합니다 많이 파세요~,5,5,0
2024년 4월 7일,고추치킨/1,항상 맛있게 먹고 있어요 굿굿!!,5,5,0
2024년 4월 7일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),스프라이트1.5L/1","뜨끈뜨끈 정말 
맛있어요",5,5,0
2024년 4월 6일,간지치킨/1,정말 총알배송이네요 덕분에 빨리 받아서 맛있게 먹었습니다,4,5,0
2024년 4월 5일,"봉 15조각/1(봉선택(고추 봉 15조각)),팝콘만두/1,마요네즈소스/1",배달빠르고 맛있어요,5,5,0
2024년 3월 31일,간지치킨/1,"잘받았습니다 
늦게왔지만",3,3,1
