dates,order_items,reviews,taste_score,quantity_score,delivery_score
18시간 전,"순살 선택반+선택반/1(반반맛선택 1(간지치킨 반),반반맛선택 2(고추치킨 반))",맛있게 잘 먹었습니다.,5,5,0
어제,"크크크치킨/1(소스,추가메뉴(아~매워!소스))","배달 예상시간은 40분인데
한시간 반걸렸어요
치킨이 미지근 한 정도도 아니고 다 식어있었습니다..",5,5,0
2일 전,양념치킨/1,오늘 치킨 아주 맛있게 잘 먹었습니다.,5,5,0
3일 전,"뼈 후라이드반+선택반/1(반마리선택(양념치킨 반),음료업그레이드(제로콜라 500ml 사이즈 업)),카스 생맥주 1,000cc/1",후라이드는 바삭하고 양념은 촉촉하고 부드러워요 맛있슴니당!,5,5,0
5일 전,"순살 선택반+선택반/1(반반맛선택 1(양념치킨 반),반반맛선택 2(고추치킨 반)),카스 생맥주 1,000cc/1",맛있게 잘 먹었습니다,4,4,0
2024년 4월 8일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보)),콘마요소스/1",맛있어요 ㅎㅎ 잘먹겠습니다!!,5,5,0
2024년 4월 7일,순살 크크크치킨/1,순살 크크크 쵝오!,5,5,0
2024년 4월 7일,"크크크치킨/1,떡볶이/1",크크크치킨과 떡볶이 맛있어요,5,5,0
2024년 4월 4일,"윙 15조각/1(윙선택(더매운고추 윙 15조각)),생맥주 1,000cc/2",역시 최고입니다. 맛있어요,5,5,0
2024년 3월 23일,더매운고추치킨/1,맛있게 잘 먹었습니다,5,5,5
2024년 3월 21일,"윙봉24세트/1(윙봉선택(후라이드 윙봉)),웨지감자/1",깔끔하게 튀겨진 맛에 먹기 딱 좋은 온도를 유지하여 배달이 되어 맛있게 잘 먹었어요..다음에도 시켜 먹어야겠어요...이사하고 첫 배달로 먹었는데 진심 만족합니다. 너무 급하게 먹다보니 사진은 못 찍었네요..ㅎ,5,5,5
2024년 3월 2일,고추치킨/1,촉촉하니 맛있습니다! 매장이 많아서 근처 여러군데 매장 다 먹어봣는데 정착할만하네요~,4,4,4
2024년 2월 26일,"순살 크크크치킨/1,코카-콜라1.25L/1,치킨 무/1","생각보다 많이 좋아요

많이 파세요",5,4,5
2024년 2월 22일,"봉 15조각/1(봉선택(더매운고추 봉 15조각)),생맥주 1,000cc/1",눈길에 배달하시는분 감사합니다 식긴했지만 넘 맛있어요 굳굳굳,5,5,5
2024년 2월 17일,"생맥주 1,000cc/1,윙 15조각/1(윙선택(더매운고추 윙 15조각))",찐맛 넘맛있어요. 최애입니다. 60계 처음인데 넘 맛나네요,5,5,5
2024년 2월 17일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",맛있게 잘 먹었습니다,5,5,5
