dates,order_items,reviews,taste_score,quantity_score,delivery_score
어제,순살 크크크치킨/1,"지금 먹고 있어요
더 바삭바삭 했으면 좋겠어요^^
잘먹을게요",5,5,0
2일 전,하하핫치킨/1,양념이 골고루 안 묻혀 있어요 ㅠ 조금 짜고 달고 맛있게 매워서 맛있어요~~,5,4,0
3일 전,하하핫치킨/1,기대만큼 맛있었네요.,5,5,0
6일 전,"크크크치킨/1(소스,추가메뉴(치킨 무))","순살로 시킨다는걸 깜빡하고 뼈로 시켰어요
먹긴 먹는데
기름이 줄줄 나와요.기름이 너무…ㅠㅠ",5,5,0
6일 전,후라이드치킨/1,"역쉬 60계 겉바속촉 이것이 치킨이죠.
크크크 소스 맛있어요.
가격이 또오르지는 않겠죠..",5,5,0
2024년 4월 9일,"후라이드치킨/1(사이드메뉴 추가(떡볶이),음료업그레이드(콜라 1.25L 사이즈 업))","60계 치킨 후라이드시켰는데 
뜨근뜨근 바사삭 ~~ 정말 맛있어요
간간이 들어간 서비스 감자튀김도 너무 맛있네요....어느새 반쯤 먹어버려
사진은 못 찍었네요",5,5,0
2024년 3월 30일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",맛있게 잘 먹었습니다.,5,5,5
2024년 3월 29일,크크크치킨/1,"양도 푸짐하고 아주 바삭하고 맛있어요.
배달시간도 예상시간에 맞춰 잘 받았어요.",5,5,5
2024년 3월 24일,"크크크소스/1,참이슬/1,코카-콜라500ml/2,봉 15조각/1(봉선택(후라이드 봉15조각))",크크소스가검나게좋네요 ㅋ ㅋ,5,5,5
2024년 3월 17일,후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(양념콤보 반)),바삭하고 느끼함 없이 맛있었어요,5,5,5
2024년 3월 17일,"크크크치킨/1,고추치킨/1",양도 많고 맛도 끝내주네요,5,5,5
2024년 3월 16일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",맛나게 잘 먹을께요,5,5,0
2024년 3월 12일,"순살 하하핫치킨/1,참이슬/1,코카-콜라1.25L/1",애들이 핫이뭔뜻인지모르고시켰다가대부분버렸지요,5,5,5
2024년 3월 10일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",크크크 처음 먹어봤는데 진짜 전 브랜드 다 따져도 크크크 치킨이 제일 맛있네요,5,5,5
2024년 3월 9일,"다리 6조각/1(다리선택(간지 다리 6조각)),다리 6조각/1(다리선택(크크크 다리 6조각))",맛있습니다. 또 먹고 싶어요,5,5,5
2024년 2월 29일,"크크크치킨/1,코카-콜라1.25L/1","애들이너무좋아해요
순살로소주안주먹을레요",5,5,5
2024년 2월 26일,크크크치킨/1,"동생이 먹고 싶어하길래 시켰는데 
진짜 바삭하고 맛있는 치킨 
소스 3개나 되서 골라먹는 재미까지!",5,5,5
2024년 2월 25일,크크크치킨/1,"2째가 딱이라고해서 치킨은 앞으로여기입니다
고생하세요",5,5,5
2024년 2월 21일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(호랑이윙봉 반),윙봉반＋반 선택2(new장스윙봉 반))","22시 09분에 시키고, 23시 33분에 받았습니다.
도중에 영업준비중으로 바뀌시고...

비오는날인거 감안은 하긴 했는데... 처음에 배달 50분 걸린다고 했을땐 평소에도 그러니 신경안썼는데 배달온 치킨은 싹다 식어있고..
배달 안될것 같으니 픽업으로 진행 해줄수 있는지 양해도 조리 완료후 배달 예정 시간을 한참 넘기고 엄청 늦게 해주시고...

차라리 배달비 내고 다 식은 치킨 늦게 픽업 안내를 받을 거라면 처음부터 늦어질것 같다고 안내를 해줬으면 좋겠습니다.
오늘 밤 치킨은 그냥 안먹을래요..
지금먹으나 내일 아침에 먹으나 온기가 없는건 똑같은걸요",3,3,1
2024년 2월 17일,순살 크크크치킨/1,크크크치킨 너무나 맛있어요. 먹는 중 사진 찍었네요 ㅎㅎ,5,5,5
2024년 2월 13일,크크크치킨/1,"먹다가 사진을 찍었네요..

근데, 튀김옷이 두꺼워서 그런지 닭이 좀 덜 익은거 같아요.. 다음에는 좀 신경써주세요~~",3,4,5
2024년 2월 12일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",첨 주문한 메뉴인데 마늘 소스가 진짜 맛나요??,5,5,5
2024년 2월 8일,"봉 15조각/1(봉선택(호랑이 봉 15조각)),코카-콜라 제로1.25L/1,호랑이웨지감자/1",무슨 웨지감자를 종이봉투에 담아서 줍니까?? 다눅눅해져서 진짜 맛없고요 호랑이웨지감자 랑 호랑이 봉 시켰는데 호랑이 봉 만들고 남은 찌꺼기 가루로 웨지감자 에 짬처리 한 기분입니다 호랑이 맛 하나도 안나고요 여러지점 많이시켜먹는데 진짜 실망도 이런 대실망이 없음 그냥 물같음 감자가,1,1,5
2024년 2월 6일,호랑이치킨/1,처음먹어봤는데맜있게잘먹어요,5,5,5
2024년 2월 4일,더매운고추치킨/1,너무 매워서 아주 혼쭐이 났지만 맛있었어요 중독성있어요 잘 먹었습니다,5,5,5
2024년 2월 3일,"다리 6조각/1(다리선택(후라이드 다리6조각)),코카-콜라 제로1.25L/1,떡볶이/1",제로콜라시켰는데 일반콜라주시는거 빼곤좋네요,5,5,3
2024년 2월 3일,"크크크치킨/1,떡볶이/1",맛있네여!!!! 진짜 바삭함의 끝이에요 바삭바삭해요,5,5,5
2024년 2월 1일,"크크크치킨/1,쫀득치즈볼（5개）/1",빠르고 맛있습니다 ^^,4,4,4
