dates,order_items,reviews,taste_score,quantity_score,delivery_score
5일 전,크크크치킨/1,바삭하고 넘 맛잇네요,5,5,0
2024년 4월 6일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),너무 잘먹었어어요~~^^,5,5,0
2024년 3월 31일,크크크치킨/1,"기름지지만 바삭하고, 3종소스가 느끼함을 잡아줍니다~",4,5,5
2024년 3월 16일,"윙 15조각/1(윙선택(크크크 윙 15조각)),호랑이치즈볼（5개）/1",맛있게 잘 먹었습니다👍🏻👍🏻👍🏻,5,5,5
2024년 3월 7일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),양념소스/1",배달이예상보다 너무 늦구요. 치킨이 다 식어서 더 맛없었습니다 실망스럽네요,1,3,1
2024년 3월 4일,"순살 크크크치킨/1,콘마요소스/1",깔끔한게 맛있게 잘 먹었네요,5,5,5
2024년 2월 15일,"호랑이치킨/1,후라이드/1",치킨 넘 맛있어요!,5,5,5
2024년 2월 10일,"반마리＋반마리 선택/1(뼈반＋반선택1(간지 반),뼈반＋반선택2(하하핫 반))",맛있게 잘 먹었습니다,5,5,5
2024년 2월 5일,"크크크치킨/1,콜라 1.25L/1",맛있게 잘 먹었습니다,5,5,5
2024년 2월 4일,윙봉24세트/1(윙봉선택(크크크 윙봉)),"배달 예상시간보다 빠른배송에 놀랐고 ㅋㅋㅋ치킨 맛에 한 번 더 놀랐어요.
맛있게 잘 먹었습니다.
사장님 감사합니다.",5,5,5
2024년 1월 26일,"크크크치킨/1,떡볶이/1,콜라 1.25L/1",맛있게 잘 먹었습니다.,5,5,5
2024년 1월 21일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",맛있게 잘 먹었습니다,5,5,5
2024년 1월 21일,후라이드 반＋반마리선택/1(반마리선택(더매운고추  반)),맛있게 잘먹었습니다,5,5,5
2024년 1월 19일,하하핫치킨/1,"제로콜라없는게아쉽네요
대세는 제로입니다",4,5,5
2024년 1월 18일,"순살 크크크치킨/1,코카-콜라245ml/1",바삭바삭하고 항상 맛있어요!^^,5,5,5
2024년 1월 9일,"크크크치킨/1,호랑이웨지감자/1,코카-콜라1.25L/1","맛있게잘먹었습니다
친절한대응감사합니다",5,5,5
2024년 1월 2일,"크크크치킨/1,더매운고추치킨/1","유튜브 추천 치킨 보고 요즘 크크크만 먹어요 매번 빠삭한 소리가 좋았는데, 이번엔 살짝 덜 했습니다",5,5,5
2023년 12월 23일,"크크크치킨/1,떡볶이/1",치킨은 아주 바삭하면서 맛있고 떡볶이도 아주 쫄깃해서 맛있게 먹었어요.,5,5,5
2023년 11월 25일,순살 크크크치킨/1,크크크 치킨먹어봤어요. 처음에는 맛있었는데 조금 느끼하네요 그래도 잘 먹었습니다.,3,5,5
2023년 11월 13일,"포테이토 치즈스틱（3개）/1,순살 크크크치킨/1,봉 15조각/1(봉선택(new장스 봉 15조각))","엄마가 크크크 치킨 먹고싶다고 시켰아용!!!
항상 여기 너무 맛있는거같아요 감사합니다!!!",5,5,5
2023년 11월 11일,순살 크크크치킨/1,항상 맛있게 먹고 있습니다,5,5,5
2023년 11월 11일,크크크치킨/1,워커힐오면 무조건 여기서 시키는겁니다,5,5,5
2023년 11월 10일,크크크치킨/1,정말 맛있어요 자주이용하겠습니다~~,5,5,0
2023년 11월 8일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))","제일 좋아하는 치킨이에요🥰
퇴근길에 포장해서 가고 야식 겸 먹고있는데
언제먹어도 빠삭빠삭하네요>_<
치세권에 살아서 행볶해용",5,5,0
2023년 10월 15일,윙봉24세트/1(윙봉선택(후라이드 윙봉)),"배달 예상시간보다 30분 지연되서 왔어요 . 그건 에해한다 치더라도 어디서 돌다 왔는지 차가운닭이네요
다시는 안시킵니다",1,1,1
2023년 10월 15일,순살 크크크치킨/1,퍽퍽살이 많아졌네요 다리살쪽은 맛있었어요,4,5,5
2023년 10월 13일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(고추순살 반)),"웻지도 넘나 맛있고 여기 고추치킨은 정말 최애에요. 
다른곳은 순살치킨들이 퍽퍽하고 너무 너겟같은 느낌인데 여긴 다리살 안심 골고루 있어서 순살도 맛있네요. 불금에 맛있는 치킨으로 배 든든히 채웠습니다. 감사합니다.",5,5,0
2023년 10월 8일,크크크치킨/1,항상 맛있게 먹고 있습니다,5,5,5
2023년 10월 7일,"크크크치킨/1,웨지감자/1","왜 세가지 소스 안보내셨나요 ㅠ
전화도 안받으시고.",1,1,1
2023년 9월 28일,크크크치킨/1,유튜브 보고 주문했어요 역시 맛있네요,5,5,5
2023년 9월 16일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",맛있게 잘 먹었습니다.,5,5,5
2023년 9월 10일,"후라이드/1,떡볶이/1","두번째 치킨
와우~
후라이드중에 갑!!!
떡볶이도 맛있어요
맛  👍👍👍",5,5,5
2023년 9월 4일,호랑이치킨/1,"와우^^  넘 맛있는거아닌가요?
처음으로 69계치킨 주문함.
와~~~이렇게 맛있는 치킨을 이제야 먹다니
ㅜㅜ
또봅시다요~~^^",5,5,5
2023년 8월 30일,크크크치킨/1,"사진은 못찍었네요ㅠ
진짜 크리스피하고 소스들도 맛있고 그냥 먹어도 맛있고
넘 잘 먹었습니다",5,5,0
2023년 8월 16일,크크크치킨/1,사장님이 빠르게 주문받아주셔서 잘 먹었어요.,5,5,5
2023년 8월 15일,크크크치킨/1,가성비 만족 조아요,4,4,0
2023년 8월 7일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(6초순살 반)),맛있게 맵네요 잘 먹었어요,5,5,5
2023년 8월 5일,"후라이드/1,봉 15조각/1(봉선택(간지 봉 15조각))",후라이드는 식어도 바삭하고 간지 치킨은 간이 딱 맞네요,5,5,5
2023년 7월 30일,"크크크치킨/1,크크크소스/1","요즘 크크크에 빠져 계속 주문하게됩니다. 바삭하고 맛있어요~특히 크크크 소스 마늘이 들어있는 소스는 달달하며 알싸한 중독성있는 소스네요.
맛있게 잘먹었습니다",5,5,5
2023년 7월 30일,크크크치킨/1,맛있어요 완전바삭바삭,5,5,5
2023년 7월 26일,순살 크크크치킨/1,자꾸생각나는 크크크.배달도 빠르고 오늘도 맛있게 먹었습니다.,5,5,5
2023년 7월 22일,순살 크크크치킨/1,"와~~계속 먹고싶었는데 드디어 주문 했네요.
주문하고 20분도 안돼 배달되어 맛있게 잘먹었습니다.바삭하고 소스도 3가지 다 맛있어요..계속 생각나는 맛이네요..자주 주문할거 같아요..바삭한치킨 원하시는분 들에게 강추입니다",5,5,5
2023년 7월 21일,순살 크크크치킨/1,와 진심 바삭하고 맛있어요,5,5,5
