dates,order_items,reviews,taste_score,quantity_score,delivery_score
어제,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 크랑이치킨))",뜨겁고 바삭한치킨이에요 빠른조리와 빠른배달감사합니다. 크랑이 맛있네요,5,5,0
어제,뼈 후라이드반+선택반/1(반마리선택(간지치킨 반)),양도 적당하고 맛있어요~,5,5,0
2일 전,후라이드치킨/1(사이드메뉴 추가(호랑이웨지감자)),60계치킨 처음 주문했는데 정말 맛있네요. 또 주문할께요~,5,5,0
2일 전,"순살 크랑이치킨/1,청양마요소스/1","맛있네요~ 신메뉴가 괜찮아요^^
마요네즈 소스도 있어서 더 좋아요 ㅋㅋ",5,5,0
2024년 4월 4일,"반마리＋반마리 선택/1(뼈반＋반선택1(간지 반),뼈반＋반선택2(고추 반))",고추치킨 왜이리 안매워요? 원래 안매운건가?? 간지치킨하고 맛이 똑같아요 ㅠ 그래도 바삭하게 튀겨 양념 묻혀서 너무 맛있었어요,4,4,0
2024년 3월 11일,"반마리＋반마리 선택/1(뼈반＋반선택1(간지 반),뼈반＋반선택2(고추 반)),호랑이쫀도그（3개）/1",넘 맛있어요~~~ 잘먹었습니다,5,5,5
2024년 3월 10일,간지치킨/1,간만에 먹은 60계치킨!! 바삭하게 잘 먹었어용 번창하세용,5,5,5
2024년 3월 6일,"크크크치킨/1,떡볶이/1","바삭바삭 소스가 끝내줘요
다음에 순살로 편하게 주문할래요!!!",5,5,5
2024년 2월 25일,"순살 크크크치킨/1,핫크크크소스/1,떡볶이/1",맛있게 잘 먹었습니다~,5,5,5
2024년 2월 1일,순살 크크크치킨/1,오 배달빠르고 맛있고 양많아요!!,5,5,5
2024년 1월 25일,"반마리＋반마리 선택/1(뼈반＋반선택1(호랑이 반),뼈반＋반선택2(간지 반))",맛있는 치킨이에요 추천합니다,5,5,0
2024년 1월 20일,"콤보（윙,봉,다리）/1(콤보선택(하하핫 콤보))",맛있어……………..,5,5,5
2024년 1월 11일,"크크크치킨/1,핫크크크소스/1,콘마요소스/1",치킨도 맛있고 소스도 맛있네요.,5,5,0
2024년 1월 9일,"순살 크크크치킨/1,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(고추순살 반)),생맥주 1,000cc/2,청양마요소스/1",빠른배송과 맛있었어요~,5,5,5
2024년 1월 8일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(하하핫순살 반)),빨리 도착해서 따뜻하게먹을 수 있었오요,5,5,5
2024년 1월 5일,하하핫치킨/1,포장으로 주문했는데 바로 자동취소가 되더니 배달로 결제하니 주문이 되네요 ㅎㅎ,5,5,3
2024년 1월 5일,"반마리＋반마리 선택/1(뼈반＋반선택1(하하핫 반),뼈반＋반선택2(고추 반)),미니쫀득볼（10개）/1","개인적인 맛은 ㅋㅋㅋ보다 약한 ㅎㅎㅎ^^
하지만 맥주와 함께라면 맛있을거같아요",3,5,5
2024년 1월 3일,순살후라이드/1,벌써 마지막 조각이네요ㅠ 매 번 먹는 순살후라이드에요. 염지가 맵지않아 매운거 아예 못 먹는 아이들도 맛있게 먹을 수 있어요. 처음으로 신도림점 시켜봤는데 친절하고 빠르게 배달해주시네요~,5,5,5
2024년 1월 1일,후라이드 반＋반마리선택/1(반마리선택(호랑이 반)),"맛있게 잘 먹었습니다 
예정보다 빠른배달 좋았습니다",4,4,5
2023년 12월 27일,"순살 크크크치킨/1,코카-콜라500ml/1","청양소스에 찍어먹는 치킨 역시 맛있네요.
치킨에 살이 조금 더 붙었으면 하는 아쉬움이 있네요.",5,5,5
2023년 12월 26일,간지치킨/1,정신없이 먹다보니 치킨 2조각만 남았네요…존맛탱,5,5,5
2023년 12월 14일,순살 크크크치킨/1,맛있게 잘 먹었습니다..,5,5,5
2023년 12월 11일,순살 크크크치킨/1,다양한 소스에 크크크 치킨 여러맛을 느낄수 있어서 너무좋았습니다,5,5,5
