dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 4월 10일,후라이드치킨/1,눈떠보니 빈박스ㅋㅋㅋ역시 60계입니다,5,5,0
2024년 4월 9일,순살 크크크치킨/1,맛있ㅇ요~~~~~~~,5,5,0
2024년 4월 7일,고추치킨/1,맛있어요!!!!!!!!!,5,5,0
2024년 4월 3일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",맛있게 잘 먹었습니다~,5,5,0
2024년 4월 3일,후라이드/1,맛있어요 기름이 진짜 깨끗한거 같아요,5,5,0
2024년 4월 1일,순살 크크크치킨/1,맛있어용!!!!!!!!!!!!!!!!,5,5,5
2024년 3월 28일,후라이드/1,치킨 껍질이 감자튀김처럼 바삭하고 양도 많아서 너무 좋아요~ 광고에 나오는 바삭 소리 그대로 나네요 대박,5,5,5
2024년 3월 25일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(양념순살 반)),맛있어요~~~~~~~~~,5,5,5
2024년 3월 24일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",배달이 진짜 빨라서 깜짝놀랬어요..🫢 오랜만에 먹는데 바삭하고 맛있어요!!다이어트중에 못참고 먹었습니당🤤😚치즈볼도 쫀득하고 안에 치즈가많아서 진짜 맛있었어요..👍다음에 또 시킬게용🫶,5,5,5
2024년 3월 24일,호랑이치킨/1,음 나이스 마늘맛 라면스프 같은 맛,5,5,5
2024년 3월 22일,"반마리＋반마리 선택/1(뼈반＋반선택1(고추 반),뼈반＋반선택2(양념 반)),웨지감자/1","고추맛은 단짠단짠 맛있습니다
양념은 단맛이 아이들은 좋아할 맛일걸 같은데 저희 한테는 조금 강한것 같습니다",4,5,4
2024년 3월 21일,후라이드/1,맛있고 배달도 빨라요 최고 👍🏻,5,5,5
2024년 3월 19일,간지치킨/1,너무 맛있어요~~ 같이 들어있는 감자도 짱! 치즈볼도 짱!,5,5,5
2024년 3월 14일,후라이드/1,사진으로 보는 것보다 먹었을 때 훨씬 기름이 깔끔한 맛이에요  앞으로 후라이드는 60계로 정착할래요,5,5,5
2024년 3월 13일,후라이드/1,60계 후라이드에 꽂혔어요,5,5,5
2024년 3월 12일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(new장스순살 반)),애들이 잘먹어요 추천,5,5,5
2024년 3월 8일,윙봉24세트/1(윙봉선택(간지 윙봉)),60계치킨은 간지치킨이죠~ 단짠단짠 최고에요! 먹느라 사진 늦게 찍었~,5,5,5
2024년 3월 7일,양념치킨/1,"사진이 왜안올라가질까요~~
항상 시켜먹는곳 양념치킨은 여기가 제일맛있네요 아이들도 너무잘먹어요",5,5,5
2024년 3월 5일,"순살양념 치킨/1,윙 15조각/1(윙선택(후라이드 윙15조각))",역시 맛있습니다.정말 잘먹었습니다^^,5,5,5
2024년 3월 5일,"스프라이트1.5L/1,미니쫀득볼（10개）/1,호랑이치킨/1",약간 알싸 하면서 좀 맵지만 먹을수록 맛있어요.식어도 딱딱하지 않고 차별화된 어떤맛이 있는거같아요.,5,5,5
2024년 3월 1일,"후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(6초콤보 반)),웨지감자/1",정말 튀김이 신선해요!,5,5,5
2024년 2월 26일,크크크치킨/1,늘 뜨끈 빠싹 맛있어요,5,5,5
2024년 2월 26일,크크크치킨/1,"치킨은 바삭바삭 크끄끄치킨
완전 중독",5,5,5
2024년 2월 23일,"더매운고추치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),미니쫀득볼（10개）/1",항상 맛있습니다 굿굿,5,5,5
2024년 2월 21일,"반마리＋반마리 선택/1(뼈반＋반선택1(양념 반),뼈반＋반선택2(하하핫 반)),웨지감자/1",하하핫은 소스가 많지않은 칼칼한 스타일이네요 맵찔이는 우유 벌컥벌컥먹음 근데 검붉어서 짤까봐걱정했는데 적당하고 맛있었어요 ㅎㅎ,5,5,5
2024년 2월 19일,"하하핫치킨/1,호랑이치킨/1",하하핫치킨 많이매워요,5,5,5
2024년 2월 18일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),맛있게먹었네여~^^감사합니다 사장님,4,4,4
2024년 2월 15일,간지치킨/1,이게 간지치킨인가요? 양념을 너무 아껴서 맛이없다고 애들이 반도 안먹네요. 차라리 후라이드시키겠네요.,1,4,4
2024년 2월 14일,"콤보（윙,봉,다리）/1(콤보선택(호랑이 콤보))",동생 최애치킨 이에요! 순삭햇어용,5,5,5
2024년 2월 13일,크크크치킨/1,크크크 맛있게 먹었어요~~,5,5,5
2024년 2월 11일,순살 크크크치킨/1,잘먹었습니다 . 맛있어용,5,5,5
