dates,order_items,reviews,taste_score,quantity_score,delivery_score
어제,콤보 후라이드반+선택반/1(세트반마리선택(양념치킨 반)),맛있게 잘 먹었습니다,5,5,0
2일 전,"크랑이치킨/1,웨지감자/1",크크크에 호랑이 시즈닝을 합친거 이거 너무 맛있습니다.,5,5,0
2024년 4월 9일,"윙 15조각/1(윙선택(고추 윙 15조각)),쫀도그/1",맛있어서 냠냠 먹었습니다ㅋㅋ,5,5,0
2024년 3월 31일,"콤보（윙,봉,다리）/1(콤보선택(호랑이 콤보)),쫀득치즈볼（5개）/1,치킨 무/1,마요네즈소스/2","바삭한 치킨 먹고싶어서 시켰는데 역시나 맛있네용!!
서비스로 주신 치즈볼도 잘 먹었습니당!!",5,5,5
2024년 3월 30일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",ㅋㅋㅋ치킨은 사랑입니다♥,5,5,5
2024년 3월 26일,"윙봉24세트/1(윙봉선택(고추 윙봉)),다리 6조각/1(다리선택(고추 다리 6조각))","요청 사항을 잘 안 읽으시는 느낌.
아기가 잘 시간이라 문 앞에 두고 문자 달라고 했지만 노크를 하셔서 아기가 깸.
치킨무를 먹지 않아서 치킨무 x 했는데도 치킨무가 옴.
치킨은 맛있었어요. 굿굿.",5,5,5
2024년 3월 26일,호랑이치킨/1,맛잇게 잘먹었습니다,5,5,5
2024년 3월 24일,후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(양념콤보 반)),맛있게 잘먹었어요!,5,5,5
2024년 3월 24일,후라이드 윙봉 반＋윙봉 반 선택/1(윙봉반 선택1(양념윙봉 반)),역시 바삭하니 좋네요! 배송도 시간 맞춰왔어요,5,5,5
2024년 3월 23일,"콤보 반＋콤보 반 선택/1(콤보반＋반 선택1(간지콤보 반),콤보반＋반 선택2(호랑이콤보 반))",서비스 치즈볼 너무 맛있구 좋아요,5,5,5
2024년 3월 23일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살호랑이 반),순살반＋반선택2(순살간지 반))","토욜이라 시간은 좀 더 오래 걸렸지만 
받자마자 순삭했네요 ㅋㅋ
맛있게 잘먹었습니다!!",5,5,5
2024년 3월 22일,크크크치킨/1,맛있게 잘먹었습니다 추천합니다,5,5,5
2024년 3월 20일,"6초치킨/1,쫀도그/1,아~매워!소스/1","너무맛있고 생각보다 매웠어요 땀뻘뻘흘리며 맛있게 먹었습니다 입에서 술날때쯤 쫀득핫도그와 치즈스틱은
꿀조합~핫도그는 꼭 먹어야해요!!",5,5,5
2024년 3월 19일,크크크치킨/1,"배달 빨랐어요
간만에 ㅋㅋㅋ 치킨. 배신하지 않는 맛 👍",5,5,5
2024년 3월 8일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",치즈볼 맛있음 치킨 맛있음 크크크,5,5,5
2024년 3월 7일,"양념소스/1,순살 크크크치킨/1",존맛 바삭바삭 크크크치킨 안시킬이유가 단 한개도 없다,5,5,5
2024년 3월 4일,호랑이치킨/1,"매콤하게 맛 있습니다~
아들이 첫 휴가 나와서 찾은 첫번째 메뉴가
60계 치킨이네요~
사장님 많이 많이 파세요~",5,5,5
2024년 2월 28일,"웨지감자/1,떡볶이/1,크크크치킨/1",맛있게 잘 먹었습니다 배달도 빨랐습니다,5,5,5
2024년 2월 28일,간지치킨/1,맛있게잘먹었습니다.,5,5,5
2024년 2월 27일,"순살 크크크치킨/1,봉 15조각/1(봉선택(하하핫 봉 15조각)),크크크소스/1",맛있게 먹었습니다!!!,5,5,5
2024년 2월 24일,떡볶이 엔 순살/1(순살선택(호랑이 순살)),엄청나게 맛있어요.,5,5,5
2024년 2월 24일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),참이슬/1,치킨 무/1",맛있게 잘 먹었습니다,5,5,5
2024년 2월 24일,후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(양념콤보 반)),맛있습니다 만족합니다,5,5,5
2024년 2월 23일,"순살 크크크치킨/1,청양마요소스/1,아~매워!소스/1","바삭하고 깔끔해요~
매운소스 추가해서 먹음 더 꿀맛이네요
맛있게 잘먹었습니다
번창하세요",5,5,5
