dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 3월 31일,"크크크치킨/1,코카-콜라500ml/1","ㅋㅋㅋ
맛과 바삭함이 좋아요",5,5,5
2024년 3월 31일,양념치킨/1,맛있게 잘 먹을게요,5,5,5
2024년 3월 30일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),다먹고찍었어요 ㅜ ㅜ 너무맛있게먹었습니다,5,5,5
2024년 3월 12일,떡볶이 엔 순살/1(순살선택(크크크 순살)),치킨 바삭하고 맛있어요~ 떡볶이는 살짝 맵긴한데 그래도 둘다 애들이 잘먹네요~,5,5,0
2024년 3월 3일,순살 크크크치킨/1,첨 먹었는데 ㅋㅋㅋ치긴 맛나요,5,5,5
2024년 2월 25일,순살후라이드/1,"맛있게 잘먹었네요 혼자는 양이 너무 많아서
다음날 먹었어요",5,5,5
2024년 2월 23일,6초치킨/1,"배달도 빠르고, 맵게 맛있어요~ㅎㅎ",5,5,5
2024년 1월 26일,"순살고추 치킨/1,호랑이쫀도그（3개）/1",배달도 빠르고 맛있게 잘 먹었습니다,5,5,5
2023년 12월 30일,"반마리＋반마리 선택/1(뼈반＋반선택1(양념 반),뼈반＋반선택2(new장스 반))",배송도 빠르고 닭도 신선한 것 같아요.,5,5,5
2023년 12월 29일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),아들 간식으로 최고 맛있게 잘 먹었어요,5,5,5
2023년 12월 29일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보)),떡볶이/1","아니 떡볶이 7000원이나 받으면서 이러시면 안되죠
 다른집니랑 맛도 양도 다르게 주시네요… 이떡볶이가 7천원이라는것을 인지하고 파셔야할듯 약간 안일한거같으시네요 심지어 맛도 없음",3,3,5
2023년 12월 26일,"호랑이치킨/1,반마리＋반마리 선택/1(뼈반＋반선택1(간지 반),뼈반＋반선택2(고추 반))",맛있어요 굳굳 또 먹을거같아요,5,5,5
2023년 12월 24일,"고추치킨/1,치킨 무/1","고추치킨 항상 먹을 때마다 맛있구 남자 사장님 친절하셔요
너무 급하게 먹어서 사진은 못 찍었지만
추천합니다^^",5,5,0
2023년 12월 24일,윙봉24세트/1(윙봉선택(간지 윙봉)),60계 맛나요!!!,5,5,5
2023년 12월 11일,순살 크크크치킨/1,잘 먹었습니다.. ㅎ 많이파세요~~,5,5,5
2023년 12월 3일,크크크치킨/1,항상 여기만 시켜먹어요,5,5,5
2023년 11월 27일,윙봉24세트/1(윙봉선택(후라이드 윙봉)),맛이썼어요  대박나시길,5,5,5
2023년 11월 25일,떡볶이 엔 순살/1(순살선택(크크크 순살)),애들이 바삭해서그런지 크크크 치킨을 너무 맛있어하네요. 떡볶이는 살짝 맵긴한데 좋았어요~,5,5,0
2023년 11월 14일,"후라이드/1,쫀도그/1",기름깨끗하고 너무 맛있어요!!,5,5,5
2023년 11월 12일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보)),떡볶이/1",선결제했고 벨누르지말고 문앞에 놔달라고했는데 세가지를 전부어기셨네요 진짜 영수증에 선결제 벨X 문자라고 친절하게 한글로 써져있는데 애기깨서 달래주고 먹었네요 진짜 기분더럽네요 이기분으로 밥먹어야하나요 문앞에서도 결제했다고 했는데 자기는 안되어 있다고 하면서 계속 하… 괜히 벨누르지말라고 하나요???,1,1,1
2023년 11월 11일,호랑이치킨/1,"넘 맛있는 호랑이치킨 
진짜 잘 먹었고 재주문의사 100%입니다",5,5,5
2023년 11월 9일,크크크치킨/1,맛있어요 맛있어요 맛있어요 ㅎㅎ,5,5,5
2023년 11월 7일,"콤보（윙,봉,다리）/1(콤보선택(고추 콤보))",맛있게 잘먹었습니다,5,5,5
2023년 11월 3일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",잘 먹었습니다😋😋😋,5,5,5
2023년 10월 25일,순살 크크크치킨/1,오늘도 크크치킨 맛있게 잘 먹었습니다.,5,5,0
2023년 10월 9일,크크크치킨/1,맛있어요 맛있어요 맛있어요,5,5,5
2023년 10월 8일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),미니쫀득볼（10개）/1",배송도 빠르고 치긴맛도 좋네요 기름도 좋은것 쓰는것 같고요,5,5,5
2023년 10월 8일,간지치킨/1,양도 풍부하고 쫀득한 맛 입니다.,5,5,5
2023년 10월 4일,윙봉24세트/1(윙봉선택(간지 윙봉)),맛있게 잘먹었습니다,5,5,5
2023년 9월 13일,"윙 15조각/1(윙선택(크크크 윙 15조각)),윙 15조각/1(윙선택(간지 윙 15조각)),떡볶이/1",떡볶이 누락으로 떡볶이는 나중에 받아서 아쉬웠어요. 치떡조합으로 먹으려고 했는데 약간 텐션떨어짐.,5,5,3
2023년 9월 12일,후라이드/1,늘 맛있게 튀겨주셔거 감사합니다,5,5,5
