dates,order_items,reviews,taste_score,quantity_score,delivery_score
어제,"순살 크크크치킨/1,순살 양념치킨/1",크크치킨이 맛있네요 아이들도 좋아하고 콜라 감사해요,5,5,0
일주일 전,봉 15조각/1(부분육단품 맛변경(맛 변경 간지치킨)),맛있어요 많이파세요,5,5,0
2024년 4월 10일,크크크치킨/2,맛있네요...믿고먹는 60닭,5,5,0
2024년 4월 10일,크크크치킨/1,맛있고 아주 만족스로웠습니다,5,5,0
2024년 4월 9일,순살 양념치킨/1,맛있게 잘먹었습니다~^^가격도 좋고~앞으로 치킨은 여기서 먹어야 겠어요~^^,5,5,0
2024년 4월 7일,윙봉24세트/1(윙봉선택(더매운고추 윙봉)),맛있어요 ~~~~^^,5,5,0
2024년 3월 26일,크크크치킨/1,맛있게 잘 먹었습니다,5,5,5
2024년 2월 28일,"윙봉24세트/1(윙봉선택(더매운고추 윙봉)),호랑이웨지감자/1",맛있어요!! 찹쌀볼? 쫀득쫀득♡,5,5,5
2024년 2월 27일,윙봉24세트/1(윙봉선택(고추 윙봉)),맛있어요 맛있어요,5,5,5
2024년 2월 21일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),쫀득치즈볼（5개）/1",후반양반은 처음 인데 크크보다는 바삭함이 덜하긴 하지만 맛있어요 치즈볼은 아이가 잘먹네요,5,5,5
2024년 2월 20일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살고추 반))",웨지감자가 너무 잘 어울ㄹㅕ서 담번엔 꼭 추가해야겠어욤,5,5,5
2024년 2월 17일,후라이드/1,기름이 좋아서인지 항상 맛있어요^^,5,5,5
2024년 2월 4일,하하핫치킨/1,"신제품인듯한데 제입에는 매콤하니 맛있어요
아이들 먹기에는 좀 매울듯 합니다",5,5,5
2024년 1월 31일,고추치킨/1,맛있어요 남편은 맵다는데 전에보단 매워졌지만 제 입맛엔 딱좋은 맵기였어요^^,5,5,5
2024년 1월 27일,"윙봉24세트/1(윙봉선택(호랑이 윙봉)),웨지감자/1",맛있게 잘 먹었습니다 냠냠 😋 😄,5,5,5
2024년 1월 26일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 제로 1.25L)),맛있어요 번창하세요 사장님 👍 👍 👍,5,5,5
2024년 1월 25일,"후라이드 반＋반마리선택/1(반마리선택(6초치킨 반)),테라 병/1",넘넘 맛있어요 항상~~,5,5,5
2024년 1월 25일,크크크치킨/1,맛있게 잘먹었습니다,5,5,5
2024년 1월 24일,"콤보（윙,봉,다리）/1(콤보선택(고추 콤보))",맵찔이인 저도 맛있게 잘먹었습니다,5,5,5
2024년 1월 23일,윙봉24세트/1(윙봉선택(후라이드 윙봉)),집 바로앞이라 포장해다 먹었어요~ 급하게 먹느라 박스사진만ㅠ잘 먹었어요~,5,5,0
2024년 1월 21일,"콤보（윙,봉,다리）/1(콤보선택(고추 콤보))","너무 맛있어요 ㅠㅠㅠ
다른 지점에서도 먹어봤는데 별로였고
상계점이 젤 맛있는거같아요
배달도 빠르고 양도 기분탓인지 더 많은거같구
서비스 치즈볼도 너무 잘먹었어요 ㅎㅎ
약간 아쉬운게 있다면 소스가 고루 안묻어서
어떤건 짭조름하니 맛있는데 좀 덜묻은데는
약간 싱겁네요 ㅠ그거만 개선되면 좋을거같아요!!
여러번 먹어도 매번 맛있어용!!!!! 최고👍🏻",5,5,5
2024년 1월 21일,"고추치킨/1,콤보（윙,봉,다리）/1(콤보선택(고추 콤보))",2주에 3번  6마리 강력 추천 튀긴 닭을 전혀 먹지 않았는데 느끼하기에 그추 양념 치킨 너무 너무 긋 식어도 역시 굿,5,5,5
2024년 1월 20일,순살 크크크치킨/1,첫주문이었는데 맛있게 잘 먹었습니다,5,5,5
2024년 1월 19일,하하핫치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),신제품 나쁘지않았음,5,5,5
2024년 1월 17일,"생맥주 1,000cc/1,다리 6조각/2(다리선택(간지 다리 6조각))","간지치킨 진짜 최애 치킨이에요 매번 간지치킨만 시켜먹는 듯해요
오늘도 잘먹었습니다👍",5,5,5
2024년 1월 14일,"크크크치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),생맥주 1,000cc/1","와 맛있네요. 예전에 초창기에 먹았던 그런맛이 아니예요. 엄청 바삭하고 소스도 3종 진짜 맛있네,",5,5,5
2024년 1월 14일,"크크크치킨/1,고추치킨/1",맛있고 50평생 제일 제일 넘버원 치킨 고추치킨 느끼하지 않아 차가워도 맛 있음 10일동안 3번 주문해서 먹음  1년에 10번 먹지 않음,5,5,5
2024년 1월 13일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(양념순살 반)),순살도 너무 맛있어용~^^,5,5,5
2024년 1월 12일,하하핫치킨/1,맛있게 잘 먹었습니다^^,5,5,0
2024년 1월 11일,윙봉24세트/1(윙봉선택(양념 윙봉)),아이가 양념이 맛있다며 잘 먹어요.,5,5,5
2024년 1월 11일,"윙 15조각/1(윙선택(new장스 윙 15조각)),다리 6조각/1(다리선택(간지 다리 6조각))",맛있게 잘먹었습니다~~,5,5,5
2024년 1월 9일,"순살 크크크치킨/1,콘마요소스/1",오오 진짜진짜맛있었어요 자주먹을듯ㅜㅜ,5,5,5
2024년 1월 9일,"윙봉24세트/1(윙봉선택(더매운고추 윙봉)),간지치킨/1",요즘 최애 치킨 입니다!  너무 맛있어용!!!,5,5,5
2024년 1월 6일,"콤보（윙,봉,다리）/1(콤보선택(간지 콤보))",맛있게 잘먹었습니다~~,5,5,5
2024년 1월 4일,크크크치킨/1,"완전 바삭하개 왔네요 잘먹었어요
배달은 좀 늦었어요",5,5,5
2024년 1월 2일,"후라이드 반＋반마리선택/1(반마리선택(6초치킨 반)),아~매워!소스/1",너무 맛있어요~!!!,5,5,5
2024년 1월 2일,"콤보（윙,봉,다리）/1(콤보선택(간지 콤보))",맛있게 잘먹었습니다~~,5,5,5
