dates,order_items,reviews,taste_score,quantity_score,delivery_score
2일 전,크랑이치킨/1,맛있게 잘 먹었습니다. 새로 나와서 먹어봤는데 생각보다 많이 매웠어요.,5,5,0
3일 전,"순살 간지치킨/1(소스,추가메뉴(양념소스))",🤩🤩🤩🤩🤩,5,5,0
6일 전,"뼈 선택반+선택반/1(반반맛선택 1(호랑이 반),반반맛선택 2(양념치킨 반))",맛있어요오!!  호랑이 치킨 조아하는데 넘 좋네용,5,5,0
일주일 전,뼈 후라이드반+선택반/1(반마리선택(양념치킨 반)),"다 식어서 왔네  맛도 없고 
다시는 안 시킨다",1,1,0
2024년 4월 13일,"뼈 후라이드반+선택반/1(반마리선택(하하핫 반),소스,추가메뉴(양념소스))",하하핫이 예전보다 매콤해진듯~맛있어요,5,5,0
2024년 4월 10일,순살 양념치킨/1,😍😍😍😍😍,5,5,0
2024년 4월 10일,순살고추 치킨/1,맛있게 잘 먹었습니다 냠냠 😋 😄,5,5,0
2024년 4월 8일,"콤보（윙,봉,다리）/1(콤보선택(고추 콤보)),쫀득치즈볼（5개）/1",맛있습니다~ 역시 60계!,5,5,0
2024년 4월 6일,호랑이치킨/1,"항상 포장해서 먹다가 배달 시켰는데 오늘 치킨 진짜 별로에요ㅜㅜ
후레이크도 거의 뿌려져 있지않고,
감자랑 치킨도 기름이 너무 많아요.
정말 맛있게 먹던 치킨인데ㅜㅜ
오늘 너무 아쉽네요.",3,5,0
2024년 4월 6일,크크크치킨/1,너무맛있게먹어읍니다감사합니다,5,5,5
2024년 4월 5일,간지치킨/1,"제가 먹은게 60번째 닭이었는지..ㅠㅠ
너무 크리스피하게 튀겨져와서 작은 뼈인지 튀김 옷인지 구분이 안갔어요..",3,4,0
2024년 4월 2일,양념치킨/1,😘😘😘😘😘,5,5,0
2024년 3월 30일,양념치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),진짜 맛있고 기사님 너무 친절하셔서 감사해요.~~^^,5,5,5
2024년 3월 29일,후라이드/1,"사진은 안찍어서 없지만 빠른 배달과 프레시함이 느껴져서 맛있게 잘먹었습니다 
감사합니다",4,4,5
2024년 3월 24일,순살 크크크치킨/1,식구들이 너무 좋아해요. 맛있다고요. 배송도 빠르고 바삭바삭 맛있어요.,5,5,5
2024년 3월 19일,크크크치킨/1,감사합니다 잘먹었습니다,5,5,5
2024년 3월 15일,고추치킨/1,잘먹었습니다. 조금더 바삭하게 튀겨졌으면 좋을거같아요,5,5,5
2024년 3월 7일,고추치킨/1,고추치킨 맛있게 먹었어요👍,5,5,5
2024년 3월 3일,후라이드 반＋반마리선택/1(반마리선택(하하핫 반)),"일찍 배달~~하~하~핫치킨^생가보다 안맵고

살짝 깔깔함~맛있어요",5,5,5
2024년 3월 3일,크크크치킨/1,바삭하니맛있게잘먹어읍니다,5,5,5
2024년 3월 1일,"순살 크크크치킨/1,웨지감자/1",아주좋습니다 만족합니다,5,5,5
2024년 2월 24일,크크크치킨/1,치킨은 맛있으나 배달시간이 지나니 예상배달시간 임의로 늘려놔 요기요에 기분이 상함,5,5,1
2024년 2월 21일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반),음료변경(코카콜라 제로1.25L 사이즈 업))","맛있게 잘 먹었습니다 
감사합니다",5,5,4
2024년 2월 18일,순살후라이드/1,"재료가 좋은것 같아서 주문했는데 순살치킨이 90%가 가슴살이라 세상 뻑뻑해요.
안좋아하는 콜라만 벌컥벌컥 마셨네요",2,2,4
2024년 2월 18일,"순살후라이드/1,순살양념 치킨/1",아주좋습니다 만족합니다,5,5,5
2024년 2월 17일,크크크치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),드디어 크크크 먹어봤는데 크크크 맛있어요,5,5,5
2024년 2월 14일,new장스치킨/1,빠르고 ㅇ맛있습니다,5,5,5
2024년 2월 14일,"고추치킨/1,생맥주 1,000cc/1,호랑이치즈볼（5개）/1","양도 적지않고 바삭바삭 맛있어요.
개인적으로 청양고추의 매콤함이 좀더 있음 좋을거 같네요.
호랑이치즈볼은 향신료 때문에 호불호가 있을듯한데 양고기 냄새가 나는듯해서 저한테는 쫌 안 맞는듯요~~",5,3,5
2024년 2월 13일,더매운고추치킨/1,오랜만에 시켜먹었는데 맛있어요,5,5,5
2024년 2월 12일,"크크크치킨/1,호랑이치즈볼（5개）/1,다리 6조각/1(다리선택(후라이드 다리6조각))","맛있게 먹긴했는데 양이 생각보다는 좀..
아이둘 어른둘..;;;",5,4,5
2024년 2월 11일,크크크치킨/1,바삭바삭 촉촉 맛있어여,5,5,5
2024년 2월 7일,"콤보（윙,봉,다리）/1(콤보선택(new장스 콤보)),웨지감자/1,호랑이치킨/1",장스치킨에 웨지감자 같이 넣어서 버무려달라 요청드렸는데 그게 안되는거면 전화라도 주시지 영수증에 답변해주신건 의미가 없네요 안되는거면 웨지감자 취소하는건데ㅠㅠ 근데 양념감자라는 메뉴가 있어서 안된다고도 해주셨는데 양념감자 메뉴가 어디있나요?ㅠ 있었으면 그걸 시켰는데,4,4,4
2024년 2월 4일,"크크크치킨/1,봉 15조각/1(봉선택(하하핫 봉 15조각))","ㅋㅋㅋ치킨 맛있네요
하하핫치킨 먹어보고파서 사이드 느낌으로주문했는데 매콤하니 좋았어요
ㅋㅋㅋ치킨생각나면 또 주문할게요",5,5,5
2024년 2월 3일,"크크크소스/1,윙봉24세트/1(윙봉선택(크크크 윙봉)),치킨 무/1",아니 치킨다쓰러지게 대각선으로 문바로앞에다 던지고 가는 사람은또처음보네요 던질거면 배달비 왜받으세요,3,3,1
2024년 2월 2일,순살 크크크치킨/1,맛있어서 요즘은 크크크 치킨만 배달하고 있어요. 뜨끈하게 깔끔하게 배송되고 있어요.,5,5,5
2024년 2월 1일,크크크치킨/1,치킨 너무 걸린다싶더니 다 식어서 왔네요ㅠ,5,5,1
2024년 2월 1일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",배달이 좀늦어서 닭이 식어서 좀아쉬웠어요 크크크치킨 소스도 맛있고 진짜 바삭바삭하네요 애들이 일반후라이드는 느끼하다고 많이못먹는데 요건 아주잘먹어서 또시켜먹을꺼같아요!!,5,5,3
2024년 1월 29일,크크크치킨/1,맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요 맛나요,5,5,5
2024년 1월 21일,더매운고추치킨/1,"너무 매워서 스트레스 확 풀리고 좋았어요!!
60계 맛있음ㅎㅎ",5,5,5
2024년 1월 17일,호랑이치킨/1,"좋아요~~~ 굿 입니당 👍 
좋아요~~~ 굿 입니당 👍",5,5,5
2024년 1월 15일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살new장스 반))",잘 먹었어요 ~~~^^,5,5,5
2024년 1월 13일,순살 크크크치킨/1,핵 존 맛!! 배달도 짱빨랐고 치킨도 바삭바삭해서 더 맛있쥬 만족도10000%,5,5,5
2024년 1월 13일,"순살 크크크치킨/1,순살양념 치킨/1",맛있어요 신속해요 푸짐해요 친절해요,5,5,5
2024년 1월 10일,"순살양념 치킨/1,호랑이쫀도그（3개）/1,생맥주 1,000cc/1",😍😍😍😍😍,5,5,5
2024년 1월 8일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(간지윙봉 반),윙봉반＋반 선택2(고추윙봉 반)),멘보샤（10개）/1",맛있어요!!!   아들이 좋아해여,4,5,4
2024년 1월 7일,순살 크크크치킨/1,맛있게 잘 먹겠습니다^^,5,5,5
2024년 1월 6일,순살 크크크치킨/1,"다식은 치킨 너무 맛없게 먹었네요 
1시간넘게 기다라면서 왜이렇게 안오지 저나해봤더니
배달기사가 안잡혔다고 조리후 50분이 지나도록
연락이라도 먼저 해주시던가 제가 전화해서 알았네요 
1시간 반만에 받긴했는데 취소도 안대고 그냥 먹겠습니다만
다 식고 눅눅해진 치킨 정말 최악이였네요 
다시 시킬지는 모르겠네요 처음시켰는데 정말 최악이였음 
차가운 치킨 ㅋㅋㅋㅋ",1,1,1
2024년 1월 6일,"윙 15조각/1(윙선택(호랑이 윙 15조각)),호랑이웨지감자/1",역시 호랑이 치킨 맛있어요,5,5,5
2024년 1월 5일,"콤보（윙,봉,다리）/1(콤보선택(고추 콤보)),쫀득치즈볼（5개）/1",맛있음~~60계는 믿고 뇸뇸,5,5,5
