dates,order_items,reviews,taste_score,quantity_score,delivery_score
4일 전,크크크치킨/1,ㅋㅋㅋ 치킨바삭하고 맛있네요,5,5,0
2024년 4월 15일,"뼈 후라이드반+선택반/1(반마리선택(하하핫 반),사이드메뉴 추가(쫀득치즈볼(5조각)),소스,추가메뉴(치킨 무))","닭이 사이즈도 사이즌데 살이 너무 없어요... 뼈 튀긴수준
차라리 냉동 닭봉이 더 살이 많아요..ㅠ",5,2,0
2024년 4월 14일,크크크치킨/1,"바삭하고 소스도 앗있고 촤고예요.
배달도 빨라서 더 굳!",5,5,0
2024년 4월 12일,크크크치킨/1,"너무 바삭하고,육질도 부드러워서 맛있게 잘먹었습니다^^ 소스또한 3가지맛이 있어서 골고루 다른맛을 느낄수있어서 색달랐습니다. 강추합니다.",5,5,0
2024년 3월 19일,"후라이드/1,아~매워!소스/1",전보다  튀김옷이두껍고  요청란에 쫌더바삭하게 요청했는데 별로인것같네요,3,4,4
2024년 3월 10일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보)),웨지감자/1",언제부터가 꼭 먹어보고 싶었는데 이제서야 주문했어요~ 진짜 맛있네요 당분간 치킨은 이것만 시켜 먹을것 같아요,4,4,4
2024년 3월 2일,"크크크치킨/2,순살 크크크치킨/1,호랑이웨지감자/2,코카-콜라1.25L/1",ㅎㅇ ㅎㅇ ㅎㅇ ㅎㅇ ㅎㅇ ㅎㅇ,5,5,5
2024년 2월 22일,고추치킨/1,배달빠르고 맛있게 먹었습니다,5,5,5
2024년 2월 1일,"순살간지 치킨/1,콤보（윙,봉,다리）/1(콤보선택(간지 콤보))",맛있게 먹긴 했는데 소스양이 조금 아쉬웠어요. 순살엔 양념이 안발린 부분도 있었어요. 다음엔 양념소스많이 라고 요청사항에 남겨야 될것같네요.,5,5,5
2024년 2월 1일,크크크치킨/1,아이들이 좋아해요 바삭바삭 맛있어요,5,5,5
2024년 1월 22일,크크크치킨/1,어머님이 좋아하시는 크크크 치킨..,5,5,5
2024년 1월 18일,"크크크치킨/1,순살 호랑이치킨/1,호랑이웨지감자/1,코카-콜라1.25L/1",삼시세끼 순수한 삼시세끼,5,5,4
2024년 1월 13일,"하하핫치킨/1,크크크치킨/1,순살후라이드/1","맛있어요
ㅎㅇ ㅎㅇ ㅎㅇ",5,5,5
2024년 1월 13일,후라이드/1,"배달  기사님 너무 친절하고 문 앞까지 내려주셔 감사합니다. 맛있게 잘 먹었습니다. Thank you, one best . Recommend 👍👍👍",5,5,5
2024년 1월 13일,크크크치킨/1,"추운 날씨에 잘 배달해 주셔서 맛있게 먹었어요~ 
감사합니다 ^^",5,5,5
2024년 1월 6일,크크크치킨/1,같은 60계 인데..배달비가 더 저렴하고 맛도 바삭하고 맛있네요,5,4,4
2024년 1월 6일,고추치킨/1,배달빠르고 맛있게 먹었습니다,5,5,5
2023년 12월 29일,"순살 하하핫치킨/1,봉 15조각/1(봉선택(후라이드 봉15조각))",맛있게 잘 먹었습니다.,5,5,5
2023년 12월 19일,고추치킨/1,배달빠르고 맛있게 먹었습니다,5,5,5
2023년 12월 13일,하하핫치킨/1,와 진짜 처음 먹는건데 왜 인기가 있는지 알 정도로 너무 너무 너무 너무너무ㅜ 맛있어요 진짜ㅜㅜㅜㅜㅜㅠ 사람들이 맵다고 해서 많이 매운가? 생각했었는데 불닭보다 안매고 그냥 매콤하고 달콤ㅁ해서 너무 맛있어요ㅜㅜㅜ 진짜 제발 돈 있으면 꼭 시켜 드세요 제발😻😻😻😻😻,5,5,5
2023년 12월 12일,윙봉24세트/1(윙봉선택(간지 윙봉)),다른 치킨보다 울집은 60계 간지치킨이 최고네요~너무 맛나게 먹었어요 퍽퍽한 살 싫어하는 울집은 가늠살없이 윙봉닭다리만 있는게 최고네요 먹다찍어서 양이 적게나왔어요,5,5,5
2023년 12월 12일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살고추 반),순살반＋반선택2(순살양념 반)),봉 15조각/1(봉선택(후라이드 봉15조각))",맛있게 잘 먹었습니다~,5,5,5
2023년 12월 8일,"간지치킨/1,호랑이치킨/1,쫀득치즈볼（5개）/1,치즈스틱（5개）/1","치즈스틱이 안익었어요-- 반죽이 그대로 느껴져요;;
치즈스틱 완전 비추입니다.

저번에 한마리만 주문하니까 취소하시더군요.
취소 이유 설명도 없이 두번이나 그랬어요.
그래서 한마리만 시켜서 그런가 싶어서 두마리 주문해봤더니 이번엔 취소 안하시네요?
한마리는 거절한 이유가 궁금하네요.",1,5,1
2023년 12월 7일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살new장스 반),순살반＋반선택2(순살간지 반)),치킨 무/1,핫크크크소스/1","ㅋㅋㅋ 맛잇엇는데    
장스  간지는
영  아니네요",1,4,4
2023년 11월 30일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))","항상 맛있게 시켜먹는 집입니다
많은 치킨집할인쿠폰들이 많지만 애가 60계치킨만 찾네요
맛나게 잘먹었습니다~~",5,5,5
2023년 11월 25일,"다리 6조각/1(다리선택(크크크 다리 6조각)),콘마요소스/1,양념소스/1",금방 튀겨서 바삭바삭에 기름 깨끗한 건 말할 필요도 없네요. 앞으로 자주 주문할래요!!!!!!,5,5,5
2023년 11월 25일,크크크치킨/1,"잘먹었습니다
아주맛있어요",5,5,5
2023년 11월 24일,순살 크크크치킨/1,"아이들이 먹어보고 싶다고 크크크 치킨 처음 주문해서 먹었는데 정말 맛있네요. 끝까지 바삭함이 유지되고 크크크 소스랑도 잘 어울렸어요. 
배달도 빠르게 되어서 따뜻할 때 잘 먹었습니다. 다음에 또 주문할게요.",5,5,5
2023년 11월 21일,후라이드/1,잘먹었습니다 ~~~,5,5,5
2023년 11월 21일,크크크치킨/1,"ㅋㅋㅋ 치킨 첨있데 바삭하고 맛있네요.
마늘소스가 굿",5,5,5
2023년 11월 12일,윙봉24세트/1(윙봉선택(후라이드 윙봉)),부모님 배달 시켜드렸는데 받기까지 한시간이 넘었고 다 식어서 왔습니다 문앞 배송 완료됬다고 해서 나갔는데 배달도 다른 집으로 하셔서 번거로웠어요 신경 좀 써주세요,3,5,3
2023년 11월 12일,순살 크크크치킨/1,넘 맛있게 잘 먹었어여~~~,5,5,5
2023년 11월 6일,간지치킨/1,맛있습니다 빨리옵니다 최고입니다,5,5,5
2023년 10월 29일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살고추 반))","주말 저녁에 60계와 함께 보내는 하루 
잘먹었습니다",5,5,5
2023년 10월 23일,"후라이드 반＋반마리선택/1(반마리선택(고추치킨 반)),웨지감자/1",맛있게 잘 먹었어요.,5,5,3
2023년 10월 14일,크크크치킨/1,오~~~맛있어요 아이들이 좋아해요,5,5,5
2023년 10월 7일,간지치킨/1,맛 양 배달 모두 만족!,5,5,5
2023년 10월 4일,"윙봉24세트/1(윙봉선택(크크크 윙봉)),포테이토 치즈스틱（3개）/1",예상배달 시간보다 빨랐구요 바삭하니 맛있게 잘먹었습니당 포테이토 치즈스틱도 진짜 바삭히리 색다르네용,5,5,5
2023년 9월 16일,순살 크크크치킨/1,고소하고 바삭합니다 크크크소스에 찍어먹으니까 진짜 맛있었어요,5,5,5
2023년 9월 5일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",맛있게 잘 먹었습니다.,5,5,5
2023년 9월 2일,크크크치킨/1,"신메뉴 ~^^
라...  시켰는데 기대이상이네요
신랑도 맛나다고  많이 먹네요
맛나게 잘먹었어요^^
바삭하고 고소하고  속살 부드럽고~
소스도맛나고",5,5,5
2023년 9월 2일,간지치킨/1,잘 먹었어요,5,5,5
2023년 8월 18일,고추치킨/1,배달빠르고 맛있게 먹었습니다,5,5,5
2023년 8월 9일,후라이드 반＋반마리선택/1(반마리선택(new장스치킨 반)),배달빠르고 잘먹었습니다,5,5,5
2023년 8월 5일,크크크치킨/1,"또다시 시켜 먹을 정도로 맛있게 먹었습니다
사진을 못 찍어서ㅜ 다른 사진 올렸어요",5,5,5
2023년 7월 30일,"후라이드/1,윙 15조각/1(윙선택(후라이드 윙15조각))",잘 먹었어요.맛나요.번창하세요~~,5,5,5
2023년 7월 30일,"크크크치킨/1,간지치킨/1,호랑이쫀도그（3개）/1",먹느라 사진이 별루없네요^^ 60계치킨월계점 사장님두 친절하시고 넘넘 맛있어요♡♡♡,5,5,5
2023년 7월 28일,순살후라이드/1,"치킨 박스 뚜껑 밀봉을 않으셨네요.
기본적으로 스티커로 밀봉하셔야 하는데...
맛은 좋아요",5,3,4
2023년 7월 21일,"크크크치킨/1,호랑이웨지감자/1",맛있게 잘 먹었습니다~,5,5,5
2023년 7월 16일,크크크치킨/1,너무 맛있게 잘 먹었어요,5,5,5
2023년 7월 8일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),포테이토 치즈스틱（3개）/1",양념치킨 짱 맛있어요,5,5,5
2023년 6월 27일,"크크크치킨/1,양념치킨/1",맛있게  먹었습니다.,5,5,5
2023년 6월 25일,크크크치킨/1,"너무 맛있게 잘 먹었어여
순살만 먹었는데 품절이라 뼈 먹었는데
역시 맛있네여 ^^",5,5,5
2023년 6월 21일,후라이드/1,너무맛있구  자꾸생각나는맛이예요~짱!!,5,5,5
2023년 6월 20일,"크크크치킨/1,양념소스/2",맛있게 잘먹었습니다 감사합니다,5,5,5
2023년 6월 19일,간지치킨/1,맛있게 잘 먹었습니다,5,5,5
2023년 6월 15일,크크크치킨/1,진짜 맛잇게먹엇어여 감사합니다 ㅎㅎ,5,5,5
2023년 6월 6일,크크크치킨/1,주위에서 추천받아서 먹어봤는데 맛있어요! 그리고 다른데보다 양도 많은거 같네요ㅎㅎ,5,5,5
