dates,order_items,reviews,taste_score,quantity_score,delivery_score
5일 전,양념치킨/1,저희 어머니 집에 친구분들이 오셔서 시켜드렸는데 정말   맛있게 잘 먹었다고 전화가 왔어요   너무 맜있다고~~ ㅎㅎ,5,5,0
5일 전,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(후라이드))",저는  여기 치킨  밖에 안먹어요 기름도 깨끗하고 맛도 짱입니다  저희 남편이 좋아해요,5,5,0
2024년 4월 5일,"순살 크크크치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),포테이토 치즈스틱（3개）/1",바삭바삭 너무 맛있어요!! 그리고 저 치즈스틱 진짜 너무 맛있어요!!,5,5,0
2024년 4월 2일,순살 크크크치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),겁나 맛있구 개인적으로 산 불닭에 먹으니 더 맛있는!!,5,5,5
2024년 3월 31일,"순살 크크크치킨/1,포테이토 치즈스틱（3개）/1",바삭하고 너무 맛있어요!!,5,5,5
2024년 3월 31일,후라이드 반＋반마리선택/1(반마리선택(고추치킨 반)),후라이드 최고입니다,5,5,5
2024년 3월 30일,간지치킨/1,맛있게 잘먹었습니다.,5,5,5
2024년 3월 21일,"반마리＋반마리 선택/1(뼈반＋반선택1(간지 반),뼈반＋반선택2(양념 반)),쫀득치즈볼（5개）/1",정말 기름 맛도 깨끗하고 맛도 좋네요! 다음에도 시켜먹을게요!!,5,5,5
2024년 3월 20일,크크크치킨/1,"크크크는 오늘 느껴봤는데, 별루였어요 ㅠ 소스들도 뭔가 별루.. 한달전쯤 시켜묵었던 후라이드순살은 아주 깔끔하니 좋았는디.... ^^;",1,2,5
2024년 3월 20일,"콤보（윙,봉,다리）（코카콜라）/1(콤보선택(고추 콤보)),콤보（윙,봉,다리）（코카콜라）/1(콤보선택(크크크 콤보))",요새 60계치킨에 맛들려서 시켜먹고있어요 그런데 ㅋㅋㅋ 치킨이 싱거웠어요,4,5,5
2024년 3월 17일,"다리 6조각/1(다리선택(간지 다리 6조각)),웨지감자/1,하하핫치킨/1",요즘은 60계 하하핫. 두 번째로 또 주문했는데 다음에 또 먹을 듯!,5,5,5
2024년 3월 15일,순살 크크크치킨/1,"정신없게 먹다보니 사진이 없으나 엄청 맛있었어요.
다음엔 뼈로 먹어봐야겠어요.. ㅎㅎ",5,5,5
2024년 3월 10일,윙봉24세트/1(윙봉선택(고추 윙봉)),오랜만에 먹었는데 맛있었어요!,5,5,5
2024년 3월 10일,크크크치킨/1,광고를 많이 봐서 기대했는데요 개인적으로는 좀 느끼했어요. 소스 맛있어요.,2,4,3
2024년 3월 6일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),쫀득치즈볼（5개）/1",맛있어요 자주시켜먹는곳이에요,5,5,5
2024년 2월 21일,"떡볶이 엔 순살（코카콜라）/1(순살선택(크크크 순살)),핫크크크소스/1,크크크소스/1","처음 시켜보는데 맛있네요
바사삭~~아이가 좋아해요
소스도 맛있네요
떡볶이도 순해서 아이도 함께먹기
좋아요~배달도 빠르고 친절 하시네요",5,5,5
2024년 2월 16일,호랑이치킨/1,"사진이 옆으로 돌려도 잘 안올라가네요ㅠㅠ
치킨은 너무 맛있게 잘 먹었습니다
호랑이치킨이 60계치킨중에 젤 맛있네요^^",5,5,5
2024년 2월 12일,후라이드 반＋반마리선택/1(반마리선택(new장스치킨 반)),New 장스 치킨 너무 맛있어!! 🤩🤩🤩,5,5,5
2024년 2월 7일,호랑이치킨/1,"항상 먹는 치킨~~너무 맛있어요,",5,5,5
2024년 2월 3일,"크크크치킨/1,양념소스/1",너무너무 바삭하고 맛있어요~~^^,5,5,5
2024년 1월 23일,"윙 15조각/1(윙선택(후라이드 윙15조각)),다리 6조각/1(다리선택(양념 다리 6조각)),봉 15조각/1(봉선택(간지 봉 15조각))","축구보는날 시켜서 일단 그냥 먹었는데, 양념 닭다리만 시켰더니 다리가 아닌 부위만 있고.. 봉 같은 부분에다 진짜 별로네요",1,1,1
2024년 1월 19일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살양념 반))",빠른 배송과 맛있는 음식으로 즐거운 금요일 저녁을 보내게 됐습니다. 감사합니다.,5,5,5
2024년 1월 16일,"순살 크크크치킨/1,양념소스/1",크크크 맛있어서 또 먹었네요 잘먹었습니다~~,5,5,5
2024년 1월 1일,"크크크치킨/1,코카-콜라1.25L/1,핫크크크소스/1",치킨맛있어요 감사용,5,5,5
2023년 12월 31일,간지치킨/1,"감사합니다 
잘먹겠습니다",5,5,5
2023년 12월 24일,호랑이치킨/1,"60계치킨중에 호랑이 치킨이 제일 맛있어요~~^^
중간중간 웨지감자도 맛있고 양념도 맛있어요~",5,5,5
2023년 12월 22일,간지치킨/1,아주 잘먹었습니다  감사합니다,5,5,5
