dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 4월 14일,"쫀도그(3조각)/1,윙 15조각/1(부분육단품 맛변경(맛 변경 하하핫치킨),음료추가(콜라 500ml))","맵질인데도
맛나게 잘먹었어요~

쫀도그도 
찰지고 바삭바삭 좋네요 ㅎㅎ",5,5,0
2024년 4월 8일,"콤보（윙,봉,다리）/1(콤보선택(양념 콤보))","맛있어요~~~
군침이 마이도노~~",5,5,0
2024년 4월 8일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",바삭하고 맛있어요 양도 많아요,5,5,0
2024년 3월 24일,순살 크크크치킨/1,맛있어요!👍🏽👍🏽👍🏽👍🏽👍🏽,5,5,5
2024년 3월 23일,후라이드 윙봉 반＋윙봉 반 선택/1(윙봉반 선택1(하하핫윙봉 반)),"후라이드가 
이번엔 더 바삭하고 고소하네요
하하핫 양념은
넘 맵지않아서 잘 먹었어요",5,5,5
2024년 3월 12일,"봉 15조각/1(봉선택(양념 봉 15조각)),크크크소스/1,윙 15조각/1(윙선택(크크크 윙 15조각))","주방장님이 바뀌셨나용?
오늘따라 튀김옷이 너무너무 뚜꺼워요ㅡㅠㅠ",5,5,5
2024년 3월 5일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(간지윙봉 반),윙봉반＋반 선택2(더매운고추윙봉  반))","60계는 양념이 참 맛있는거 같아요
고추치킨같은 경우 매운맛이 항상 아쉬웠었는데
신메뉴 더매운치킨은 진짜 맛있네요
제 입맛에 딱이었어요",5,5,5
2024년 2월 24일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 제로 1.25L)),맛있게 잘 먹었습니다~,5,5,5
2024년 2월 24일,"후라이드/1,미니쫀득볼（10개）/1","배달도 늦고
닭을 남은것을 섞었는지 왜 같은 닭한마리인데 닭다리 크기가 틀릴까요?
60계치킨 실망입니다",1,1,1
2024년 2월 16일,"윙봉24세트/2(윙봉선택(간지 윙봉)),호랑이웨지감자/1,윙 15조각/1(윙선택(후라이드 윙15조각))",남은게 없습니다~너무 맛있습니다 ㅎㅎ,5,5,5
2024년 2월 16일,순살 크크크치킨/1,크크크는 전설이다.,5,5,5
