dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 3월 31일,"콤보（윙,봉,다리）/1(콤보선택(호랑이 콤보),음료변경(코카콜라 제로1.25L 사이즈 업))",배달 빠르고 맛있어요 짱좋아해~,5,5,5
2024년 3월 24일,크크크치킨/1,"바삭한 식감이 좋고, 같이 먹는 소스들의 조합도 잘 어울려요~ ㅋㅋㅋ치킨이라고 하는지 조금 이해가 가요~",5,5,5
2024년 3월 16일,순살 호랑이치킨/1,"69계 첨 시켜봤는데 왜 이렇게 맛있나요?ㅠㅠㅠㅠㅠ 
호랑이치킨 가루도 넉넉하게 넣어주시구
치킨도 부드러운게ㅠㅠ 넘 맛있어요👍👍 짱짱",5,5,5
2024년 3월 14일,크크크치킨/1,배달도 빠르고 맛있게 잘먹었습니당,5,5,5
2024년 3월 10일,양념치킨/1,"너무 맛있었어요
처음으로 배달시켜 먹었는데 만족입니다",5,5,5
2024년 3월 1일,순살간지 치킨/1,"정말 맛있고, 감자도 많이 들어있어요~!!",5,5,5
2024년 2월 25일,크크크치킨/1,진짜 맛있어요 또 먹을 거예요,5,5,5
2024년 2월 25일,간지치킨/1,"가족 폰으로 찍었는데 첨부가 안되네요
폰을 찍어서 리뷰남겨요;;
넘 맛있고 배달도 빨랐어요 치즈볼도 냠냠굿",5,5,5
2024년 2월 23일,더매운고추치킨/1,매콤달달한 것이 땡길때,5,5,5
2024년 2월 19일,"콤보（윙,봉,다리）/1(콤보선택(간지 콤보))","배달이 예상시간보다 30분이상늦어 
음식이 식어 제맛이 안났어요 ㅠㅠ",3,5,2
2024년 2월 13일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보)),떡볶이/1","크크크 지인추천으로 먹었는데 맛있었어요
떡볶이도 쫄깃쫀깃 너무 맛납니다",5,5,5
2024년 1월 29일,"후라이드/1,생맥주 1,000cc/1",후라이드 맛있음. 항상 시켜먹는 메뉴,5,5,2
2024년 1월 28일,하하핫치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),"배달  꽝! 너무 늦게 다 식어서 왔구요.
그래서 그런지  맛을 잘 모르겠어요,  양념이 치킨에는 많이 묻어있는데
바닥에 깔린 게 없어서 양념이 너무 되직한거같아요. 하하핫치킨  벌써 여러번 시켜먹었는데 ...오늘 이후로는 안시켜 먹을듯",3,5,1
2024년 1월 23일,순살 하하핫치킨/1,"잘먹었어요~~ 최근에 
형이랑.조카가 이거에 빠졌네요 ㅋㅋㅋ",5,5,5
