dates,order_items,reviews,taste_score,quantity_score,delivery_score
어제,"크크크치킨/1,다리 6조각/1(부분육단품 맛변경(맛 변경 하하핫치킨))",자주이용했지만 다시 주문할일 없을듯,1,1,0
어제,간지치킨/1,간지 처음먹어보는데 넘흐 맛있네여,5,5,0
2일 전,"뼈 선택반+선택반/1(반반맛선택 1(간지치킨 반),반반맛선택 2(고추치킨 반)),쫀득치즈볼(5조각)/1","맛있게 잘먹었어요
양도많아여",5,5,0
2024년 4월 11일,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 크크크치킨))","애들이 좋아하는 바삭한 크크크치킨~
맛도 좋아요 ㅎㅎ
서비스 치즈스틱도 잘 먹었습니다!",5,5,0
2024년 4월 11일,윙봉24세트/1(세트메뉴 맛변경(맛 변경 하하핫치킨)),"요새 하하핫치킨에 빠져버렸습니다
애들도 맵다면서 계속 먹어요 ㅜㅜ",5,5,0
2024년 4월 10일,순살 호랑이치킨/1,"넘맛있어요
최애치킨",5,5,0
2024년 4월 9일,순살 크크크치킨/1,"아이가 먹고프다해서 또 주문..
소식좌라 이틀 먹습니다.",5,5,0
2024년 4월 9일,순살간지 치킨/1,배달 빠르고 맜있네요,5,5,0
2024년 4월 8일,순살 크크크치킨/1,"맛있게 잘 먹었습니다 
닭가슴살만 있었음 좋겠네요.",5,5,0
2024년 4월 7일,간지치킨/1,간지치킨 맛잇다는 소문 들어서 먹어봤는데 진짜 넘 맛있었어요!! 자주 먹울 것 같아요!,5,5,0
2024년 4월 6일,윙봉24세트/1(윙봉선택(후라이드 윙봉)),식구들이 바삭바삭 너무나 맛있다고 하네요. 뿌듯뿌듯.. 감사합니다,5,5,0
2024년 4월 6일,순살 크크크치킨/1,"맛있게 잘 먹었어요.
요즘 너무 자주 먹네요.",5,5,0
2024년 4월 5일,"반마리＋반마리 선택/1(뼈반＋반선택1(간지 반),뼈반＋반선택2(고추 반))",반반하니까 맛있네요,5,5,5
2024년 4월 3일,"간지치킨/1,호랑이웨지감자/1,콜라 1.25L/1","good
맛있어요",5,5,0
